date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_fi_era,home_fi_era,away_fi_whip,home_fi_whip,away_fi_ip,home_fi_ip,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result,home_p_last10_era,away_p_last10_era
2023-04-01,718760,CWS,HOU,Lucas Giolito,José Urquidy,ltd,ltd,live,live,0.9900,0.4423,0.5163,0.9586,0.3834,0.6166,0.2490,YRFI,LEAN,4,0.3834,0.6166,YRFI,LEAN,4.7250,4.0050,1.3925,1.1900,4.0310,4.3942,3.3043,2.3131,1.3050,1.4929,9.6366,7.7369,0.3107,0.3189,0.3893,0.4232,4.2528,4.5410,,,,,,,0.3466,0.3544,0.4068,0.4931,0.1103,0.2218,3,3,0.3466,0.3544,0.4068,0.4931,0.1103,0.2218,0,0,prior,prior,0.2000,0.6000,0.2000,0.6000,5,5,0.4000,0.3000,0.6000,0.6000,10,10,0.5361,,,,,1,0.0000,0.0000,4.7250,4.0050,4.0310,4.3942,1.3050,1.4929,3.3043,2.3131,9.6366,7.7369,1.3925,1.1900,prior,prior,0,0,0,0,0,2,2,YRFI,WIN,3.795,4.880
2023-04-01,718759,TOR,STL,Kevin Gausman,Jack Flaherty,ltd,ltd,live,live,0.9700,0.5107,0.3682,0.8789,0.4152,0.5848,0.2198,PASS,NO EDGE,4,0.4152,0.5848,PASS,NO EDGE,3.5625,4.2150,1.2425,1.3580,2.8110,4.3033,1.8350,3.7500,0.8812,1.1400,10.1685,8.7050,0.3281,0.3244,0.4296,0.4195,4.7556,4.7387,,,,,,,0.3378,0.3744,0.4737,0.4600,0.1960,0.1784,3,3,0.3378,0.3744,0.4737,0.4600,0.1960,0.1784,0,0,prior,prior,0.6000,0.6000,0.6000,0.6000,5,5,0.5000,0.3750,0.6000,0.5000,10,8,0.5786,13.3000,17.1000,298,42,0,11.4421,12.7078,3.5625,4.2150,2.8110,4.3033,0.8812,1.1400,1.8350,3.7500,10.1685,8.7050,1.2425,1.3580,prior,prior,0,0,0,0,0,0,0,NRFI,PASS,4.371,4.263
2023-04-01,718758,MIL,CHC,Brandon Woodruff,Justin Steele,ltd,ltd,live,live,1.0000,0.4329,0.3907,0.8236,0.4389,0.5611,0.1997,PASS,NO EDGE,4,0.4389,0.5611,PASS,NO EDGE,3.3375,3.4350,1.1150,1.3250,3.2770,3.3876,2.6017,3.5861,1.0936,0.7538,10.6019,9.3721,0.3153,0.3116,0.4094,0.3893,4.4732,4.0890,,,,,,,0.3295,0.3329,0.4199,0.4341,0.1737,0.1580,3,3,0.3295,0.3329,0.4199,0.4341,0.1737,0.1580,0,0,prior,prior,0.8000,0.8000,1.0000,1.0000,5,5,0.5000,0.6000,0.8000,0.8000,10,10,0.5579,3.8000,29.9000,2,65,0,-28.7417,8.2416,3.3375,3.4350,3.2770,3.3876,1.0936,0.7538,2.6017,3.5861,10.6019,9.3721,1.1150,1.3250,prior,prior,0,0,0,0,0,0,0,NRFI,PASS,1.491,2.348
2023-04-01,718752,PHI,TEX,Zack Wheeler,Nathan Eovaldi,ltd,ltd,live,live,1.0700,0.4949,0.3891,0.8840,0.4131,0.5869,0.2217,YRFI,LEAN,4,0.4131,0.5869,YRFI,LEAN,3.1650,3.9525,1.0925,1.2350,3.1054,4.2481,2.2500,1.9874,0.8735,1.5993,9.4162,8.5976,0.3171,0.3024,0.4213,0.3966,4.5975,4.3715,,,,,,,0.3346,0.3294,0.4821,0.4589,0.2214,0.1853,3,2,0.3346,0.3294,0.4821,0.4589,0.2214,0.1853,0,0,prior,prior,0.8000,0.6000,0.8000,0.6000,5,5,0.7000,0.6000,0.9000,0.7000,10,10,0.5552,,,,,1,0.0000,0.0000,3.1650,3.9525,3.1054,4.2481,0.8735,1.5993,2.2500,1.9874,9.4162,8.5976,1.0925,1.2350,prior,prior,0,0,0,0,0,2,2,YRFI,WIN,3.981,3.414
2023-04-01,718753,ATL,WSH,Spencer Strider,Josiah Gray,ltd,ltd,live,live,0.9700,0.6003,0.3154,0.9156,0.4003,0.5997,0.2332,YRFI,LEAN,4,0.4003,0.5997,YRFI,LEAN,3.0525,4.8150,1.0550,1.3325,2.3575,5.3183,3.0652,3.7561,0.6601,2.0308,12.6175,9.2392,0.3171,0.3107,0.4405,0.3801,4.8347,3.7839,,,,,,,0.3408,0.3137,0.4779,0.4329,0.2188,0.1578,3,3,0.3408,0.3137,0.4779,0.4329,0.2188,0.1578,0,0,prior,prior,0.8000,0.4000,0.8000,0.6000,5,5,0.8000,0.5000,0.9000,0.6000,10,10,0.5416,21.9000,25.9000,271,31,0,13.7249,21.9644,3.0525,4.8150,2.3575,5.3183,0.6601,2.0308,3.0652,3.7561,12.6175,9.2392,1.0550,1.3325,prior,prior,0,0,0,0,2,0,2,YRFI,WIN,6.097,2.198
2023-04-01,718762,SF,NYY,Alex Cobb,Clarke Schmidt,ltd,ltd,live,live,1.0200,0.4486,0.4360,0.8846,0.4129,0.5871,0.2219,YRFI,LEAN,4,0.4129,0.5871,YRFI,LEAN,3.8475,3.6852,1.2875,1.2262,3.0935,3.8590,2.6954,3.2950,0.7072,1.0030,9.0564,8.8577,0.3153,0.3244,0.3911,0.4250,4.4223,4.9364,,,,,,,0.3166,0.3777,0.3874,0.5262,0.1437,0.2576,2,3,0.3166,0.3777,0.3874,0.5262,0.1437,0.2576,0,0,prior,prior,0.8000,0.6667,0.8000,0.6667,5,3,0.8000,0.6667,0.9000,0.6667,10,3,0.5203,17.0000,16.6000,236,60,0,15.5989,-5.6775,3.8475,3.6852,3.0935,3.8590,0.7072,1.0030,2.6954,3.2950,9.0564,8.8577,1.2875,1.2262,prior,prior,0,0,0,0,0,1,1,YRFI,WIN,4.629,3.036
2023-04-01,718757,LAA,OAK,Patrick Sandoval,Shintaro Fujinami,ltd,avg,live,live,0.9300,0.3957,0.3521,0.7478,0.4734,0.5266,0.1726,NRFI,LEAN,3,0.4734,0.5266,NRFI,LEAN,3.2325,4.2000,1.3175,1.2500,3.2839,4.2000,3.4828,3.0000,0.6644,1.2000,9.1025,8.9000,0.2988,0.2841,0.3920,0.3518,3.8969,3.5862,,,,,,,0.3360,0.2942,0.4589,0.4213,0.2029,0.1890,3,3,0.3360,0.2942,0.4589,0.4213,0.2029,0.1890,0,0,prior,prior,0.8000,,0.8000,,5,0,0.8000,,0.9000,,10,0,0.4749,13.3000,14.8000,274,69,0,11.6626,9.1118,3.2325,4.2000,3.2839,4.2000,0.6644,1.2000,3.4828,3.0000,9.1025,8.9000,1.3175,1.2500,prior,prior,0,0,0,0,0,0,0,NRFI,WIN,,1.831
2023-04-01,718761,BAL,BOS,Dean Kremer,Chris Sale,ltd,avg,live,live,1.0500,0.4628,0.4698,0.9326,0.3935,0.6065,0.2395,YRFI,LEAN,3,0.3935,0.6065,YRFI,LEAN,3.4725,4.2000,1.2500,1.2500,3.8007,4.2000,2.5845,3.0000,0.8935,1.2000,6.9192,8.9000,0.3061,0.3207,0.3920,0.4094,4.1850,4.5297,,,,,,,0.3195,0.3451,0.3883,0.4594,0.1416,0.1833,3,3,0.3195,0.3451,0.3883,0.4594,0.1416,0.1833,0,0,prior,prior,0.6000,0.5000,0.6000,0.5000,5,2,0.5000,0.5000,0.6000,0.5000,10,2,0.4923,14.1000,19.5000,218,93,0,19.3546,-2.3765,3.4725,4.2000,3.8007,4.2000,0.8935,1.2000,2.5845,3.0000,6.9192,8.9000,1.2500,1.2500,prior,prior,0,0,0,0,3,0,3,YRFI,WIN,,3.032
2023-04-01,718756,PIT,CIN,Rich Hill,Nick Lodolo,ltd,ltd,live,live,1.0900,0.4272,0.4774,0.9046,0.4047,0.5953,0.2292,YRFI,LEAN,4,0.4047,0.5953,YRFI,LEAN,4.2525,3.7950,1.2875,1.2500,3.9068,3.5496,2.7625,3.3033,1.1159,1.1511,8.1537,10.8016,0.2933,0.3052,0.3682,0.3756,3.7161,4.0381,,,,,,,0.3255,0.3201,0.3981,0.3784,0.1502,0.1300,3,3,0.3255,0.3201,0.3981,0.3784,0.1502,0.1300,0,0,prior,prior,0.2000,0.8000,0.8000,1.0000,5,5,0.2000,0.7000,0.6000,0.9000,10,10,0.5303,6.9000,28.7000,288,59,0,21.9855,18.4480,4.2525,3.7950,3.9068,3.5496,1.1159,1.1511,2.7625,3.3033,8.1537,10.8016,1.2875,1.2500,prior,prior,0,0,0,0,1,3,4,YRFI,WIN,3.133,3.908
2023-04-01,718754,DET,TB,Spencer Turnbull,Zach Eflin,avg,ltd,live,live,0.9300,0.3198,0.4291,0.7489,0.4729,0.5271,0.1730,NRFI,LEAN,3,0.4729,0.5271,NRFI,LEAN,4.2000,4.0997,1.2500,1.1685,4.2000,3.6690,3.0000,2.2450,1.2000,1.0480,8.9000,8.1977,0.2887,0.3098,0.3518,0.3801,3.5240,4.1398,,,,,,,0.3129,0.3475,0.3649,0.4351,0.1229,0.1747,3,3,0.3129,0.3475,0.3649,0.4351,0.1229,0.1747,0,0,prior,prior,,0.4000,,0.6000,0,5,,0.7000,,0.8000,0,10,0.5016,,,,,1,0.0000,0.0000,4.2000,4.0997,4.2000,3.6690,1.2000,1.0480,3.0000,2.2450,8.9000,8.1977,1.2500,1.1685,prior,prior,0,0,0,0,0,1,1,YRFI,LOSS,4.472,
