date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_fi_era,home_fi_era,away_fi_whip,home_fi_whip,away_fi_ip,home_fi_ip,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result
2022-04-07,663178,MIL,CHC,Corbin Burnes,Kyle Hendricks,ltd,ltd,live,live,1.0000,0.4856,0.2985,0.7840,0.4566,0.5434,0.1855,NRFI,LEAN,4,0.4566,0.5434,NRFI,LEAN,2.8725,4.6275,1.0175,1.3250,2.1400,4.5062,2.1243,2.3909,0.5829,1.4561,11.6831,7.1104,0.3171,0.3125,0.3975,0.4076,4.5466,4.3602,,,,,,,0.3443,0.3366,0.4376,0.4069,0.1766,0.1646,3,3,0.3443,0.3366,0.4376,0.4069,0.1766,0.1646,0,0,prior,prior,0.6000,0.6000,0.8000,0.6000,5,5,0.5000,0.6000,0.9000,0.6000,10,10,0.5579,6.4000,25.1000,258,69,0,12.5500,21.7372,2.8725,4.6275,2.1400,4.5062,0.5829,1.4561,2.1243,2.3909,11.6831,7.1104,1.0175,1.3250,prior,prior,0,0,0,0,0,0,0,NRFI,WIN
2022-04-07,662766,CLE,KC,Shane Bieber,Zack Greinke,ltd,ltd,live,live,0.9600,0.4360,0.3979,0.8338,0.4344,0.5656,0.2034,PASS,NO EDGE,4,0.4344,0.5656,PASS,NO EDGE,3.4275,4.1700,1.2200,1.1900,3.1723,4.5066,3.0655,2.1711,1.0718,1.4842,11.6273,6.9618,0.3043,0.3070,0.4076,0.3975,4.4280,4.2528,,,,,,,0.3421,0.3200,0.4310,0.4150,0.1577,0.1385,3,2,0.3421,0.3200,0.4310,0.4150,0.1577,0.1385,0,0,prior,prior,0.6000,0.4000,1.0000,0.6000,5,5,0.5000,0.6000,0.9000,0.8000,10,10,0.5376,7.2000,33.0000,309,48,0,4.5927,32.6788,3.4275,4.1700,3.1723,4.5066,1.0718,1.4842,3.0655,2.1711,11.6273,6.9618,1.2200,1.1900,prior,prior,0,0,0,0,0,0,0,NRFI,PASS
2022-04-07,662021,PIT,STL,JT Brubaker,Adam Wainwright,ltd,ltd,live,live,0.9700,0.3526,0.5221,0.8747,0.4170,0.5830,0.2183,PASS,NO EDGE,4,0.4170,0.5830,PASS,NO EDGE,5.0700,3.3375,1.2800,1.1075,4.7046,3.6479,2.8169,2.3876,1.8230,0.9878,9.2415,7.9237,0.3098,0.3134,0.3682,0.4122,3.8178,4.3658,,,,,,,0.3687,0.3538,0.4997,0.5020,0.2073,0.2197,2,3,0.3687,0.3538,0.4997,0.5020,0.2073,0.2197,0,0,prior,prior,0.2000,0.6000,0.4000,0.6000,5,5,0.3000,0.6000,0.5000,0.8000,10,10,0.5786,8.7000,28.5000,291,45,0,21.5092,18.6977,5.0700,3.3375,4.7046,3.6479,1.8230,0.9878,2.8169,2.3876,9.2415,7.9237,1.2800,1.1075,prior,prior,0,0,0,0,0,1,1,YRFI,PASS
2022-04-07,662571,NYM,WSH,Tylor Megill,Patrick Corbin,ltd,ltd,live,live,0.9700,0.5137,0.5251,1.0388,0.3539,0.6461,0.2785,YRFI,STRONG,4,0.3539,0.6461,YRFI,STRONG,4.4379,5.4150,1.2723,1.4150,4.4657,5.0178,2.7950,3.1157,1.7330,1.7588,9.7093,7.8631,0.3153,0.3354,0.3929,0.4167,3.9703,4.4675,,,,,,,0.3578,0.3709,0.4357,0.4688,0.1625,0.2006,3,3,0.3578,0.3709,0.4357,0.4688,0.1625,0.2006,0,0,prior,prior,0.2000,0.6000,0.2000,0.6000,5,5,0.3000,0.7000,0.4000,0.7000,10,10,0.5416,11.5000,11.7000,317,92,0,-2.8305,11.3525,4.4379,5.4150,4.4657,5.0178,1.7330,1.7588,2.7950,3.1157,9.7093,7.8631,1.2723,1.4150,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-07,661577,CIN,ATL,Tyler Mahle,Max Fried,ltd,ltd,live,live,0.9800,0.3949,0.4812,0.8761,0.4164,0.5836,0.2188,PASS,NO EDGE,4,0.4164,0.5836,PASS,NO EDGE,3.8625,3.3300,1.2350,1.1300,3.7250,3.3841,3.1500,2.4252,1.2000,0.9129,10.1000,8.6808,0.3272,0.3189,0.4296,0.4332,4.8178,4.8679,,,,,,,0.3503,0.3539,0.4209,0.5107,0.1796,0.2306,3,3,0.3503,0.3539,0.4209,0.5107,0.1796,0.2306,0,0,prior,prior,0.8000,0.4000,1.0000,0.8000,5,5,0.6000,0.5000,0.7000,0.7000,10,10,0.4992,15.0000,20.2000,301,44,0,12.9843,15.4741,3.8625,3.3300,3.7250,3.3841,1.2000,0.9129,3.1500,2.4252,10.1000,8.6808,1.2350,1.1300,prior,prior,0,0,0,0,0,0,0,NRFI,PASS
2022-04-07,661042,HOU,LAA,Framber Valdez,Shohei Ohtani,ltd,ltd,live,live,0.9900,0.4525,0.4704,0.9229,0.3974,0.6026,0.2359,YRFI,LEAN,4,0.3974,0.6026,YRFI,LEAN,3.4050,3.4350,1.2500,1.1300,3.8221,3.4615,3.6673,3.0329,0.9036,1.0782,8.5123,10.3188,0.3372,0.3107,0.4415,0.4076,5.2528,4.4619,,,,,,,0.3551,0.3749,0.4554,0.5440,0.1684,0.2810,3,3,0.3551,0.3749,0.4554,0.5440,0.1684,0.2810,0,0,prior,prior,0.2000,0.4000,0.8000,0.8000,5,5,0.5000,0.5000,0.8000,0.9000,10,10,0.4850,38.3000,6.2000,36,5,0,-6.0861,1.1830,3.4050,3.4350,3.8221,3.4615,0.9036,1.0782,3.6673,3.0329,8.5123,10.3188,1.2500,1.1300,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-07,663418,SD,ARI,Yu Darvish,Madison Bumgarner,ltd,ltd,live,live,1.0000,0.4650,0.4343,0.8993,0.4069,0.5931,0.2273,YRFI,LEAN,4,0.4069,0.5931,YRFI,LEAN,4.2150,4.5525,1.1300,1.1975,3.8175,4.3042,2.5381,2.5518,1.4379,1.4088,10.3120,7.9540,0.3207,0.3098,0.4021,0.3847,4.4958,4.2133,,,,,,,0.3430,0.3391,0.4614,0.4507,0.1894,0.1770,3,3,0.3430,0.3391,0.4614,0.4507,0.1894,0.1770,0,0,prior,prior,0.4000,0.4000,0.6000,0.4000,5,5,0.5000,0.5000,0.8000,0.5000,10,10,0.4746,,,,,1,0.0000,0.0000,4.2150,4.5525,3.8175,4.3042,1.4379,1.4088,2.5381,2.5518,10.3120,7.9540,1.1300,1.1975,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-07,661333,BOS,NYY,Nathan Eovaldi,Gerrit Cole,ltd,ltd,live,live,1.0200,0.4164,0.3845,0.8010,0.4489,0.5511,0.1916,PASS,NO EDGE,4,0.4489,0.5511,PASS,NO EDGE,3.8625,3.4725,1.2050,1.1075,3.0043,3.1638,2.0474,2.2782,0.8560,1.1945,9.4532,11.2822,0.3272,0.3217,0.4460,0.4076,5.0607,4.3941,,,,,,,0.3455,0.3569,0.4834,0.4886,0.2151,0.2265,3,3,0.3455,0.3569,0.4834,0.4886,0.2151,0.2265,0,0,prior,prior,0.6000,0.2000,0.8000,0.6000,5,5,0.5000,0.4000,0.9000,0.6000,10,10,0.5203,10.1000,36.0000,102,94,0,-32.3566,-15.7814,3.8625,3.4725,3.0043,3.1638,0.8560,1.1945,2.0474,2.2782,9.4532,11.2822,1.2050,1.1075,prior,prior,0,0,0,0,3,2,5,YRFI,PASS
2022-04-07,661750,SEA,MIN,Robbie Ray,Joe Ryan,ltd,ltd,live,live,0.9700,0.4061,0.4343,0.8404,0.4315,0.5685,0.2058,PASS,NO EDGE,4,0.4315,0.5685,PASS,NO EDGE,3.1800,4.1673,1.0925,1.1496,3.7207,4.0182,2.5677,2.7200,1.4535,1.2380,10.8941,9.2068,0.3043,0.3143,0.3875,0.4222,4.3150,4.4958,,,,,,,0.3751,0.3467,0.4623,0.5203,0.1623,0.2410,3,3,0.3751,0.3467,0.4623,0.5203,0.1623,0.2410,0,0,prior,prior,0.2000,0.6000,0.4000,1.0000,5,5,0.5000,0.6000,0.6000,1.0000,10,5,0.5085,1.7000,24.3000,348,63,0,7.1046,23.2382,3.1800,4.1673,3.7207,4.0182,1.4535,1.2380,2.5677,2.7200,10.8941,9.2068,1.0925,1.1496,prior,prior,0,0,0,0,2,0,2,YRFI,PASS
2022-04-08,661333,BOS,NYY,Nathan Eovaldi,Gerrit Cole,ltd,ltd,live,live,1.0200,0.4164,0.3845,0.8010,0.4489,0.5511,0.1916,PASS,NO EDGE,4,0.4489,0.5511,PASS,NO EDGE,3.8625,3.4725,1.2050,1.1075,3.0043,3.1638,2.0474,2.2782,0.8560,1.1945,9.4532,11.2822,0.3272,0.3217,0.4460,0.4076,5.0607,4.3941,,,,,,,0.3455,0.3569,0.4834,0.4886,0.2151,0.2265,3,3,0.3455,0.3569,0.4834,0.4886,0.2151,0.2265,0,0,prior,prior,0.6000,0.2000,0.8000,0.6000,5,5,0.5000,0.4000,0.9000,0.6000,10,10,0.5203,12.6000,8.7000,232,61,0,7.9478,-3.5386,3.8625,3.4725,3.0043,3.1638,0.8560,1.1945,2.0474,2.2782,9.4532,11.2822,1.2050,1.1075,prior,prior,0,0,0,0,3,2,5,YRFI,PASS
