date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,away_top3_platoon,home_top3_platoon,away_top3_lhb,home_top3_lhb,away_top3_switch,home_top3_switch,away_pitcher_throws_l,home_pitcher_throws_l,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result,start_hour_et,is_day_game,away_days_rest,home_days_rest,away_arsenal_fb_pct,home_arsenal_fb_pct,away_arsenal_bb_pct,home_arsenal_bb_pct,away_arsenal_off_pct,home_arsenal_off_pct,away_arsenal_fb_velo,home_arsenal_fb_velo,away_arsenal_velo_gap,home_arsenal_velo_gap,away_top3_ops_vs_oppHand,home_top3_ops_vs_oppHand,away_pitcher_throws_hand,home_pitcher_throws_hand,home_xera,away_xera,home_whiff_pct_rank,away_whiff_pct_rank,home_p_last10_era,away_p_last10_era,home_pvt_nrfi_rate,away_pvt_nrfi_rate,home_avg_ip_per_start,away_avg_ip_per_start,home_catcher_id,away_catcher_id,home_catcher_framing,away_catcher_framing,home_catcher_extra_strikes,away_catcher_extra_strikes
2025-04-01,778498,TEX,CIN,Nathan Eovaldi,Carson Spiers,ltd,ltd,live,live,1.0900,0.5671,0.4617,1.0288,0.3574,0.6426,0.2748,YRFI,STRONG,4,0.3574,0.6426,YRFI,STRONG,3.9000,5.1450,1.1450,1.4600,3.7848,4.8800,2.4157,2.7705,1.2122,1.7967,8.8084,8.2117,0.3061,0.3061,0.3829,0.3902,4.2359,4.3263,0.3265,0.3295,0.4338,0.4415,0.1799,0.1932,3,2,0.2364,0.4082,0.2500,0.7333,0.0577,0.3778,3,3,current,current,0.4000,0.4000,0.4000,0.4000,5,5,0.5000,0.5000,0.6000,0.6000,10,10,0.5303,11.1000,10.4000,105,58,0,-8.3058,-6.2589,3.6840,5.1450,3.4205,4.8800,1.2812,1.7967,1.8359,2.7705,9.9344,8.2117,1.0382,1.4600,blend,prior,6.0,0,1,0,1,2,1,1,0,1,0,0,1,0,1,YRFI,WIN,18,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,642851,543309,-0.0172,0.0087,-23.5,24.5
2025-04-01,778497,NYM,MIA,Kodai Senga,Sandy Alcantara,avg,avg,live,live,0.9500,0.4499,0.4271,0.8771,0.4160,0.5840,0.2191,PASS,NO EDGE,2,0.4160,0.5840,PASS,NO EDGE,4.2000,4.2000,1.2500,1.2500,4.2000,4.2000,3.0000,3.0000,1.2000,1.2000,8.9000,8.9000,0.3189,0.3015,0.4149,0.3811,4.7161,3.9760,0.3645,0.3300,0.5082,0.3814,0.2416,0.1073,3,3,0.3542,0.4098,0.3784,0.4400,0.1892,0.1400,3,3,current,current,1.0000,1.0000,1.0000,1.0000,1,1,1.0000,1.0000,1.0000,1.0000,1,1,0.4425,,,,,1,0.0000,0.0000,4.2000,4.2000,4.2000,4.2000,1.2000,1.2000,3.0000,3.0000,8.9000,8.9000,1.2500,1.2500,prior,prior,0,0,0,0,2,2,1,1,1,1,0,0,0,2,2,YRFI,PASS,18,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,663743,620443,0.0156,-0.0013,43.9,-4.3
2025-04-01,778493,PIT,TB,Thomas Harrington,Shane Baz,avg,ltd,live,live,0.9300,0.3818,0.4103,0.7921,0.4529,0.5471,0.1884,NRFI,LEAN,3,0.4529,0.5471,NRFI,LEAN,4.2000,3.4486,1.2500,1.1248,4.2000,3.9749,3.0000,3.0475,1.2000,1.0840,8.9000,8.2084,0.3024,0.3034,0.3746,0.3701,4.1342,3.7895,0.3222,0.3245,0.4262,0.4359,0.1737,0.1726,3,3,0.3276,0.2549,0.2917,0.3469,0.1042,0.1020,3,3,current,current,,0.6000,,0.6000,0,5,,0.5000,,0.6000,0,10,0.5016,,,,,1,0.0000,0.0000,4.2000,3.4486,4.2000,3.9749,1.2000,1.0840,3.0000,3.0475,8.9000,8.2084,1.2500,1.1248,prior,prior,0,0,0,0,3,1,2,1,1,0,0,0,0,3,3,YRFI,LOSS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,643376,663698,-0.0175,0.0091,-62.8,30.1
2025-04-01,778492,ARI,NYY,Corbin Burnes,Will Warren,ltd,ltd,live,live,1.0200,0.5608,0.4628,1.0236,0.3593,0.6407,0.2729,YRFI,STRONG,4,0.3593,0.6407,YRFI,STRONG,3.2400,5.3322,1.1375,1.3702,3.6378,4.3048,2.4192,3.1950,1.0651,1.3530,8.5194,9.4285,0.3354,0.3317,0.4378,0.4277,5.3828,4.9816,0.3453,0.3658,0.4953,0.5135,0.2350,0.2364,3,3,0.4359,0.5000,0.4375,1.0909,0.1250,0.6364,2,3,current,current,0.6000,0.4000,0.8000,0.6000,5,5,0.4000,0.4000,0.7000,0.6000,10,5,0.5203,8.9000,9.3000,326,45,0,3.1808,8.7391,3.2400,5.3322,3.6378,4.3048,1.0651,1.3530,2.4192,3.1950,8.5194,9.4285,1.1375,1.3702,prior,prior,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,NRFI,LOSS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,669224,672515,0.0094,0.0099,47.6,31.2
2025-04-01,778491,WSH,TOR,Trevor Williams,José Berríos,ltd,ltd,live,live,1.0100,0.4463,0.3920,0.8384,0.4324,0.5676,0.2051,PASS,NO EDGE,4,0.4324,0.5676,PASS,NO EDGE,3.0029,3.7500,1.1341,1.1750,3.3848,4.3862,2.6950,2.6474,0.7630,1.3893,8.4152,7.6011,0.3098,0.3134,0.3783,0.3911,4.1059,4.1681,0.3050,0.3380,0.4054,0.4838,0.1613,0.2152,3,3,0.3400,0.3485,0.5870,0.3333,0.3043,0.0702,3,3,current,current,0.6000,0.6000,0.8000,0.6000,5,5,0.7000,0.5000,0.8000,0.8000,10,10,0.5161,,,,,1,0.0000,0.0000,3.0029,4.8000,3.3848,5.3090,0.7630,1.9114,2.6950,2.8380,8.4152,7.8809,1.1341,1.3400,prior,blend,0,5.0,0,1,3,1,2,0,1,1,0,0,0,0,0,NRFI,PASS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,672386,660688,0.0215,-0.0238,104.3,-68.5
2025-04-01,778490,MIN,CWS,Simeon Woods Richardson,Shane Smith,ltd,avg,live,live,0.9800,0.4558,0.3942,0.8499,0.4275,0.5725,0.2093,PASS,NO EDGE,3,0.4275,0.5725,PASS,NO EDGE,4.1775,4.2000,1.2800,1.2500,4.0394,4.2000,3.1824,3.0000,1.1108,1.2000,8.1541,8.9000,0.3153,0.2814,0.4113,0.3463,4.5692,3.2415,0.3608,0.2893,0.5207,0.3926,0.2270,0.1556,2,2,0.0769,0.2000,0.0400,0.3571,0.0000,0.1786,2,2,current,current,0.2000,,0.4000,,5,0,0.4000,,0.6000,,10,0,0.5180,4.3000,12.8000,62,76,0,-11.5046,-5.6112,4.1775,4.2000,4.0394,4.2000,1.1108,1.2000,3.1824,3.0000,8.1541,8.9000,1.2800,1.2500,prior,prior,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NRFI,PASS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,686676,680777,-0.0215,0.0034,-8.6,11.5
2025-04-01,778488,KC,MIL,Michael Lorenzen,Chad Patrick,ltd,avg,live,live,1.0300,0.4703,0.5747,1.0450,0.3517,0.6483,0.2808,YRFI,STRONG,3,0.3517,0.6483,YRFI,STRONG,3.5414,4.2000,1.2398,1.2500,4.5748,4.2000,3.8798,3.0000,1.1868,1.2000,7.2849,8.9000,0.3070,0.3253,0.4039,0.4039,4.5297,4.7669,0.3572,0.3390,0.4877,0.4246,0.2016,0.1503,3,3,0.3636,0.2500,0.3469,0.2979,0.0408,0.1064,3,3,current,current,0.8000,,0.8000,,5,0,0.7000,,0.7000,,10,0,0.5489,,,,,1,0.0000,0.0000,3.5414,4.2000,4.5748,4.2000,1.1868,1.2000,3.8798,3.0000,7.2849,8.9000,1.2398,1.2500,prior,prior,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,NRFI,LOSS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,606992,521692,-0.0174,-0.0212,-15.9,-82.8
2025-04-01,778495,LAA,STL,Kyle Hendricks,Matthew Liberatore,ltd,ltd,live,live,0.9700,0.4098,0.5097,0.9195,0.3987,0.6013,0.2347,YRFI,LEAN,4,0.3987,0.6013,YRFI,LEAN,5.4900,4.3433,1.4000,1.2643,4.6884,4.0367,2.9793,2.9500,1.3887,1.1650,6.7354,8.2217,0.3024,0.3125,0.3728,0.3939,3.9647,4.1737,0.3299,0.3516,0.4362,0.4294,0.1775,0.1649,3,3,0.2600,0.3214,0.1951,0.4255,0.0244,0.1915,3,3,current,current,0.8000,0.6000,1.0000,0.6000,5,5,0.7000,0.6667,0.9000,0.6667,10,6,0.5786,13.6000,22.1000,117,54,0,-15.0722,-16.1629,5.4900,4.3433,4.6884,4.0367,1.3887,1.1650,2.9793,2.9500,6.7354,8.2217,1.4000,1.2643,prior,prior,0,0,0,0,3,2,0,2,1,0,0,1,0,0,0,NRFI,LOSS,19,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,686780,518595,0.0220,-0.0070,102.7,-17.1
2025-04-01,778489,SF,HOU,Logan Webb,Hayden Wesneski,ltd,ltd,live,live,0.9900,0.4500,0.3955,0.8455,0.4293,0.5707,0.2077,PASS,NO EDGE,4,0.4293,0.5707,PASS,NO EDGE,3.6525,4.0096,1.2350,1.1884,3.1877,4.2923,2.4028,2.8950,0.6636,1.4280,7.9106,8.9410,0.3061,0.3217,0.3975,0.4177,4.2924,4.5838,0.3219,0.3624,0.4418,0.4655,0.1889,0.1843,3,3,0.2941,0.3750,0.2759,0.2895,0.0690,0.0526,2,3,current,current,0.4000,0.6000,0.4000,0.6000,5,5,0.5000,0.5714,0.6000,0.5714,10,7,0.5361,,,,,1,0.0000,0.0000,4.0020,4.0096,3.1301,4.2923,0.5309,1.4280,3.0022,2.8950,8.1285,8.9410,1.3480,1.1884,blend,prior,5.0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,NRFI,PASS,20,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,673237,672275,-0.0088,0.0382,-44.2,201.1
2025-04-01,778485,CLE,SD,Logan Allen,Michael King,ltd,ltd,live,live,0.9500,0.3885,0.6174,1.0059,0.3657,0.6343,0.2664,YRFI,STRONG,4,0.3657,0.6343,YRFI,STRONG,5.3475,3.2625,1.4975,1.2050,5.3137,3.4096,3.6002,3.2053,1.8294,0.9625,7.7168,10.0584,0.3079,0.3235,0.3966,0.4195,4.4020,4.6709,0.3251,0.3369,0.5012,0.4457,0.2363,0.1553,3,3,0.4286,0.3242,0.9130,0.4107,0.5652,0.1250,2,3,current,current,0.0000,0.4000,0.4000,0.6000,5,5,0.2000,0.3000,0.4000,0.5000,10,10,0.5189,14.9000,22.7000,294,58,0,-9.9510,20.4026,5.3475,3.2625,5.3137,3.4096,1.8294,0.9625,3.6002,3.2053,7.7168,10.0584,1.4975,1.2050,prior,prior,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,NRFI,LOSS,21,0,,,0.55,0.55,0.3,0.3,0.15,0.15,93.0,93.0,9.0,9.0,,,,,,,,,,,,,,,553869,666310,-0.0121,-0.0016,-40.8,-8.0
