rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,COL,HOU,1.0465,NRFI,LEAN,LEAN NRFI,55.9,44.1
2,MIA,ATL,1.0408,PASS,NO EDGE,PASS,49.9,50.1
3,CHC,PHI,1.0185,NRFI,LEAN,LEAN NRFI,53.5,46.5
4,SF,CIN,1.0032,PASS,NO EDGE,PASS,52.1,47.9
5,ARI,BAL,0.9942,PASS,NO EDGE,PASS,49.8,50.2
6,WSH,PIT,0.9551,PASS,NO EDGE,PASS,50.4,49.6
7,KC,DET,0.9546,PASS,NO EDGE,PASS,49.4,50.6
8,TB,CWS,0.9272,NRFI,LEAN,LEAN NRFI,53.0,47.0
9,LAA,NYY,0.9106,NRFI,LEAN,LEAN NRFI,54.8,45.2
10,TEX,OAK,0.8917,YRFI,LEAN,LEAN YRFI,45.4,54.6
11,CLE,STL,0.8891,PASS,NO EDGE,PASS,52.7,47.3
12,BOS,MIN,0.8656,PASS,NO EDGE,PASS,52.5,47.5
13,TOR,MIL,0.8029,NRFI,STRONG,STRONG NRFI,65.3,34.7
14,SEA,SD,0.7737,NRFI,LEAN,LEAN NRFI,53.8,46.2
15,NYM,LAD,0.7014,PASS,NO EDGE,PASS,47.1,52.9
