rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,HOU,COL,1.3544,YRFI,STRONG,STRONG YRFI,39.7,60.3
2,STL,WSH,1.0620,PASS,NO EDGE,PASS,51.7,48.3
3,OAK,NYY,1.0031,NRFI,LEAN,LEAN NRFI,56.6,43.4
4,ATL,LAA,0.9873,PASS,NO EDGE,PASS,50.7,49.3
5,BAL,CWS,0.9738,NRFI,LEAN,LEAN NRFI,53.2,46.8
6,KC,CLE,0.9610,NRFI,LEAN,LEAN NRFI,56.4,43.6
7,MIL,BOS,0.9502,PASS,NO EDGE,PASS,47.7,52.3
8,CIN,MIA,0.9361,YRFI,LEAN,LEAN YRFI,46.4,53.6
9,PHI,SF,0.8985,PASS,NO EDGE,PASS,52.2,47.8
10,DET,MIN,0.8920,PASS,NO EDGE,PASS,49.1,50.9
11,SEA,TEX,0.8906,NRFI,STRONG,STRONG NRFI,65.4,34.6
12,CHC,TB,0.8758,PASS,NO EDGE,PASS,52.0,48.0
13,ARI,NYM,0.8533,NRFI,LEAN,LEAN NRFI,57.5,42.5
14,SD,PIT,0.8330,PASS,NO EDGE,PASS,50.6,49.4
15,LAD,TOR,0.7877,NRFI,STRONG,STRONG NRFI,64.0,36.0
