date,game_pk,away_top3_xwoba,home_top3_xwoba,away_top3_k,home_top3_k,away_top3_fi_xwoba,home_top3_fi_xwoba,t1_platoon_xwoba,b1_platoon_xwoba,away_top3_n,home_top3_n,away_lead_xwoba,home_lead_xwoba,away_mid_xwoba,home_mid_xwoba
2024-04-01,744875,0.3265,0.3219,0.2361,0.2346,0.3217,0.3209,,,3,3,0.3237,0.3262,0.3063,0.3186
2024-04-01,745109,0.3333,0.3320,0.2167,0.2334,0.3160,0.3228,,,3,3,0.3425,0.3305,0.3258,0.3308
2024-04-01,745277,0.3192,0.3174,0.2061,0.2407,0.3194,0.3161,,,3,3,0.3247,0.3219,0.3342,0.3223
2024-04-01,745437,0.3138,0.3332,0.2521,0.2149,0.3036,0.3113,,,3,3,0.3112,0.3186,0.3066,0.3309
2024-04-01,745600,0.3243,0.3162,0.2246,0.2371,0.3137,0.3154,,,3,3,0.3397,0.3156,0.3143,0.3248
2024-04-01,745675,0.3180,0.3129,0.2318,0.2473,0.3148,0.3165,,,3,2,0.3182,0.3129,0.3148,0.3175
2024-04-01,745842,0.3250,0.3231,0.2219,0.2255,0.3203,0.3256,,,3,3,0.3329,0.3157,0.3131,0.3264
2024-04-01,746085,0.3123,0.3272,0.2417,0.2191,0.3244,0.3250,,,3,3,0.3044,0.3119,0.3256,0.3289
2024-04-01,746170,0.3251,0.3498,0.2368,0.2157,0.3175,0.3369,,,3,3,0.3339,0.3701,0.3354,0.3284
2024-04-01,746409,0.3354,0.3273,0.2269,0.2321,0.3247,0.3156,,,3,2,0.3268,0.3174,0.3133,0.3286
2024-04-01,746817,0.3174,0.3165,0.2317,0.2396,0.3180,0.3237,,,3,3,0.3156,0.3086,0.3107,0.3148
2024-04-01,746899,0.3175,0.3214,0.2344,0.2135,0.3210,0.3218,,,3,3,0.3285,0.3258,0.3150,0.3299
2024-04-01,747058,0.3327,0.3365,0.2408,0.2131,0.3209,0.3313,,,3,3,0.3325,0.3502,0.3186,0.3330
2024-04-01,747218,0.3204,0.3414,0.2270,0.2107,0.3174,0.3377,,,3,3,0.3111,0.3284,0.3169,0.3381
2024-04-02,745111,0.3357,0.3220,0.2069,0.2291,0.3197,0.3223,0.3224,,3,3,0.3422,0.3217,0.3310,0.3274
2024-04-02,745273,0.3152,0.3156,0.2070,0.2405,0.3179,0.3142,0.3310,0.3163,3,3,0.3204,0.3157,0.3392,0.3212
2024-04-02,745439,0.3253,0.3390,0.2398,0.2103,0.3196,0.3122,0.3186,0.3257,3,3,0.3240,0.3249,0.3174,0.3277
2024-04-02,745598,0.3305,0.3192,0.2376,0.2366,0.3162,0.3305,,,3,3,0.3506,0.3295,0.3193,0.3201
2024-04-02,745680,0.3397,0.3084,0.2213,0.2369,0.3168,0.3207,0.3233,0.3221,3,3,0.3362,0.3092,0.3081,0.3245
2024-04-02,745844,0.3256,0.3214,0.2287,0.2216,0.3201,0.3290,,,3,3,0.3407,0.3197,0.3184,0.3293
2024-04-02,746009,0.3244,0.3233,0.2239,0.2339,0.3152,0.3189,,,3,3,0.3195,0.3128,0.3138,0.3090
2024-04-02,746086,0.3182,0.3264,0.2487,0.2152,0.3189,0.3267,0.3209,,3,3,0.3057,0.3242,0.3239,0.3302
2024-04-02,746169,0.3312,0.3479,0.2238,0.2137,0.3357,0.3367,0.3150,0.3174,3,3,0.3314,0.3692,0.3303,0.3291
2024-04-02,746411,0.3270,0.3332,0.2242,0.2224,0.3215,0.3199,0.3199,0.3184,3,3,0.3300,0.3178,0.3100,0.3257
2024-04-02,746814,0.3264,0.3124,0.2242,0.2452,0.3181,0.3243,0.3140,,3,3,0.3180,0.3017,0.3112,0.3144
2024-04-02,746898,0.3158,0.3237,0.2343,0.2235,0.3195,0.3228,,0.3363,3,3,0.3391,0.3205,0.3006,0.3269
2024-04-02,747057,0.3335,0.3380,0.2331,0.2138,0.3211,0.3310,,,3,3,0.3256,0.3438,0.3157,0.3379
2024-04-02,747220,0.3219,0.3595,0.2227,0.2196,0.3212,0.3560,0.3267,0.3218,3,1,0.3136,,0.3160,0.3257
2024-04-03,744869,0.3249,0.3184,0.2295,0.2323,0.3245,0.3177,,0.3217,3,3,0.3083,0.3219,0.3162,0.3122
2024-04-03,745114,0.3279,0.3188,0.2180,0.2357,0.3158,0.3204,0.3152,0.3245,3,3,0.3359,0.3129,0.3374,0.3225
2024-04-03,745275,0.3158,0.3116,0.2092,0.2519,0.3143,0.3170,0.3150,0.3182,3,3,0.3189,0.3112,0.3382,0.3118
2024-04-03,745440,0.3252,0.3410,0.2396,0.2076,0.3226,0.3120,0.3393,0.3232,3,3,0.3133,0.3255,0.3076,0.3211
2024-04-03,745603,0.3267,0.3286,0.2392,0.2347,0.3127,0.3322,0.3093,0.3090,3,3,0.3461,0.3254,0.3184,0.3239
2024-04-03,745678,0.3188,0.3071,0.2298,0.2398,0.3127,0.3133,0.3195,0.3184,3,3,0.3264,0.3006,0.3191,0.3065
2024-04-03,745843,0.3136,0.3205,0.2220,0.2206,0.3153,0.3257,,,3,3,0.3031,0.3188,0.3288,0.3360
2024-04-03,746008,0.3221,0.3237,0.2292,0.2314,0.3158,0.3188,,,3,3,0.3209,0.3070,0.3177,0.3181
2024-04-03,746083,0.3268,0.3179,0.2394,0.2201,0.3154,0.3186,0.3285,0.3242,3,3,0.3266,0.3139,0.3209,0.3308
2024-04-03,746163,0.3247,0.3491,0.2300,0.2134,0.3157,0.3369,0.3142,0.3205,3,3,0.3272,0.3647,0.3422,0.3240
2024-04-03,746407,0.3254,0.3334,0.2200,0.2123,0.3174,0.3192,0.3017,0.3136,3,3,0.3243,0.3338,0.3097,0.3313
2024-04-03,746816,0.3300,0.3213,0.2117,0.2414,0.3171,0.3262,,0.3298,3,2,0.3324,,0.3080,0.3089
2024-04-03,746900,0.3300,0.3346,0.2121,0.2046,0.3191,0.3323,0.3194,0.3269,3,3,0.3410,0.3314,0.3029,0.3298
2024-04-03,747059,0.3390,0.3407,0.2286,0.2079,0.3154,0.3366,0.3065,0.3237,3,3,0.3379,0.3374,0.3144,0.3143
2024-04-03,747219,0.3192,0.3368,0.2200,0.2043,0.3204,0.3370,0.3167,0.3249,3,3,0.3141,0.3297,0.3274,0.3308
2024-04-04,744870,0.3207,0.3173,0.2376,0.2327,0.3165,0.3061,0.3261,0.3264,3,3,0.3069,0.3233,0.3279,0.3252
2024-04-04,745200,0.3165,0.3099,0.2137,0.2325,0.3073,0.3075,0.3177,0.3195,3,3,0.3166,0.2998,0.3298,0.3210
2024-04-04,745928,0.3154,0.3209,0.2010,0.2198,0.3117,0.3013,0.3189,0.3298,3,3,0.3241,0.3045,0.3267,0.3156
2024-04-04,746327,0.3099,0.3165,0.2469,0.2304,0.3093,0.3076,0.3163,0.3285,3,3,0.2937,0.3337,0.3181,0.3219
2024-04-05,744874,0.3275,0.3185,0.2341,0.2334,0.3228,0.3018,0.3243,0.3234,3,3,0.3376,0.3303,0.3149,0.3230
2024-04-05,745033,0.3257,0.3096,0.2287,0.2354,0.3131,0.3134,0.3160,0.3182,3,2,0.3094,,0.3291,0.3239
2024-04-05,745361,0.3412,0.3291,0.2033,0.2070,0.3082,0.3071,0.3124,0.3147,3,3,0.3265,0.3224,0.3191,0.3378
2024-04-05,745524,0.3362,0.3221,0.2116,0.2307,0.3126,0.3209,0.3094,0.3207,3,3,0.3340,0.3061,0.3403,0.3201
2024-04-05,745764,0.3209,0.3252,0.2187,0.2159,0.3076,0.3137,0.3179,0.3232,3,3,0.3219,0.3145,0.3227,0.3112
2024-04-05,746007,0.3071,0.3248,0.2471,0.2339,0.3014,0.3122,0.3120,0.3109,3,3,0.3103,0.3097,0.3205,0.3174
2024-04-05,746249,0.3231,0.3237,0.2216,0.2272,0.3107,0.3082,0.3275,0.3141,3,3,0.3326,0.3083,0.3259,0.3264
