date,game_pk,away_value,home_value
2024-04-01,744875,5,3
2024-04-01,745109,3,5
2024-04-01,745277,5,5
2024-04-01,745437,5,5
2024-04-01,745600,3,4
2024-04-01,745675,5,5
2024-04-01,745842,3,4
2024-04-01,746085,3,5
2024-04-01,746170,5,5
2024-04-01,746409,5,5
2024-04-01,746817,4,3
2024-04-01,746899,5,3
2024-04-01,747058,3,3
2024-04-01,747218,5,5
2024-04-02,745111,4,6
2024-04-02,745273,6,6
2024-04-02,745439,6,6
2024-04-02,745598,4,5
2024-04-02,745680,6,6
2024-04-02,745844,4,5
2024-04-02,746009,1,1
2024-04-02,746086,4,6
2024-04-02,746169,6,6
2024-04-02,746411,6,6
2024-04-02,746814,5,4
2024-04-02,746898,6,4
2024-04-02,747057,4,4
2024-04-02,747220,6,6
2024-04-03,744869,1,1
2024-04-03,745114,5,7
2024-04-03,745275,7,7
2024-04-03,745440,7,7
2024-04-03,745603,5,6
2024-04-03,745678,7,7
2024-04-03,745843,1,1
2024-04-03,746008,2,2
2024-04-03,746083,5,7
2024-04-03,746163,7,7
2024-04-03,746407,7,7
2024-04-03,746816,6,5
2024-04-03,746900,7,5
2024-04-03,747059,5,5
2024-04-03,747219,7,7
2024-04-04,744870,2,2
2024-04-04,745200,8,8
2024-04-04,745843,1,1
2024-04-04,745844,1,1
2024-04-04,745928,8,3
2024-04-04,746327,1,6
2024-04-05,744874,1,3
2024-04-05,745033,1,1
2024-04-05,745361,1,1
2024-04-05,745524,1,3
2024-04-05,745764,1,1
2024-04-05,746007,1,1
2024-04-05,746249,1,1
2024-04-05,746328,2,7
2024-04-05,746497,1,2
2024-04-05,746576,1,1
2024-04-05,746733,2,1
2024-04-05,746897,1,1
2024-04-05,747143,1,1
2024-04-06,744873,2,4
2024-04-06,745031,2,2
2024-04-06,745197,1,1
2024-04-06,745359,2,2
2024-04-06,745522,2,4
2024-04-06,745766,2,2
2024-04-06,745926,1,1
2024-04-06,746006,2,2
2024-04-06,746248,2,2
2024-04-06,746329,3,8
2024-04-06,746498,2,3
2024-04-06,746575,2,2
2024-04-06,746731,3,2
2024-04-06,746896,2,2
2024-04-06,747140,2,2
2024-04-07,744871,3,5
2024-04-07,745032,3,3
2024-04-07,745198,2,2
2024-04-07,745362,3,3
2024-04-07,745523,3,5
2024-04-07,745765,3,3
2024-04-07,745927,2,2
2024-04-07,746003,3,3
2024-04-07,746251,3,3
2024-04-07,746330,4,9
2024-04-07,746493,3,4
2024-04-07,746574,3,3
2024-04-07,746734,4,3
2024-04-07,746895,3,3
2024-04-07,747141,3,3
2024-04-08,744956,4,4
2024-04-08,745034,4,4
2024-04-08,745194,4,3
2024-04-08,745363,6,4
2024-04-08,745432,4,4
2024-04-08,745520,5,6
2024-04-08,745761,3,4
2024-04-08,745925,4,1
2024-04-08,746252,4,4
2024-04-08,746569,4,4
2024-04-08,746654,5,1
2024-04-08,746735,4,4
2024-04-08,747142,5,4
2024-04-09,744957,5,5
2024-04-09,745030,1,5
2024-04-09,745195,5,4
2024-04-09,745357,7,5
2024-04-09,745433,5,5
2024-04-09,745517,6,7
2024-04-09,745762,4,5
2024-04-09,745924,5,2
2024-04-09,746250,5,5
2024-04-09,746326,5,1
2024-04-09,746571,5,5
2024-04-09,746653,6,2
2024-04-09,746732,5,5
2024-04-09,746981,1,1
2024-04-09,747138,6,5
2024-04-10,744950,6,6
2024-04-10,745024,2,6
2024-04-10,745196,6,5
2024-04-10,745355,8,6
2024-04-10,745429,6,6
2024-04-10,745763,5,6
2024-04-10,745923,6,3
2024-04-10,746247,6,6
2024-04-10,746323,6,2
2024-04-10,746573,6,6
2024-04-10,746655,7,3
2024-04-10,746728,6,6
2024-04-10,746980,2,2
2024-04-10,747139,7,6
2024-04-11,745029,3,7
2024-04-11,745601,1,7
2024-04-11,746322,7,3
2024-04-11,746490,4,1
2024-04-11,746730,7,7
2024-04-11,746977,3,3
2024-04-11,747137,1,1
2024-04-12,744954,1,1
2024-04-12,745112,1,1
2024-04-12,745274,1,1
2024-04-12,745596,2,8
2024-04-12,745679,1,4
2024-04-12,745838,4,2
2024-04-12,746084,2,1
2024-04-12,746162,1,1
2024-04-12,746408,8,8
2024-04-12,746491,1,1
2024-04-12,746656,1,1
2024-04-12,746812,1,1
2024-04-12,746978,1,4
2024-04-12,747055,1,4
2024-04-12,747217,1,1
2024-04-13,744953,2,2
2024-04-13,745110,2,2
2024-04-13,745272,2,2
2024-04-13,745594,3,9
2024-04-13,745676,2,5
2024-04-13,745839,5,3
2024-04-13,746082,3,2
2024-04-13,746161,2,2
2024-04-13,746405,9,9
2024-04-13,746489,2,2
2024-04-13,746490,2,2
2024-04-13,746656,1,1
2024-04-13,746658,1,1
2024-04-13,746811,2,2
2024-04-13,746979,2,5
2024-04-13,747054,2,5
2024-04-13,747215,2,2
2024-04-14,744952,3,3
2024-04-14,745113,3,3
2024-04-14,745271,3,3
2024-04-14,745595,4,10
2024-04-14,745681,3,6
2024-04-14,745841,6,4
2024-04-14,746079,4,3
2024-04-14,746164,3,3
2024-04-14,746404,10,10
2024-04-14,746492,3,3
2024-04-14,746648,2,2
2024-04-14,746810,3,3
2024-04-14,746975,3,6
2024-04-14,747056,3,6
2024-04-14,747216,3,3
2024-04-15,744951,3,4
2024-04-15,745106,4,4
2024-04-15,745268,4,4
2024-04-15,745597,4,11
2024-04-15,745677,4,7
2024-04-15,745840,5,5
2024-04-15,746002,4,4
2024-04-15,746080,4,4
2024-04-15,746158,4,4
2024-04-15,746406,5,11
2024-04-15,746488,11,4
2024-04-15,746813,7,4
2024-04-15,746974,3,7
2024-04-15,747053,4,7
2024-04-15,747213,4,4
2024-04-16,744944,4,5
2024-04-16,745108,5,5
2024-04-16,745270,5,5
2024-04-16,745593,5,12
2024-04-16,745674,5,8
2024-04-16,745837,6,6
2024-04-16,746004,5,5
2024-04-16,746081,5,5
2024-04-16,746157,5,5
2024-04-16,746400,6,12
2024-04-16,746486,12,5
2024-04-16,746809,8,5
2024-04-16,746976,4,8
2024-04-16,747051,5,8
2024-04-16,747214,5,5
2024-04-17,744948,5,6
2024-04-17,745105,6,6
2024-04-17,745267,6,6
2024-04-17,745591,6,13
2024-04-17,745671,6,9
2024-04-17,745836,7,7
2024-04-17,746005,6,6
2024-04-17,746076,6,6
2024-04-17,746159,6,6
2024-04-17,746401,7,13
2024-04-17,746487,13,6
2024-04-17,746807,1,1
2024-04-17,746809,1,1
2024-04-17,746973,5,9
2024-04-17,747049,6,9
2024-04-17,747212,6,6
2024-04-18,745104,7,7
2024-04-18,745356,7,7
2024-04-18,746485,14,7
2024-04-18,746891,7,7
2024-04-18,746970,6,10
2024-04-19,744872,1,1
2024-04-19,745189,1,1
2024-04-19,745352,8,8
2024-04-19,745430,1,1
2024-04-19,745518,11,1
2024-04-19,745592,1,1
2024-04-19,745758,8,1
2024-04-19,745922,8,1
2024-04-19,746160,1,1
2024-04-19,746325,1,1
2024-04-19,746572,1,1
