date,game_pk,away_fi_xwoba,home_fi_xwoba,away_fi_k,home_fi_k,away_fi_bb,home_fi_bb,away_fi_csw,home_fi_csw,away_fi_pa,home_fi_pa,away_fi_velo,home_fi_velo
2024-04-01,744875,,,,,,,,,,,,
2024-04-01,745109,,,,,,,,,,,,
2024-04-01,745277,,,,,,,,,,,,
2024-04-01,745437,,,,,,,,,,,,
2024-04-01,745600,,,,,,,,,,,,
2024-04-01,745675,,,,,,,,,,,,
2024-04-01,745842,,,,,,,,,,,,
2024-04-01,746085,,,,,,,,,,,,
2024-04-01,746170,,,,,,,,,,,,
2024-04-01,746409,,,,,,,,,,,,
2024-04-01,746817,,,,,,,,,,,,
2024-04-01,746899,,,,,,,,,,,,
2024-04-01,747058,,,,,,,,,,,,
2024-04-01,747218,,,,,,,,,,,,
2024-04-02,745111,,0.3198,,0.2799,,0.0912,,0.3042,,3,,
2024-04-02,745273,0.3152,0.3062,0.3068,0.2958,0.0897,0.0912,0.3041,0.2980,4,3,,0.403
2024-04-02,745439,0.3328,0.3023,0.2672,0.2930,0.1022,0.1006,0.2934,0.2992,6,7,,0.395
2024-04-02,745598,,,,,,,,,,,,
2024-04-02,745680,0.3299,0.3136,0.2599,0.2799,0.0897,0.0912,0.2996,0.2971,4,3,,
2024-04-02,745844,,,,,,,,,,,,
2024-04-02,746009,,,,,,,,,,,,
2024-04-02,746086,,0.3276,,0.2713,,0.1037,,0.2948,,5,,
2024-04-02,746169,0.3071,,0.2958,,0.0912,,0.3106,,3,,,
2024-04-02,746411,0.3160,0.3193,0.2912,0.2799,0.0897,0.1070,0.3119,0.2939,4,3,0.277,
2024-04-02,746814,,0.3093,,0.2958,,0.0912,,0.3021,,3,,
2024-04-02,746898,0.3384,,0.2713,,0.0883,,0.3005,,5,,,
2024-04-02,747057,,,,,,,,,,,,
2024-04-02,747220,0.3387,0.3120,0.2593,0.2640,0.1139,0.0912,0.3081,0.2980,8,3,0.512,
2024-04-03,744869,0.3194,,0.2762,,0.0877,,0.3044,,3,,,
2024-04-03,745114,0.3198,0.3116,0.2604,0.3032,0.0877,0.0863,0.2963,0.3005,3,4,,0.771
2024-04-03,745275,0.3100,0.3280,0.2604,0.2677,0.0877,0.1158,0.2965,0.2957,3,5,,0.350
2024-04-03,745440,0.3254,0.3832,0.2563,0.2320,0.0863,0.1137,0.2968,0.2955,4,15,,0.412
2024-04-03,745603,0.3147,0.3186,0.2604,0.2563,0.0877,0.0863,0.2896,0.2902,3,4,,0.381
2024-04-03,745678,0.3110,0.3059,0.2762,0.2747,0.0877,0.0824,0.3038,0.2883,3,7,,
2024-04-03,745843,,,,,,,,,,,,
2024-04-03,746008,,,,,,,,,,,,
2024-04-03,746083,0.3313,0.3135,0.2597,0.2719,0.1123,0.1019,0.3017,0.3021,7,4,,
2024-04-03,746163,0.3031,0.2962,0.2875,0.2747,0.0863,0.0824,0.3096,0.2948,4,7,0.112,0.149
2024-04-03,746407,0.3027,0.3091,0.3080,0.2875,0.0877,0.0863,0.3108,0.3193,3,4,0.274,
2024-04-03,746816,0.3331,,0.2719,,0.0863,,0.3038,,4,,,
2024-04-03,746900,0.3535,,0.2485,,0.0837,,0.2789,,6,,,
2024-04-03,747059,0.3291,0.3144,0.2677,0.2875,0.1004,0.0863,0.3046,0.2985,5,4,0.549,
2024-04-03,747219,0.3169,0.3307,0.2677,0.2875,0.0850,0.0863,0.2953,0.3086,5,4,0.550,
2024-04-04,744870,0.3089,0.3019,0.2574,0.2846,0.0866,0.1009,0.3004,0.3101,3,4,0.461,
2024-04-04,745200,0.3012,0.3127,0.2846,0.2912,0.0852,0.0826,0.3064,0.3058,4,6,,0.355
2024-04-04,745928,0.3116,0.3066,0.2846,0.2846,0.0852,0.0852,0.3032,0.3130,4,4,0.106,
2024-04-04,746327,0.3200,0.3012,0.2420,0.2574,0.0963,0.0866,0.2931,0.2983,7,3,,
2024-04-05,744874,0.2964,0.3014,0.2760,0.2689,0.0857,0.0884,0.3047,0.3113,5,3,,
2024-04-05,745033,0.3056,0.2954,0.2803,0.2689,0.1026,0.0884,0.3116,0.3011,4,3,0.342,
2024-04-05,745361,0.2990,0.3080,0.2848,0.2689,0.0884,0.0884,0.3019,0.2978,3,3,,
2024-04-05,745524,0.3225,0.2983,0.2647,0.2848,0.0870,0.0884,0.3027,0.3124,4,3,,
2024-04-05,745764,0.3140,0.3027,0.2606,0.2689,0.1011,0.0884,0.2930,0.2986,5,3,,
2024-04-05,746007,0.3081,0.2978,0.2689,0.2689,0.0884,0.0884,0.2944,0.2961,3,3,,0.088
2024-04-05,746249,0.3048,0.3439,0.2606,0.2415,0.0857,0.0844,0.2889,0.2918,5,6,,
2024-04-05,746328,0.2989,0.3009,0.2647,0.2689,0.0870,0.0884,0.3069,0.3049,4,3,,
2024-04-05,746497,0.3133,0.2981,0.2530,0.2647,0.0884,0.0870,0.2969,0.3002,3,4,,
2024-04-05,746576,0.3085,0.3138,0.2530,0.2678,0.0884,0.1130,0.2934,0.2964,3,7,,
2024-04-05,746733,0.3100,0.3152,0.2647,0.2647,0.1026,0.1026,0.2906,0.2994,4,4,,
2024-04-05,746897,0.2951,0.3032,0.3006,0.2606,0.0884,0.0857,0.3031,0.2949,3,5,,
2024-04-05,747143,0.3049,0.3039,0.2848,0.2689,0.0884,0.0884,0.3194,0.2949,3,3,,
2024-04-06,744873,0.3082,0.2988,0.2781,0.2869,0.1041,0.0915,0.3053,0.3084,5,3,0.043,
2024-04-06,745031,0.3066,0.3356,0.2668,0.2738,0.0901,0.1025,0.2992,0.2993,4,6,0.684,
2024-04-06,745197,0.3059,0.3154,0.2551,0.2668,0.0915,0.1057,0.2942,0.3077,3,4,,
2024-04-06,745359,0.3276,0.3122,0.2668,0.2781,0.1057,0.0887,0.2992,0.3145,4,5,0.298,
2024-04-06,745522,0.3330,0.3456,0.2627,0.2658,0.0887,0.1142,0.3001,0.2951,5,8,,
2024-04-06,745766,0.3315,0.3015,0.2824,0.2710,0.0901,0.0915,0.3009,0.3068,4,3,,
2024-04-06,745926,0.3147,0.2988,0.2627,0.2869,0.0887,0.0915,0.3065,0.2976,5,3,,
2024-04-06,746006,0.3042,0.3356,0.2980,0.2435,0.0901,0.1177,0.3182,0.3028,4,6,,
2024-04-06,746248,0.2988,0.3155,0.3028,0.2668,0.0915,0.0901,0.2956,0.3112,3,4,,0.325
2024-04-06,746329,0.3111,0.3083,0.2710,0.2668,0.0915,0.1057,0.2942,0.2988,3,4,,
2024-04-06,746498,0.3079,0.3337,0.2551,0.2473,0.0915,0.0887,0.2906,0.2853,3,5,,
2024-04-06,746575,,0.3400,,0.2548,,0.1010,,0.2981,,7,,
2024-04-06,746731,0.3107,0.3129,0.2698,0.2473,0.0861,0.0887,0.2973,0.2870,7,5,0.414,0.346
2024-04-06,746896,0.3149,0.3106,0.2927,0.2668,0.1079,0.1057,0.3018,0.2947,12,4,0.032,0.168
2024-04-06,747140,0.3009,0.3375,0.2869,0.2548,0.0915,0.1308,0.3042,0.2927,3,7,,
2024-04-07,744871,0.3207,0.3157,0.2446,0.2716,0.0875,0.1015,0.3003,0.3015,4,5,,0.178
2024-04-07,745032,0.3123,0.3166,0.2758,0.2643,0.1031,0.0889,0.3011,0.3079,4,3,,
2024-04-07,745198,0.3073,0.3141,0.2802,0.2484,0.0889,0.0889,0.3114,0.2957,3,3,,
2024-04-07,745362,0.3316,0.3033,0.2635,0.3037,0.0835,0.0823,0.3064,0.3115,7,8,,0.332
2024-04-07,745523,0.3098,0.3121,0.2408,0.2484,0.0861,0.0889,0.2983,0.3037,5,3,0.187,
2024-04-07,745765,0.3371,0.3059,0.2826,0.2758,0.0848,0.1031,0.3076,0.2987,6,4,,0.260
2024-04-07,745927,,0.3456,,0.2302,,0.0970,,0.2933,,8,,
2024-04-07,746003,0.3070,0.3224,0.2643,0.2446,0.0889,0.0875,0.3106,0.2986,3,4,,
2024-04-07,746251,0.3052,0.3172,0.2602,0.2703,0.0875,0.0956,0.3114,0.3169,4,9,,
2024-04-07,746330,0.2901,0.3000,0.2978,0.2802,0.0848,0.0889,0.3073,0.3095,6,3,0.554,
2024-04-07,746493,0.3026,0.3081,0.2716,0.2602,0.0861,0.0875,0.3023,0.2991,5,4,,
2024-04-07,746574,0.3327,0.3252,0.2372,0.2408,0.1151,0.1015,0.2922,0.2930,6,5,0.209,0.138
2024-04-07,746734,0.3224,0.3137,0.2643,0.2675,0.0889,0.1000,0.2966,0.2944,3,6,0.448,
2024-04-07,746895,0.2997,0.3074,0.2961,0.2643,0.0889,0.0889,0.3098,0.3028,3,3,,
2024-04-07,747141,0.3223,0.3302,0.2523,0.2602,0.1151,0.0875,0.2922,0.3057,6,4,,
2024-04-08,744956,0.2967,0.3204,0.2750,0.2601,0.0802,0.0802,0.2920,0.3069,7,7,0.389,0.211
2024-04-08,745034,,0.2990,,0.2766,,0.0852,,0.3113,,3,,
2024-04-08,745194,0.3084,0.3336,0.2567,0.2347,0.0839,0.1053,0.2905,0.2890,4,10,,0.250
2024-04-08,745363,0.3117,,0.2607,,0.0852,,0.3014,,3,,,
2024-04-08,745432,0.3091,0.2949,0.2607,0.2632,0.0852,0.0910,0.2960,0.2913,3,10,0.474,0.345
2024-04-08,745520,0.3173,0.3021,0.2410,0.2640,0.1152,0.0814,0.2933,0.3054,4,6,,0.186
2024-04-08,745761,0.3072,0.3534,0.2563,0.2190,0.0937,0.0983,0.2963,0.2984,8,15,0.343,0.393
2024-04-08,745925,0.3108,0.3448,0.2373,0.2269,0.0980,0.0937,0.2993,0.2908,5,8,-0.054,
2024-04-08,746252,0.3034,0.3004,0.2640,0.2607,0.0814,0.0852,0.3050,0.3023,6,3,0.095,
2024-04-08,746569,0.3136,0.3586,0.2303,0.2490,0.1100,0.0910,0.2886,0.2936,7,10,0.336,0.501
2024-04-08,746654,,0.3048,,0.2449,,0.0852,,0.2964,,3,,
2024-04-08,746735,,0.3302,,0.2567,,0.0839,,0.3063,,4,,0.458
2024-04-08,747142,,0.3203,,0.2640,,0.1117,,0.2997,,6,,
2024-04-09,744957,0.3186,0.3011,0.2362,0.2644,0.1183,0.0816,0.3037,0.2989,13,9,0.350,0.276
2024-04-09,745030,0.3034,0.3188,0.2683,0.2310,0.0975,0.0854,0.2958,0.2876,8,6,0.234,0.210
2024-04-09,745195,0.3137,,0.2536,,0.0975,,0.2981,,8,,0.526,
2024-04-09,745357,,0.2976,,0.2683,,0.0828,,0.3023,,8,,0.154
2024-04-09,745433,,0.3781,,0.2211,,0.1235,,0.3027,,18,,0.261
2024-04-09,745517,0.3079,0.2972,0.2499,0.2462,0.1021,0.0854,0.2976,0.2993,5,6,,0.338
2024-04-09,745762,0.3068,0.3125,0.2570,0.2499,0.1075,0.0816,0.2990,0.2958,11,9,0.519,0.297
2024-04-09,745924,0.2812,0.3127,0.2464,0.2538,0.0805,0.1036,0.2922,0.2935,10,4,0.187,
2024-04-09,746250,0.3025,0.3127,0.2830,0.2749,0.0828,0.1090,0.3012,0.3122,8,10,0.797,0.102
2024-04-09,746326,0.2980,0.3148,0.2723,0.2389,0.0841,0.0975,0.3228,0.2973,7,8,0.204,0.423
2024-04-09,746571,0.3269,0.3337,0.2873,0.2499,0.0841,0.0816,0.3163,0.2869,7,9,0.418,0.324
2024-04-09,746653,0.3146,0.2970,0.2321,0.2536,0.0948,0.0975,0.2853,0.3011,10,8,0.296,0.023
2024-04-09,746732,0.3037,0.2998,0.2382,0.2425,0.0880,0.0841,0.2912,0.2881,4,7,,0.017
2024-04-09,746981,0.3068,0.3095,0.2749,0.2574,0.0805,0.0841,0.3034,0.3023,10,7,0.281,0.056
2024-04-09,747138,0.3222,0.2983,0.2420,0.2579,0.0894,0.0894,0.2967,0.3005,3,3,,
2024-04-10,744950,0.3038,0.3155,0.2576,0.2464,0.0848,0.1101,0.2855,0.2920,6,9,0.481,0.176
2024-04-10,745024,0.3107,0.3178,0.2429,0.2388,0.0800,0.0836,0.2812,0.2900,10,7,0.151,0.264
2024-04-10,745196,0.3005,0.3208,0.2500,0.2714,0.0823,0.0943,0.2983,0.2940,8,10,0.313,0.544
2024-04-10,745355,0.3015,0.3074,0.2537,0.2388,0.0836,0.0836,0.3050,0.2917,7,7,-0.032,-0.004
2024-04-10,745429,0.3119,0.3034,0.2639,0.2647,0.0917,0.0971,0.3021,0.2984,12,8,0.414,0.089
2024-04-10,745763,0.3045,0.3080,0.2537,0.2537,0.0836,0.0836,0.3011,0.2827,7,7,0.035,0.107
2024-04-10,745923,0.2843,0.3193,0.3182,0.2462,0.0848,0.1015,0.3154,0.2918,6,5,0.078,
2024-04-10,746247,0.3093,,0.2500,,0.0823,,0.2995,,8,,0.319,
2024-04-10,746323,,0.3042,,0.2273,,0.0848,,0.2942,,6,,0.168
2024-04-10,746573,0.3191,0.3284,0.2609,0.2703,0.0956,0.1297,0.3106,0.2884,9,14,0.106,0.322
2024-04-10,746655,0.3128,0.3225,0.2609,0.2794,0.0812,0.0823,0.3061,0.2991,9,8,0.267,0.313
2024-04-10,746728,,0.3150,,0.2609,,0.1101,,0.3036,,9,,0.207
2024-04-10,746980,0.3041,0.2940,0.2462,0.2647,0.0861,0.0823,0.3016,0.2866,5,8,,-0.067
2024-04-10,747139,0.3134,,0.2462,,0.1015,,0.2894,,5,,0.294,
2024-04-11,745029,0.3195,0.3402,0.2253,0.2517,0.0894,0.0972,0.2785,0.2989,6,11,0.204,0.201
2024-04-11,745601,0.2982,0.2965,0.2859,0.2590,0.0894,0.1000,0.3115,0.2973,6,9,0.584,-0.024
2024-04-11,746322,0.3127,0.3020,0.2553,0.2404,0.1272,0.1046,0.2938,0.2872,10,6,0.249,0.238
2024-04-11,746490,,0.3043,,0.2479,,0.1078,,0.2928,,4,,
2024-04-11,746730,0.3271,0.3047,0.2300,0.2333,0.0855,0.0868,0.2904,0.2838,9,8,0.243,0.347
