date,game_pk,away_xi_yday,home_xi_yday,away_consec,home_consec,away_g7,home_g7
2024-04-01,746817,0,0,0,0,0,0
2024-04-01,746170,0,0,0,0,0,0
2024-04-01,747218,0,0,0,0,0,0
2024-04-01,745437,0,0,0,0,0,0
2024-04-01,745277,0,0,0,0,0,0
2024-04-01,746409,0,0,0,0,0,0
2024-04-01,745842,0,0,0,0,0,0
2024-04-01,745675,0,0,0,0,0,0
2024-04-01,746085,0,0,0,0,0,0
2024-04-01,745600,0,0,0,0,0,0
2024-04-01,747058,0,0,0,0,0,0
2024-04-01,744875,0,0,0,0,0,0
2024-04-01,746899,0,0,0,0,0,0
2024-04-01,745109,0,0,0,0,0,0
2024-04-02,745680,0,0,1,1,1,1
2024-04-02,745844,1,1,1,1,1,1
2024-04-02,747220,0,0,1,1,1,1
2024-04-02,745439,0,0,1,1,1,1
2024-04-02,745273,0,0,1,1,1,1
2024-04-02,746411,0,0,1,1,1,1
2024-04-02,746169,0,0,1,1,1,1
2024-04-02,746898,0,0,1,1,1,1
2024-04-02,745111,0,0,1,1,1,1
2024-04-02,746086,0,0,1,1,1,1
2024-04-02,745598,1,1,1,1,1,1
2024-04-02,747057,0,0,1,1,1,1
2024-04-02,746009,0,0,0,0,0,0
2024-04-02,746814,0,0,1,1,1,1
2024-04-03,745843,1,1,2,2,2,2
2024-04-03,746816,0,0,2,2,2,2
2024-04-03,746163,0,0,2,2,2,2
2024-04-03,746407,0,0,2,2,2,2
2024-04-03,746900,0,0,2,2,2,2
2024-04-03,744869,0,0,0,0,1,1
2024-04-03,745275,0,0,2,2,2,2
2024-04-03,745440,0,0,2,2,2,2
2024-04-03,747219,0,0,2,2,2,2
2024-04-03,745678,1,1,2,2,2,2
2024-04-03,746008,0,0,1,1,1,1
2024-04-03,746083,0,0,2,2,2,2
2024-04-03,745114,0,0,2,2,2,2
2024-04-03,747059,0,0,2,2,2,2
2024-04-03,745603,0,0,2,2,2,2
2024-04-04,746327,0,0,3,3,3,3
2024-04-04,745200,0,0,3,3,3,3
2024-04-04,745928,0,0,3,2,3,2
2024-04-04,744870,0,0,1,1,2,2
2024-04-05,747143,0,0,0,0,3,3
2024-04-05,746249,0,0,0,0,3,3
2024-04-05,746007,0,0,0,0,3,2
2024-04-05,745033,0,0,0,0,3,3
2024-04-05,746328,0,0,4,4,4,4
2024-04-05,744874,0,0,0,2,3,3
2024-04-05,745764,0,0,0,0,3,3
2024-04-05,745361,0,0,0,0,3,3
2024-04-05,745524,0,0,0,2,3,3
2024-04-05,746576,0,0,0,0,3,3
2024-04-05,746897,0,0,0,0,3,3
2024-04-05,746497,0,0,0,0,3,3
2024-04-05,746733,0,0,0,0,3,3
2024-04-06,745359,0,0,1,1,4,4
2024-04-06,746575,0,0,1,1,4,4
2024-04-06,747140,1,1,1,1,4,4
2024-04-06,746006,0,0,1,1,4,3
2024-04-06,746329,0,0,5,5,5,5
2024-04-06,745766,0,0,1,1,4,4
2024-04-06,745031,0,0,1,1,4,4
2024-04-06,746248,0,0,1,1,4,4
2024-04-06,744873,0,0,1,3,4,4
2024-04-06,745522,0,0,1,3,4,4
2024-04-06,746896,0,0,1,1,4,4
2024-04-06,745197,0,0,0,0,4,4
2024-04-06,745926,0,0,0,0,4,3
2024-04-06,746498,0,0,1,1,4,4
2024-04-06,746731,0,0,1,1,4,4
2024-04-07,745927,0,0,1,1,5,4
2024-04-07,745032,0,0,2,2,5,5
2024-04-07,746251,0,0,2,2,5,5
2024-04-07,745362,0,0,2,2,5,5
2024-04-07,746574,0,0,2,2,5,5
2024-04-07,746895,0,0,2,2,5,5
2024-04-07,745198,0,0,1,1,5,5
2024-04-07,746330,0,0,6,6,6,6
2024-04-07,746493,0,0,2,2,5,5
2024-04-07,746734,0,0,2,2,5,5
2024-04-07,745765,0,0,2,2,5,5
2024-04-07,747141,0,0,2,2,5,5
2024-04-07,744871,0,0,2,4,5,5
2024-04-07,745523,1,1,2,4,5,5
2024-04-07,746003,0,0,2,2,5,4
2024-04-08,745194,0,0,3,2,6,6
2024-04-08,745432,0,0,3,3,6,6
2024-04-08,746252,0,0,3,3,6,6
2024-04-08,746569,0,0,3,3,6,6
2024-04-08,745034,0,0,3,3,6,6
2024-04-08,745925,0,0,3,2,6,5
2024-04-08,745363,0,0,5,3,6,6
2024-04-08,744956,0,0,3,3,6,6
2024-04-08,746735,0,0,3,3,5,6
2024-04-08,745520,0,0,3,5,6,6
2024-04-08,745761,0,0,2,3,6,6
2024-04-08,746654,0,0,7,2,7,6
2024-04-08,747142,0,0,3,3,6,6
2024-04-09,745433,0,0,4,4,6,6
2024-04-09,745357,0,0,6,4,6,6
2024-04-09,746250,0,0,4,4,6,6
2024-04-09,746571,0,0,4,4,6,6
2024-04-09,745030,0,0,0,4,5,6
2024-04-09,745195,1,1,4,3,6,6
2024-04-09,745924,0,0,4,3,6,6
2024-04-09,746326,0,0,4,0,6,6
2024-04-09,747138,0,0,4,4,6,6
2024-04-09,744957,0,0,4,4,6,6
2024-04-09,745762,0,0,3,4,6,6
2024-04-09,746732,0,0,4,4,6,6
2024-04-09,746653,0,0,8,3,7,6
2024-04-09,746981,0,0,0,0,5,5
2024-04-09,745517,0,0,4,6,6,6
2024-04-10,747139,0,0,5,5,6,6
2024-04-10,745024,0,0,1,5,5,6
2024-04-10,746323,1,1,5,1,6,6
2024-04-10,746980,0,0,1,1,5,5
2024-04-10,745763,0,0,4,5,6,6
2024-04-10,746728,0,0,5,5,6,6
2024-04-10,745429,0,0,5,5,6,6
2024-04-10,746573,0,0,5,5,6,6
2024-04-10,746247,0,0,5,5,6,6
2024-04-10,745355,0,0,7,5,7,6
2024-04-10,744950,0,0,5,5,6,6
2024-04-10,745196,0,0,5,4,6,6
2024-04-10,745923,0,0,5,4,6,6
2024-04-10,746655,0,0,9,4,7,6
2024-04-11,746730,0,0,6,6,6,6
2024-04-11,746490,0,0,5,0,6,5
2024-04-11,746977,0,0,2,2,5,5
2024-04-11,745601,0,0,0,6,6,6
2024-04-11,746322,0,0,6,2,6,6
2024-04-11,747137,0,0,6,6,6,6
2024-04-11,745029,0,0,2,6,5,6
2024-04-12,746812,1,0,7,0,7,6
2024-04-12,746162,0,0,0,0,6,6
2024-04-12,746656,0,0,0,0,6,5
2024-04-12,745274,0,0,0,0,6,6
2024-04-12,745679,0,0,0,3,6,6
2024-04-12,746408,0,0,7,7,7,7
2024-04-12,746084,0,0,7,0,7,5
2024-04-12,747217,0,0,0,0,5,6
2024-04-12,746978,0,1,0,3,6,6
2024-04-12,746491,0,0,6,1,6,6
2024-04-12,745596,0,0,1,7,6,7
2024-04-12,745838,0,0,3,7,6,7
2024-04-12,747055,1,1,7,3,7,6
2024-04-12,744954,0,0,0,0,6,6
2024-04-12,745112,0,0,0,0,6,6
2024-04-13,745272,0,0,1,1,6,6
2024-04-13,746161,1,1,1,1,6,6
2024-04-13,747215,0,0,1,1,6,6
2024-04-13,746082,0,0,8,1,7,6
2024-04-13,745110,0,0,1,1,6,6
2024-04-13,745676,1,1,1,4,6,6
2024-04-13,746979,0,0,1,4,6,6
2024-04-13,746405,0,0,8,8,7,7
2024-04-13,744953,0,0,1,1,6,6
2024-04-13,746811,0,0,8,1,7,6
2024-04-13,745839,0,0,4,8,6,7
2024-04-13,746489,0,0,7,2,7,6
2024-04-13,746658,0,0,1,1,6,6
2024-04-13,745594,0,0,2,8,6,7
2024-04-13,747054,0,0,8,4,7,6
2024-04-14,746648,0,0,2,2,6,6
2024-04-14,746164,0,0,2,2,6,6
2024-04-14,747216,0,0,2,2,6,6
2024-04-14,745271,0,0,2,2,6,6
2024-04-14,745681,0,0,2,5,6,6
2024-04-14,746810,0,0,9,2,7,6
2024-04-14,746404,0,0,9,9,7,7
2024-04-14,746079,0,0,9,2,7,6
2024-04-14,745113,0,0,2,2,6,6
2024-04-14,745841,0,0,5,9,6,7
2024-04-14,744952,0,0,2,2,6,6
2024-04-14,747056,0,0,9,5,7,6
2024-04-14,745595,0,0,3,9,6,7
2024-04-14,746975,0,0,2,5,6,6
2024-04-14,746492,1,1,8,3,7,6
2024-04-15,746158,0,0,3,3,6,6
2024-04-15,745268,0,0,10,3,7,6
2024-04-15,745677,0,0,3,6,6,6
2024-04-15,747213,0,0,3,3,6,6
2024-04-15,746406,0,0,10,10,7,7
2024-04-15,746002,0,0,3,10,6,7
2024-04-15,746813,0,0,6,3,6,6
2024-04-15,745840,0,0,4,10,6,7
2024-04-15,745106,0,0,3,3,6,6
2024-04-15,746080,0,0,3,3,6,6
2024-04-15,745597,0,0,3,10,6,7
2024-04-15,746488,0,0,10,4,7,6
2024-04-15,747053,0,0,9,6,7,6
2024-04-15,746974,1,0,3,6,6,6
2024-04-15,744951,1,0,3,3,6,6
2024-04-16,746400,0,0,11,11,7,7
2024-04-16,746809,0,0,7,4,7,6
2024-04-16,746157,0,0,4,4,6,6
2024-04-16,745674,0,0,4,7,6,7
2024-04-16,745270,0,0,11,4,7,6
2024-04-16,747214,1,1,4,4,6,6
2024-04-16,746004,0,0,4,11,6,7
2024-04-16,745108,0,0,4,4,6,6
2024-04-16,746976,0,0,4,7,6,7
2024-04-16,744944,0,0,4,4,6,6
2024-04-16,745837,0,0,5,11,6,7
2024-04-16,746081,0,0,4,4,6,6
2024-04-16,745593,1,1,4,11,6,7
2024-04-16,747051,0,0,10,7,7,7
2024-04-16,746486,0,0,11,5,7,6
2024-04-17,746973,1,1,5,8,6,7
2024-04-17,745105,1,1,5,5,6,6
2024-04-17,745591,0,0,5,12,6,7
2024-04-17,745267,0,0,12,5,7,6
2024-04-17,747212,1,1,5,5,6,6
2024-04-17,745671,0,0,5,8,6,7
2024-04-17,746159,0,0,5,5,6,6
2024-04-17,746005,0,0,5,12,6,7
2024-04-17,746807,0,0,8,5,7,6
2024-04-17,746401,0,0,12,12,7,7
2024-04-17,746487,0,0,12,6,7,6
2024-04-17,745836,0,0,6,12,6,7
2024-04-17,747049,0,0,11,8,7,7
2024-04-17,746076,0,0,5,5,6,6
2024-04-17,744948,0,0,5,5,6,6
2024-04-18,746891,0,0,6,6,6,6
2024-04-18,745356,0,0,6,6,6,6
2024-04-18,746970,0,0,6,9,6,7
2024-04-18,746485,0,0,13,7,7,7
2024-04-18,745104,0,0,6,6,6,6
2024-04-19,746572,0,0,0,0,6,6
2024-04-19,745352,0,0,7,7,7,7
2024-04-19,746160,0,0,0,0,6,6
2024-04-19,745430,0,0,0,0,6,6
2024-04-19,745189,0,0,0,0,6,6
2024-04-19,746325,0,0,0,0,6,6
2024-04-19,747136,0,0,14,0,7,6
2024-04-19,745922,0,0,8,0,7,6
