date,game_pk,away_value,home_value
2024-04-01,744875,,
2024-04-01,745109,,
2024-04-01,745277,,
2024-04-01,745437,,
2024-04-01,745600,,
2024-04-01,745675,,
2024-04-01,745842,,
2024-04-01,746085,,
2024-04-01,746170,,
2024-04-01,746409,,
2024-04-01,746817,,
2024-04-01,746899,,
2024-04-01,747058,,
2024-04-01,747218,,
2024-04-02,745111,,
2024-04-02,745273,,
2024-04-02,745439,,
2024-04-02,745598,,
2024-04-02,745680,,
2024-04-02,745844,,
2024-04-02,746009,,
2024-04-02,746086,,
2024-04-02,746169,,
2024-04-02,746411,,
2024-04-02,746814,,
2024-04-02,746898,,
2024-04-02,747057,,
2024-04-02,747220,,
2024-04-03,744869,,
2024-04-03,745114,,
2024-04-03,745275,,
2024-04-03,745440,,
2024-04-03,745603,,
2024-04-03,745678,,
2024-04-03,745843,,
2024-04-03,746008,,
2024-04-03,746083,,
2024-04-03,746163,,
2024-04-03,746407,,
2024-04-03,746816,,
2024-04-03,746900,,
2024-04-03,747059,,
2024-04-03,747219,,
2024-04-04,744870,,
2024-04-04,745200,,
2024-04-04,745928,,
2024-04-04,746327,,
2024-04-05,744874,,
2024-04-05,745033,,
2024-04-05,745361,,
2024-04-05,745524,,
2024-04-05,745764,,
2024-04-05,746007,,
2024-04-05,746249,,
2024-04-05,746328,,
2024-04-05,746497,,
2024-04-05,746576,,
2024-04-05,746733,,
2024-04-05,746897,,
2024-04-05,747143,,
2024-04-06,744873,,
2024-04-06,745031,,
2024-04-06,745197,,
2024-04-06,745359,,
2024-04-06,745522,,
2024-04-06,745766,,
2024-04-06,745926,,
2024-04-06,746006,,
2024-04-06,746248,,
2024-04-06,746329,,
2024-04-06,746498,,
2024-04-06,746575,,
2024-04-06,746731,,
2024-04-06,746896,,
2024-04-06,747140,,
2024-04-07,744871,,
2024-04-07,745032,,
2024-04-07,745198,,
2024-04-07,745362,,
2024-04-07,745523,,
2024-04-07,745765,,
2024-04-07,745927,,
2024-04-07,746003,,
2024-04-07,746251,,
2024-04-07,746330,,
2024-04-07,746493,,
2024-04-07,746574,,
2024-04-07,746734,,
2024-04-07,746895,,
2024-04-07,747141,,
2024-04-08,744956,,
2024-04-08,745034,,
2024-04-08,745194,,
2024-04-08,745363,,
2024-04-08,745432,,
2024-04-08,745520,,
2024-04-08,745761,,0.5662
2024-04-08,745925,,
2024-04-08,746252,,
2024-04-08,746569,,
2024-04-08,746654,,
2024-04-08,746735,,
2024-04-08,747142,,
2024-04-09,744957,,
2024-04-09,745030,,
2024-04-09,745195,,
2024-04-09,745357,,
2024-04-09,745433,,
2024-04-09,745517,,
2024-04-09,745762,,
2024-04-09,745924,,
2024-04-09,746250,,
2024-04-09,746326,,
2024-04-09,746571,,
2024-04-09,746653,,
2024-04-09,746732,,
2024-04-09,746981,,
2024-04-09,747138,,
2024-04-10,744950,,
2024-04-10,745024,,
2024-04-10,745196,,
2024-04-10,745355,,
2024-04-10,745429,,
2024-04-10,745763,,
2024-04-10,745923,,
2024-04-10,746247,,
2024-04-10,746323,,
2024-04-10,746573,,
2024-04-10,746655,,
2024-04-10,746728,,
2024-04-10,746980,,
2024-04-10,747139,,
2024-04-11,745029,,
2024-04-11,745601,,
2024-04-11,746322,,
2024-04-11,746490,,
2024-04-11,746730,,
2024-04-11,746977,,
2024-04-11,747137,,
2024-04-12,744954,,
2024-04-12,745112,,
2024-04-12,745274,,
2024-04-12,745596,,
2024-04-12,745679,,
2024-04-12,745838,,
2024-04-12,746084,,
2024-04-12,746162,,
2024-04-12,746408,,
2024-04-12,746491,,
2024-04-12,746656,,
2024-04-12,746812,,
2024-04-12,746978,,
2024-04-12,747055,,
2024-04-12,747217,,
2024-04-13,744953,,
2024-04-13,745110,,
2024-04-13,745272,,
2024-04-13,745594,,
2024-04-13,745676,,
2024-04-13,745839,,
2024-04-13,746082,,
2024-04-13,746161,,
2024-04-13,746405,,
2024-04-13,746489,,
2024-04-13,746658,,
2024-04-13,746811,,
2024-04-13,746979,,
2024-04-13,747054,,
2024-04-13,747215,,
2024-04-14,744952,,
2024-04-14,745113,,
2024-04-14,745271,,
2024-04-14,745595,,
2024-04-14,745681,,
2024-04-14,745841,,
2024-04-14,746079,,
2024-04-14,746164,,
2024-04-14,746404,,
2024-04-14,746492,,
2024-04-14,746648,1.1813,
2024-04-14,746810,,
2024-04-14,746975,,
2024-04-14,747056,,
2024-04-14,747216,,
2024-04-15,744951,,
2024-04-15,745106,,
2024-04-15,745268,,
2024-04-15,745597,,
2024-04-15,745677,,
2024-04-15,745840,,
2024-04-15,746002,,
2024-04-15,746080,,
2024-04-15,746158,,
2024-04-15,746406,,
2024-04-15,746488,,
2024-04-15,746813,,
2024-04-15,746974,,
2024-04-15,747053,,
2024-04-15,747213,,
2024-04-16,744944,,
2024-04-16,745108,,
2024-04-16,745270,,
2024-04-16,745593,,
2024-04-16,745674,0.8222,
2024-04-16,745837,,
2024-04-16,746004,,
2024-04-16,746081,,
2024-04-16,746157,,
2024-04-16,746400,,0.3436
2024-04-16,746486,,
2024-04-16,746809,,
2024-04-16,746976,,
2024-04-16,747051,,
2024-04-16,747214,,
2024-04-17,744948,,
2024-04-17,745105,,
2024-04-17,745267,,
2024-04-17,745591,,
2024-04-17,745671,,
2024-04-17,745836,,
2024-04-17,746005,,
2024-04-17,746076,,
2024-04-17,746159,,
2024-04-17,746401,0.3530,
2024-04-17,746487,,
2024-04-17,746807,,
2024-04-17,746973,,
2024-04-17,747049,,
2024-04-17,747212,,
2024-04-18,745104,,
2024-04-18,745356,,
2024-04-18,746485,,
2024-04-18,746891,,
2024-04-18,746970,,
2024-04-19,744872,,0.5758
2024-04-19,745189,,
2024-04-19,745352,,
2024-04-19,745430,,
2024-04-19,745518,,
2024-04-19,745592,,
2024-04-19,745758,,
2024-04-19,745922,,
2024-04-19,746160,,-0.0102
2024-04-19,746325,,
2024-04-19,746572,,
2024-04-19,746650,,
2024-04-19,746729,,
2024-04-19,746892,,
2024-04-19,747136,,
2024-04-20,744865,,
2024-04-20,745190,,
2024-04-20,745354,,
2024-04-20,745431,,
2024-04-20,745515,,
2024-04-20,745590,,
2024-04-20,745760,,0.8852
2024-04-20,745921,,
2024-04-20,746156,,
2024-04-20,746324,,
2024-04-20,746570,,
2024-04-20,746651,,0.1803
2024-04-20,746726,,
2024-04-20,746893,,
2024-04-20,747135,,
2024-04-21,744866,0.4393,
2024-04-21,745192,,
2024-04-21,745353,,
2024-04-21,745434,,0.4484
2024-04-21,745514,,
2024-04-21,745588,,
2024-04-21,745759,,
2024-04-21,745920,,
2024-04-21,746154,,
2024-04-21,746316,,
2024-04-21,746568,0.8258,0.1971
2024-04-21,746652,,0.7075
2024-04-21,746727,,-0.4938
2024-04-21,746894,,
2024-04-21,747133,,
2024-04-22,745107,,
2024-04-22,745191,,0.7010
2024-04-22,745351,,
2024-04-22,745519,,
2024-04-22,745757,,0.0587
2024-04-22,745916,,
2024-04-22,746242,,
2024-04-22,746319,,
2024-04-22,746565,,
2024-04-22,746723,,
2024-04-22,747134,,
2024-04-23,744863,,
2024-04-23,745026,,
2024-04-23,745102,,
2024-04-23,745193,,
2024-04-23,745348,,
2024-04-23,745516,,
2024-04-23,745754,,
2024-04-23,745917,,
2024-04-23,746246,,
2024-04-23,746321,,
2024-04-23,746566,,
2024-04-23,746647,,
2024-04-23,746722,,
2024-04-23,746888,,
2024-04-23,747130,,0.2775
2024-04-24,744864,,
2024-04-24,745028,,
2024-04-24,745099,,
2024-04-24,745188,,
2024-04-24,745346,,
2024-04-24,745513,,
2024-04-24,745753,0.6249,
2024-04-24,745919,0.8001,
2024-04-24,746244,,
2024-04-24,746317,,
2024-04-24,746567,,
2024-04-24,746649,,
2024-04-24,746725,,
2024-04-24,746889,,
2024-04-24,747132,,
2024-04-25,744867,0.1196,0.5708
2024-04-25,745027,,0.4941
2024-04-25,745512,,0.4200
2024-04-25,745755,0.3851,0.5729
2024-04-25,745918,,
2024-04-25,746320,,0.7841
2024-04-25,746564,,0.3456
2024-04-25,746646,,
2024-04-25,746724,1.5745,
2024-04-25,746887,,0.4097
2024-04-26,744949,,0.4683
2024-04-26,745025,0.5508,
2024-04-26,745269,,
2024-04-26,745347,,0.0634
2024-04-26,745424,0.3641,0.4956
2024-04-26,745835,,
2024-04-26,746000,0.1342,0.1627
2024-04-26,746078,,
2024-04-26,746243,,0.1255
2024-04-26,746482,,
2024-04-26,746808,0.2155,
2024-04-26,746972,,0.1362
2024-04-26,747050,0.1369,-0.0054
2024-04-26,747129,0.2134,
2024-04-27,744946,,
2024-04-27,745020,0.0327,
2024-04-27,745266,,0.6974
2024-04-27,745350,0.0514,
2024-04-27,745425,0.0428,
2024-04-27,745833,,
2024-04-27,745998,0.1650,
2024-04-27,746075,,
2024-04-27,746245,,
2024-04-27,746484,,
2024-04-27,746560,,0.0074
2024-04-27,746803,1.4356,
2024-04-27,746971,,
2024-04-27,747052,,
2024-04-27,747131,0.7415,
2024-04-28,744947,,-0.0075
2024-04-28,745022,,
2024-04-28,745265,,
2024-04-28,745349,,
2024-04-28,745428,,
2024-04-28,745834,0.5639,0.5955
2024-04-28,746001,0.0676,
2024-04-28,746077,0.2859,
2024-04-28,746237,,
2024-04-28,746483,,
2024-04-28,746561,,0.2518
2024-04-28,746805,,0.2191
2024-04-28,746967,,
2024-04-28,747045,0.6629,
2024-04-28,747125,,
2024-04-29,744945,,
2024-04-29,745263,0.3366,
2024-04-29,745427,,0.7171
2024-04-29,745672,-0.0373,0.4663
2024-04-29,745832,,-0.4437
2024-04-29,745999,0.0617,
2024-04-29,746074,1.5578,
2024-04-29,746236,0.0303,0.6436
2024-04-29,746481,,
2024-04-29,746804,,0.9230
2024-04-29,747046,0.6743,
2024-04-29,747211,-0.1809,
2024-04-30,744942,0.9035,0.2105
2024-04-30,745018,0.5610,
2024-04-30,745260,,0.3832
2024-04-30,745426,,
2024-04-30,745673,0.3632,0.3557
2024-04-30,745831,0.3587,0.6722
2024-04-30,745997,,
2024-04-30,746073,0.3183,
2024-04-30,746239,,0.5083
2024-04-30,746398,,0.5413
2024-04-30,746477,0.5053,
2024-04-30,746806,,0.2474
2024-04-30,746968,,
2024-04-30,747047,0.7186,0.0518
2024-04-30,747210,,
2024-05-01,744939,0.4366,0.4073
2024-05-01,745023,,0.4040
2024-05-01,745261,,0.5154
2024-05-01,745423,0.5275,0.4141
2024-05-01,745670,,0.1574
2024-05-01,745829,,
2024-05-01,745996,0.2478,0.2968
2024-05-01,746072,0.2231,
2024-05-01,746238,1.4386,0.1669
2024-05-01,746399,0.2234,
2024-05-01,746478,0.1960,
2024-05-01,746800,,
2024-05-01,746966,,0.2090
2024-05-01,747048,0.1376,-0.0378
2024-05-01,747207,0.1436,
2024-05-02,745021,,0.4379
2024-05-02,745830,,0.3280
2024-05-02,746070,,
2024-05-02,746403,0.2234,1.0010
2024-05-02,746969,0.1335,
2024-05-02,747044,-0.0154,
2024-05-03,744868,,0.0776
2024-05-03,745101,0.6886,1.3989
2024-05-03,745187,,
2024-05-03,745510,0.0595,-0.0736
2024-05-03,745589,,0.3855
2024-05-03,745665,0.1723,
2024-05-03,745756,,0.1271
2024-05-03,745914,,
2024-05-03,746152,,0.7187
2024-05-03,746318,,0.6139
2024-05-03,746402,0.8234,
2024-05-03,746645,,0.6814
2024-05-03,746721,0.6680,-0.0070
2024-05-03,746890,,
2024-05-03,747208,,
2024-05-04,744862,0.0040,1.2396
2024-05-04,745100,,0.7767
2024-05-04,745183,0.1884,0.5431
2024-05-04,745511,0.2400,
2024-05-04,745583,,-0.0014
2024-05-04,745666,0.2876,0.6848
2024-05-04,745750,,0.6243
2024-05-04,745911,,0.3972
2024-05-04,746155,,0.2269
2024-05-04,746311,,
2024-05-04,746394,1.2294,
2024-05-04,746644,,
2024-05-04,746720,,0.6849
2024-05-04,746884,,
2024-05-04,747209,0.9504,0.5984
2024-05-05,744861,,0.3716
2024-05-05,745103,-0.3887,0.0596
2024-05-05,745185,0.6871,
2024-05-05,745504,0.3463,-0.0667
2024-05-05,745587,0.6297,
2024-05-05,745667,,0.6348
2024-05-05,745751,-0.0612,0.5444
2024-05-05,745913,,
2024-05-05,746153,0.2983,-0.4007
2024-05-05,746314,0.3165,
2024-05-05,746395,0.4773,0.6234
2024-05-05,746643,0.6380,0.9371
2024-05-05,746719,0.1535,
2024-05-05,746883,-0.1938,0.3784
2024-05-05,747206,0.7255,1.0426
2024-05-06,745098,,
2024-05-06,745182,0.7951,0.5620
2024-05-06,745509,0.6035,0.3721
2024-05-06,745585,,1.1748
2024-05-06,745669,0.3748,0.3531
2024-05-06,745912,0.4137,
2024-05-06,746149,,
2024-05-06,746313,,0.7658
2024-05-06,746639,0.1748,0.2021
2024-05-06,746886,,
2024-05-07,744859,0.0216,
2024-05-07,745095,0.2470,0.2979
2024-05-07,745186,0.2700,0.1877
2024-05-07,745508,0.2339,
2024-05-07,745586,0.1168,0.0596
2024-05-07,745668,,0.1955
2024-05-07,745752,,0.2232
2024-05-07,745915,0.5714,
2024-05-07,746147,,0.1213
2024-05-07,746315,0.3188,0.4060
2024-05-07,746559,0.1617,0.2219
2024-05-07,746638,,0.2357
2024-05-07,746718,0.9034,-0.4284
2024-05-07,746885,,0.5355
2024-05-07,747126,0.2705,
2024-05-08,744858,,
2024-05-08,745097,0.4348,1.4149
2024-05-08,745184,0.8057,
2024-05-08,745507,0.0433,0.0178
2024-05-08,745584,0.4777,0.4330
2024-05-08,745659,,
2024-05-08,745664,,
2024-05-08,745749,1.2761,-0.1479
2024-05-08,745906,0.8276,
2024-05-08,746151,0.1696,0.6043
2024-05-08,746312,0.9005,0.6210
2024-05-08,746562,-0.7823,
2024-05-08,746640,,0.9085
2024-05-08,746717,,0.4322
2024-05-08,746879,-0.0894,
2024-05-08,747127,,0.0439
2024-05-09,745748,,0.1418
2024-05-09,745910,1.2899,0.4436
2024-05-09,745995,,
2024-05-09,746241,0.2573,0.8004
