date,game_pk,away_value,home_value
2024-04-01,744875,0.304431,0.358377
2024-04-01,745109,,0.308798
2024-04-01,745277,0.318452,0.316803
2024-04-01,745437,0.310819,0.304372
2024-04-01,745600,,0.313570
2024-04-01,745675,,
2024-04-01,745842,,
2024-04-01,746085,0.330808,0.275401
2024-04-01,746170,0.238410,0.239577
2024-04-01,746409,,
2024-04-01,746817,0.362719,0.356286
2024-04-01,746899,0.367143,0.240372
2024-04-01,747058,,0.337691
2024-04-01,747218,0.227618,0.243550
2024-04-02,745111,0.286305,0.357576
2024-04-02,745273,0.313034,0.305008
2024-04-02,745439,0.298366,0.314591
2024-04-02,745598,0.347042,0.283453
2024-04-02,745680,0.275186,0.289683
2024-04-02,745844,,0.355367
2024-04-02,746009,,
2024-04-02,746086,0.243873,0.313257
2024-04-02,746169,,0.245406
2024-04-02,746411,0.282469,0.292800
2024-04-02,746814,0.317222,0.361023
2024-04-02,746898,0.376084,0.263164
2024-04-02,747057,0.314729,0.323108
2024-04-02,747220,0.219139,
2024-04-03,744869,0.297251,0.370338
2024-04-03,745114,,0.307605
2024-04-03,745275,0.250215,
2024-04-03,745440,,0.305050
2024-04-03,745603,0.331028,0.288895
2024-04-03,745678,0.333387,0.285123
2024-04-03,745843,0.326984,0.355367
2024-04-03,746008,,0.318755
2024-04-03,746083,0.254378,
2024-04-03,746163,0.245277,0.239057
2024-04-03,746407,0.338699,0.341843
2024-04-03,746816,0.332576,
2024-04-03,746900,0.389286,0.223729
2024-04-03,747059,0.327260,0.270951
2024-04-03,747219,0.207252,0.282775
2024-04-04,744870,0.304027,0.346905
2024-04-04,745200,0.353835,0.303261
2024-04-04,745843,0.326984,0.355367
2024-04-04,745844,,0.355367
2024-04-04,745928,0.318326,0.295263
2024-04-04,746327,0.358333,0.263913
2024-04-05,744874,0.319315,0.350347
2024-04-05,745033,,
2024-04-05,745361,0.298632,0.282120
2024-04-05,745524,0.316370,0.306253
2024-04-05,745764,0.311526,0.219349
2024-04-05,746007,0.323018,0.323205
2024-04-05,746249,0.348058,0.234848
2024-04-05,746328,0.297240,0.322925
2024-04-05,746497,0.388924,0.311418
2024-04-05,746576,0.370370,
2024-04-05,746733,0.356696,
2024-04-05,746897,0.245746,0.232643
2024-04-05,747143,0.299471,0.323476
2024-04-06,744873,0.345165,0.306295
2024-04-06,745031,0.296276,0.292825
2024-04-06,745197,0.340092,0.272946
2024-04-06,745359,0.317305,0.281920
2024-04-06,745522,,0.276000
2024-04-06,745766,0.314017,0.209643
2024-04-06,745926,0.320170,0.241758
2024-04-06,746006,0.301586,0.275307
2024-04-06,746248,0.317513,0.223194
2024-04-06,746329,0.297630,0.310599
2024-04-06,746498,0.290132,0.327974
2024-04-06,746575,0.342752,0.351184
2024-04-06,746731,0.308777,0.259366
2024-04-06,746896,0.244458,0.230472
2024-04-06,747140,0.303268,0.343494
2024-04-07,744871,0.354344,
2024-04-07,745032,0.301075,0.294404
2024-04-07,745198,,
2024-04-07,745362,0.322108,
2024-04-07,745523,0.280946,0.303951
2024-04-07,745765,0.300637,0.205014
2024-04-07,745927,,
2024-04-07,746003,,0.233333
2024-04-07,746251,0.272850,0.213758
2024-04-07,746330,,0.294043
2024-04-07,746493,,0.366841
2024-04-07,746574,0.356223,0.392943
2024-04-07,746734,0.293388,0.307585
2024-04-07,746895,,0.238088
2024-04-07,747141,0.311391,0.349415
2024-04-08,744956,0.299997,0.294993
2024-04-08,745034,0.334583,0.287880
2024-04-08,745194,,0.285541
2024-04-08,745363,0.312376,0.241500
2024-04-08,745432,0.237476,0.318435
2024-04-08,745520,0.321495,0.321231
2024-04-08,745761,0.407456,0.197259
2024-04-08,745925,0.256234,0.279276
2024-04-08,746252,0.341566,0.214340
2024-04-08,746569,0.318539,0.371201
2024-04-08,746654,,0.256140
2024-04-08,746735,0.249499,0.360923
2024-04-08,747142,0.296036,0.347569
2024-04-09,744957,0.302801,0.300370
2024-04-09,745030,0.316013,
2024-04-09,745195,0.350633,0.277471
2024-04-09,745357,0.303647,0.219832
2024-04-09,745433,0.230009,0.314366
2024-04-09,745517,0.263999,0.333284
2024-04-09,745762,0.381064,0.198481
2024-04-09,745924,0.256657,0.245869
2024-04-09,746250,0.357518,0.227009
2024-04-09,746326,0.302496,0.311858
2024-04-09,746571,0.323868,0.368609
2024-04-09,746653,,0.338448
2024-04-09,746732,0.235930,0.321979
2024-04-09,746981,0.275698,0.315916
2024-04-09,747138,0.261445,0.339607
2024-04-10,744950,0.266492,0.315441
2024-04-10,745024,0.355962,0.251951
2024-04-10,745196,0.344910,0.310288
2024-04-10,745355,0.331515,0.319308
2024-04-10,745429,0.243227,
2024-04-10,745763,,0.224311
2024-04-10,745923,0.262372,0.230510
2024-04-10,746247,0.248820,0.316011
2024-04-10,746323,0.317098,0.382400
2024-04-10,746573,0.340075,0.395081
2024-04-10,746655,0.268136,0.357161
2024-04-10,746728,0.313500,0.312853
2024-04-10,746980,0.334944,0.312980
2024-04-10,747139,,0.394443
2024-04-11,745029,0.338366,0.283359
2024-04-11,745601,0.287856,0.338267
2024-04-11,746322,0.329705,0.285375
2024-04-11,746490,,0.274487
2024-04-11,746730,0.310580,0.272377
2024-04-11,746977,0.285154,0.283022
2024-04-11,747137,,
2024-04-12,744954,0.387311,0.369633
2024-04-12,745112,0.245053,0.263930
2024-04-12,745274,0.245230,0.285144
2024-04-12,745596,0.290478,0.348736
2024-04-12,745679,0.347129,0.323554
2024-04-12,745838,0.316482,0.271202
2024-04-12,746084,0.331066,0.334303
2024-04-12,746162,0.321368,0.262852
2024-04-12,746408,,0.292015
2024-04-12,746491,0.296988,
2024-04-12,746656,0.221460,0.361486
2024-04-12,746812,0.309775,0.298598
2024-04-12,746978,0.203856,0.293201
2024-04-12,747055,0.338176,0.264275
2024-04-12,747217,0.286035,0.342712
2024-04-13,744953,0.349743,0.311691
2024-04-13,745110,0.226313,
2024-04-13,745272,0.240289,0.306959
2024-04-13,745594,0.334095,0.404591
2024-04-13,745676,0.340992,0.350648
2024-04-13,745839,0.298926,0.274147
2024-04-13,746082,0.342574,0.341712
2024-04-13,746161,0.361323,0.274107
2024-04-13,746405,0.268367,0.279996
2024-04-13,746489,0.308156,0.264108
2024-04-13,746490,0.311070,0.264108
2024-04-13,746656,0.221460,0.361486
2024-04-13,746658,,0.420947
2024-04-13,746811,0.292605,0.273182
2024-04-13,746979,0.236823,0.310343
2024-04-13,747054,0.226819,0.324620
2024-04-13,747215,0.300845,0.334154
2024-04-14,744952,0.342848,0.319029
2024-04-14,745113,0.276168,0.346953
