date,game_pk,away_value,home_value
2024-04-01,744875,,
2024-04-01,745109,,
2024-04-01,745277,,
2024-04-01,745437,,
2024-04-01,745600,,
2024-04-01,745675,,
2024-04-01,745842,,
2024-04-01,746085,,
2024-04-01,746170,,
2024-04-01,746409,,
2024-04-01,746817,,
2024-04-01,746899,,
2024-04-01,747058,,
2024-04-01,747218,,
2024-04-02,745111,,
2024-04-02,745273,,
2024-04-02,745439,,
2024-04-02,745598,,
2024-04-02,745680,,
2024-04-02,745844,,
2024-04-02,746009,,
2024-04-02,746086,,
2024-04-02,746169,,
2024-04-02,746411,,
2024-04-02,746814,,
2024-04-02,746898,,
2024-04-02,747057,,
2024-04-02,747220,,
2024-04-03,744869,,
2024-04-03,745114,,
2024-04-03,745275,,
2024-04-03,745440,,0.441342
2024-04-03,745603,,
2024-04-03,745678,,
2024-04-03,745843,,
2024-04-03,746008,,
2024-04-03,746083,,
2024-04-03,746163,,
2024-04-03,746407,,
2024-04-03,746816,,
2024-04-03,746900,,
2024-04-03,747059,,
2024-04-03,747219,,
2024-04-04,744870,,
2024-04-04,745200,,
2024-04-04,745843,,
2024-04-04,745844,,
2024-04-04,745928,,
2024-04-04,746327,,
2024-04-05,744874,,
2024-04-05,745033,,
2024-04-05,745361,0.434339,
2024-04-05,745524,,
2024-04-05,745764,,
2024-04-05,746007,,
2024-04-05,746249,,
2024-04-05,746328,,
2024-04-05,746497,,
2024-04-05,746576,,
2024-04-05,746733,,
2024-04-05,746897,,
2024-04-05,747143,,
2024-04-06,744873,,
2024-04-06,745031,,
2024-04-06,745197,,
2024-04-06,745359,0.413988,
2024-04-06,745522,,
2024-04-06,745766,,
2024-04-06,745926,0.310789,
2024-04-06,746006,,
2024-04-06,746248,,
2024-04-06,746329,,
2024-04-06,746498,,
2024-04-06,746575,,
2024-04-06,746731,,
2024-04-06,746896,0.499293,
2024-04-06,747140,0.376060,
2024-04-07,744871,,
2024-04-07,745032,0.525687,0.389486
2024-04-07,745198,0.352102,
2024-04-07,745362,0.402736,
2024-04-07,745523,0.416100,
2024-04-07,745765,,
2024-04-07,745927,,
2024-04-07,746003,,
2024-04-07,746251,,
2024-04-07,746330,,
2024-04-07,746493,,
2024-04-07,746574,,
2024-04-07,746734,,
2024-04-07,746895,0.487109,
2024-04-07,747141,0.385827,
2024-04-08,744956,,0.333521
2024-04-08,745034,0.518198,
2024-04-08,745194,,
2024-04-08,745363,,
2024-04-08,745432,0.385638,0.417966
2024-04-08,745520,,0.395259
2024-04-08,745761,0.405241,0.386302
2024-04-08,745925,0.481735,
2024-04-08,746252,,
2024-04-08,746569,0.378670,
2024-04-08,746654,,
2024-04-08,746735,,
2024-04-08,747142,,
2024-04-09,744957,0.349459,0.335800
2024-04-09,745030,,
2024-04-09,745195,0.437365,
2024-04-09,745357,,
2024-04-09,745433,0.390146,0.437850
2024-04-09,745517,,0.371103
2024-04-09,745762,0.413491,0.371905
2024-04-09,745924,0.485161,
2024-04-09,746250,0.354989,
2024-04-09,746326,0.518200,0.449461
2024-04-09,746571,,0.397155
2024-04-09,746653,,0.322907
2024-04-09,746732,,
2024-04-09,746981,0.422432,
2024-04-09,747138,0.409909,
2024-04-10,744950,0.411149,0.352918
2024-04-10,745024,,0.377117
2024-04-10,745196,0.419984,
2024-04-10,745355,,
2024-04-10,745429,0.383883,0.426777
2024-04-10,745763,0.353710,0.386994
2024-04-10,745923,0.479992,
2024-04-10,746247,,
2024-04-10,746323,0.507879,0.443837
2024-04-10,746573,0.375020,
2024-04-10,746655,,0.331158
2024-04-10,746728,,0.443369
2024-04-10,746980,0.412880,
2024-04-10,747139,,
2024-04-11,745029,,0.365898
2024-04-11,745601,0.379161,0.407345
2024-04-11,746322,0.491234,0.451048
2024-04-11,746490,,
2024-04-11,746730,,
2024-04-11,746977,0.401926,0.427999
2024-04-11,747137,0.399453,0.340320
2024-04-12,744954,0.359858,0.368247
2024-04-12,745112,,
2024-04-12,745274,0.367824,0.421583
2024-04-12,745596,0.368911,0.401159
2024-04-12,745679,,
2024-04-12,745838,0.471382,0.395359
2024-04-12,746084,0.361848,0.359578
2024-04-12,746162,0.417542,0.469951
2024-04-12,746408,0.374468,0.481396
2024-04-12,746491,,0.349176
2024-04-12,746656,,
2024-04-12,746812,0.433101,
2024-04-12,746978,,
2024-04-12,747055,0.431480,
2024-04-12,747217,0.396745,0.381538
2024-04-13,744953,0.399208,0.354014
2024-04-13,745110,,
2024-04-13,745272,0.355881,0.420823
2024-04-13,745594,0.396064,0.407425
2024-04-13,745676,0.399085,
2024-04-13,745839,,0.391787
2024-04-13,746082,0.352591,0.352322
2024-04-13,746161,0.456707,0.473911
2024-04-13,746405,0.385899,0.490165
2024-04-13,746489,,0.355734
2024-04-13,746490,,0.355734
2024-04-13,746656,0.392112,0.324057
2024-04-13,746658,0.392112,0.324057
2024-04-13,746811,0.423148,
2024-04-13,746979,0.359126,
2024-04-13,747054,,0.410062
2024-04-13,747215,0.398501,0.381045
2024-04-14,744952,0.392993,0.359062
2024-04-14,745113,0.378149,0.327635
2024-04-14,745271,0.356831,0.342059
2024-04-14,745595,0.406064,0.418588
2024-04-14,745681,,0.350583
2024-04-14,745841,0.450573,0.381532
2024-04-14,746079,0.363320,0.344993
2024-04-14,746164,0.424555,0.472297
2024-04-14,746404,0.373088,0.489066
2024-04-14,746492,0.385883,0.336775
2024-04-14,746648,0.399551,0.355026
2024-04-14,746810,0.417462,
2024-04-14,746975,0.346256,
2024-04-14,747056,0.410001,0.385474
2024-04-14,747216,0.403738,0.387149
2024-04-15,744951,0.416298,0.355561
2024-04-15,745106,0.438643,0.327060
2024-04-15,745268,0.423249,0.361322
2024-04-15,745597,0.387327,0.419718
2024-04-15,745677,,0.357078
2024-04-15,745840,0.406162,0.391464
2024-04-15,746002,0.412230,0.370532
2024-04-15,746080,0.412383,0.364943
2024-04-15,746158,0.411732,0.466598
2024-04-15,746406,0.368563,0.496725
2024-04-15,746488,,0.323993
2024-04-15,746813,0.446148,
2024-04-15,746974,0.324281,0.439502
2024-04-15,747053,,0.442474
2024-04-15,747213,0.347740,0.384863
2024-04-16,744944,0.416518,0.350063
2024-04-16,745108,0.444285,
2024-04-16,745270,0.425064,0.372258
2024-04-16,745593,0.381057,0.410937
2024-04-16,745674,0.382742,0.353937
2024-04-16,745837,0.362047,0.396949
2024-04-16,746004,0.367300,0.398068
2024-04-16,746081,,0.390490
2024-04-16,746157,0.422644,0.468278
2024-04-16,746400,0.393433,0.485171
2024-04-16,746486,0.376439,
2024-04-16,746809,,
2024-04-16,746976,0.330551,0.379168
2024-04-16,747051,0.386173,0.465213
2024-04-16,747214,0.348700,0.384248
2024-04-17,744948,0.409533,0.346338
2024-04-17,745105,0.433859,0.333375
2024-04-17,745267,,0.413725
2024-04-17,745591,0.397861,0.434699
2024-04-17,745671,,
2024-04-17,745836,0.389456,0.392827
2024-04-17,746005,0.369909,
2024-04-17,746076,,0.388135
2024-04-17,746159,0.428575,0.467725
2024-04-17,746401,0.390175,0.406941
2024-04-17,746487,0.373128,0.335041
2024-04-17,746807,0.456131,0.395197
2024-04-17,746809,,
2024-04-17,746973,0.333909,0.402156
2024-04-17,747049,0.379661,0.484112
2024-04-17,747212,0.337611,0.389249
2024-04-18,745104,0.446013,
2024-04-18,745356,0.372337,0.423918
2024-04-18,746485,0.378491,0.411134
2024-04-18,746891,,
2024-04-18,746970,,
2024-04-19,744872,0.405912,0.414437
2024-04-19,745189,0.393267,
2024-04-19,745352,0.390846,
2024-04-19,745430,0.372034,0.403045
2024-04-19,745518,,0.392945
2024-04-19,745592,,0.436543
2024-04-19,745758,0.378783,0.409665
2024-04-19,745922,,0.367748
2024-04-19,746160,0.399390,0.464284
2024-04-19,746325,0.481607,0.437132
2024-04-19,746572,,
2024-04-19,746650,0.343519,0.325136
2024-04-19,746729,0.441899,0.384983
2024-04-19,746892,0.397928,
2024-04-19,747136,0.371570,0.363979
2024-04-20,744865,0.396092,0.414865
2024-04-20,745190,0.388181,0.376389
2024-04-20,745354,0.395056,0.421012
2024-04-20,745431,0.332982,0.416891
2024-04-20,745515,,0.418885
2024-04-20,745590,,0.434613
2024-04-20,745760,0.319537,0.415106
2024-04-20,745921,,0.374121
2024-04-20,746156,0.404176,0.460790
2024-04-20,746324,0.441033,0.433517
2024-04-20,746570,0.368078,0.379764
2024-04-20,746651,,
2024-04-20,746726,0.440966,0.376562
2024-04-20,746891,0.365087,0.351493
2024-04-20,746893,0.394772,
2024-04-20,747135,0.371765,0.400371
2024-04-21,744866,0.460696,0.411777
2024-04-21,745192,0.389531,
2024-04-21,745353,0.396274,0.380468
2024-04-21,745434,0.330832,0.418050
2024-04-21,745514,,0.353278
2024-04-21,745588,,0.427617
2024-04-21,745759,0.383849,0.413563
2024-04-21,745920,0.347194,
2024-04-21,746154,0.411295,0.462432
2024-04-21,746316,0.484319,0.431365
2024-04-21,746568,0.374429,0.374422
2024-04-21,746572,0.374177,0.371783
2024-04-21,746652,0.343673,0.375839
2024-04-21,746727,0.441428,0.458672
2024-04-21,746894,0.395780,0.356172
2024-04-21,747133,0.367989,0.403818
2024-04-22,745107,0.419133,0.327320
2024-04-22,745191,0.389173,
2024-04-22,745351,0.406318,
2024-04-22,745519,0.386426,0.371052
2024-04-22,745757,,0.406130
2024-04-22,745916,,
2024-04-22,746242,0.472839,0.414661
2024-04-22,746319,0.330184,0.428455
2024-04-22,746565,0.423110,0.362875
2024-04-22,746723,0.422874,0.410083
2024-04-22,747134,0.393237,0.365721
2024-04-23,744863,0.467947,0.406975
2024-04-23,745026,0.375399,0.367425
2024-04-23,745102,,0.385950
2024-04-23,745193,0.376375,0.350818
2024-04-23,745348,0.402493,0.406186
2024-04-23,745516,0.396493,0.373202
2024-04-23,745754,,0.401625
2024-04-23,745917,,
2024-04-23,746246,0.482163,0.410204
2024-04-23,746321,0.331009,0.427959
2024-04-23,746566,0.417062,0.365185
2024-04-23,746647,0.413519,0.326385
2024-04-23,746722,0.415244,0.404550
2024-04-23,746888,0.458561,0.332977
2024-04-23,747130,0.366480,0.359057
2024-04-24,744864,0.470616,0.407496
2024-04-24,745028,0.386224,
2024-04-24,745099,,0.363815
2024-04-24,745188,,0.360889
2024-04-24,745346,0.402750,
2024-04-24,745513,,0.344149
2024-04-24,745753,0.309889,0.402323
2024-04-24,745919,,0.345682
2024-04-24,746244,0.447117,0.425572
2024-04-24,746317,0.341536,0.427434
2024-04-24,746567,0.421233,0.363091
2024-04-24,746649,0.445012,0.326751
2024-04-24,746725,0.412390,0.455462
2024-04-24,746889,0.383155,0.351519
2024-04-24,747132,0.388925,0.393773
2024-04-25,744867,0.475578,0.400331
2024-04-25,745027,0.419246,
2024-04-25,745512,0.383946,0.403689
2024-04-25,745755,,0.407984
2024-04-25,745918,,0.361942
2024-04-25,746320,0.343019,0.427748
2024-04-25,746564,0.413815,0.393362
2024-04-25,746646,,0.352394
2024-04-25,746724,0.416283,0.464464
2024-04-25,746887,0.379142,0.348603
2024-04-26,744949,0.476353,0.342481
2024-04-26,745025,0.465014,
2024-04-26,745269,0.414652,0.416591
2024-04-26,745347,0.380383,0.392383
2024-04-26,745424,0.417001,0.414166
2024-04-26,745835,0.403691,0.403681
2024-04-26,746000,0.407767,0.390462
2024-04-26,746078,0.397984,0.392242
2024-04-26,746243,0.347014,0.436142
2024-04-26,746482,0.424068,0.364041
2024-04-26,746808,0.342095,
2024-04-26,746972,0.351357,
2024-04-26,747050,,0.490606
2024-04-26,747129,0.357815,0.374441
2024-04-27,744946,0.476337,0.335708
2024-04-27,745020,0.458842,
2024-04-27,745266,0.387114,0.422973
2024-04-27,745350,0.382133,
2024-04-27,745425,0.421463,0.392416
2024-04-27,745833,0.403498,0.382498
2024-04-27,745998,0.402414,0.412090
2024-04-27,746075,0.395095,0.356260
2024-04-27,746245,0.374768,0.452155
2024-04-27,746484,0.418473,
2024-04-27,746560,0.378672,0.394706
2024-04-27,746803,,
2024-04-27,746971,0.347678,0.455294
2024-04-27,747052,,0.441419
2024-04-27,747131,0.332009,0.372429
2024-04-28,744947,0.479233,0.345063
2024-04-28,745022,0.458972,
2024-04-28,745265,0.384286,0.392687
2024-04-28,745349,0.387895,0.399001
2024-04-28,745428,0.421284,0.410106
2024-04-28,745834,0.364144,0.389876
2024-04-28,746001,0.404007,0.378577
2024-04-28,746077,,0.355213
2024-04-28,746237,0.346358,0.441411
2024-04-28,746483,0.463255,
2024-04-28,746561,0.378544,0.399940
2024-04-28,746805,0.373036,
2024-04-28,746967,0.348983,0.454510
2024-04-28,747045,0.374906,0.477667
2024-04-28,747125,0.331746,0.383075
2024-04-29,744945,0.417905,0.387276
2024-04-29,745263,0.392842,0.392370
2024-04-29,745427,0.457264,0.421770
2024-04-29,745672,0.383957,0.433390
2024-04-29,745832,0.357432,0.389199
2024-04-29,745999,0.364865,0.376779
2024-04-29,746074,0.452185,0.377388
2024-04-29,746236,0.414435,0.503961
2024-04-29,746481,,
2024-04-29,746804,0.378497,0.330848
2024-04-29,747046,0.414095,0.477084
2024-04-29,747211,0.481402,0.392779
2024-04-30,744942,0.413291,0.345292
2024-04-30,745018,0.402525,
2024-04-30,745260,0.393250,0.387125
2024-04-30,745426,0.461970,0.422284
2024-04-30,745673,0.347874,0.385428
2024-04-30,745831,,0.390261
2024-04-30,745997,0.357744,0.425449
2024-04-30,746073,0.398522,0.395868
2024-04-30,746239,0.414219,0.453028
2024-04-30,746398,0.328845,0.377696
2024-04-30,746477,0.394729,
2024-04-30,746481,0.394729,
2024-04-30,746806,0.376664,
2024-04-30,746968,0.397306,0.450557
2024-04-30,747047,0.418454,0.460224
2024-04-30,747210,0.474529,0.377927
2024-05-01,744939,0.414335,0.346576
2024-05-01,745023,0.444633,0.383767
2024-05-01,745261,0.394111,0.391277
2024-05-01,745423,0.459396,0.418107
2024-05-01,745670,0.349716,0.394381
2024-05-01,745829,0.352399,0.392888
2024-05-01,745996,0.354927,0.371104
