date,game_pk,away_value,home_value
2024-04-01,744875,,
2024-04-01,745109,,
2024-04-01,745277,,
2024-04-01,745437,,0.153485
2024-04-01,745600,,
2024-04-01,745675,,
2024-04-01,745842,,
2024-04-01,746085,,
2024-04-01,746170,,0.163383
2024-04-01,746409,,
2024-04-01,746817,,
2024-04-01,746899,,
2024-04-01,747058,,
2024-04-01,747218,,
2024-04-02,745111,,
2024-04-02,745273,,
2024-04-02,745439,,0.143802
2024-04-02,745598,,
2024-04-02,745680,,
2024-04-02,745844,,
2024-04-02,746009,,
2024-04-02,746086,,
2024-04-02,746169,,0.163826
2024-04-02,746411,,
2024-04-02,746814,,
2024-04-02,746898,,
2024-04-02,747057,,
2024-04-02,747220,,
2024-04-03,744869,,
2024-04-03,745114,,
2024-04-03,745275,0.137247,
2024-04-03,745440,,0.145166
2024-04-03,745603,,
2024-04-03,745678,,
2024-04-03,745843,,
2024-04-03,746008,,
2024-04-03,746083,,0.142948
2024-04-03,746163,,0.171975
2024-04-03,746407,,0.160494
2024-04-03,746816,,
2024-04-03,746900,,
2024-04-03,747059,,
2024-04-03,747219,0.188834,
2024-04-04,744870,0.27798,
2024-04-04,745200,0.166432,0.246928
2024-04-04,745843,,
2024-04-04,745844,,
2024-04-04,745928,0.118085,
2024-04-04,746327,,0.221658
2024-04-05,744874,,
2024-04-05,745033,0.15625,
2024-04-05,745361,0.139062,
2024-04-05,745524,0.146667,0.247368
2024-04-05,745764,,0.18063
2024-04-05,746007,0.315271,
2024-04-05,746249,0.209583,
2024-04-05,746328,0.293333,0.211566
2024-04-05,746497,,
2024-04-05,746576,0.193827,0.226667
2024-04-05,746733,,0.216337
2024-04-05,746897,0.171583,0.12931
2024-04-05,747143,0.101328,
2024-04-06,744873,0.261787,0.273987
2024-04-06,745031,0.150265,0.146096
2024-04-06,745197,0.15379,0.193287
2024-04-06,745359,0.134052,0.232227
2024-04-06,745522,0.131541,0.240546
2024-04-06,745766,0.194139,0.205785
2024-04-06,745926,0.102882,
2024-04-06,746006,0.29798,
2024-04-06,746248,,0.231888
2024-04-06,746329,0.163572,0.21633
2024-04-06,746498,0.274315,
2024-04-06,746575,,0.203558
2024-04-06,746731,0.207303,0.274368
2024-04-06,746896,0.16703,0.153093
2024-04-06,747140,0.096696,0.22619
2024-04-07,744871,0.276455,
2024-04-07,745032,0.148374,0.135032
2024-04-07,745198,0.138718,0.181481
2024-04-07,745362,0.136643,0.219944
2024-04-07,745523,0.131481,0.233043
2024-04-07,745765,0.185877,0.189369
2024-04-07,745927,,
2024-04-07,746003,0.296604,
2024-04-07,746251,0.163857,0.223768
2024-04-07,746330,,
2024-04-07,746493,,0.213927
2024-04-07,746574,0.213763,0.156922
2024-04-07,746734,0.197413,0.194731
2024-04-07,746895,0.176898,0.180022
2024-04-07,747141,0.108314,0.232323
2024-04-08,744956,0.286763,0.180515
2024-04-08,745034,0.150168,0.086915
2024-04-08,745194,0.272662,0.285271
2024-04-08,745363,,
2024-04-08,745432,0.190355,0.138856
2024-04-08,745520,0.223624,0.227198
2024-04-08,745761,0.183858,0.197547
2024-04-08,745925,0.171226,
2024-04-08,746252,0.208024,
2024-04-08,746569,0.113982,0.191537
2024-04-08,746654,,
2024-04-08,746735,0.261852,
2024-04-08,747142,0.20002,0.252252
2024-04-09,744957,0.268829,0.173163
2024-04-09,745030,,
2024-04-09,745195,0.248174,0.22213
2024-04-09,745357,0.262251,0.198234
2024-04-09,745433,0.20543,0.138448
2024-04-09,745517,,0.190983
2024-04-09,745762,0.180219,0.19369
2024-04-09,745924,0.173318,0.192389
2024-04-09,746250,0.197141,
2024-04-09,746326,0.162041,0.204136
2024-04-09,746571,,0.207507
2024-04-09,746653,,0.120961
2024-04-09,746732,0.264228,0.263044
2024-04-09,746981,0.179487,0.175928
2024-04-09,747138,0.157946,0.230159
2024-04-10,744950,0.241419,0.171044
2024-04-10,745024,,0.095408
2024-04-10,745196,0.25704,0.268825
2024-04-10,745355,0.19584,
2024-04-10,745429,0.217754,0.145977
2024-04-10,745763,0.16481,0.178668
2024-04-10,745923,0.191083,0.217778
2024-04-10,746247,0.234858,
2024-04-10,746323,0.159371,0.196145
2024-04-10,746573,0.119658,0.273284
2024-04-10,746655,,0.122366
2024-04-10,746728,0.250553,0.192199
2024-04-10,746980,0.181818,0.189691
2024-04-10,747139,,
2024-04-11,745029,0.226819,0.130582
2024-04-11,745601,0.146491,0.263321
2024-04-11,746322,0.154678,0.198983
2024-04-11,746490,,
2024-04-11,746730,,
2024-04-11,746977,0.197279,0.201852
2024-04-11,747137,0.16968,0.215387
2024-04-12,744954,0.265862,0.173466
2024-04-12,745112,0.195431,0.248506
2024-04-12,745274,0.225915,0.2579
2024-04-12,745596,0.153347,0.268855
2024-04-12,745679,0.251368,0.246081
2024-04-12,745838,0.187224,0.152347
2024-04-12,746084,0.20915,0.170344
2024-04-12,746162,0.136078,0.179258
2024-04-12,746408,0.13471,0.153641
2024-04-12,746491,,0.188019
2024-04-12,746656,,
2024-04-12,746812,0.259468,
2024-04-12,746978,0.195795,
2024-04-12,747055,0.238466,0.245579
2024-04-12,747217,0.266086,0.126871
2024-04-13,744953,0.18936,0.165979
2024-04-13,745110,0.192476,0.24657
2024-04-13,745272,0.221889,0.257439
2024-04-13,745594,0.237002,0.267051
2024-04-13,745676,0.201753,0.26087
2024-04-13,745839,,0.158183
2024-04-13,746082,0.196429,0.175698
2024-04-13,746161,0.163817,0.175497
2024-04-13,746405,0.127387,0.15206
2024-04-13,746489,0.25406,0.184745
2024-04-13,746490,0.243201,0.184745
2024-04-13,746656,0.174057,0.117428
2024-04-13,746658,0.174057,0.117428
2024-04-13,746811,0.172998,0.163003
2024-04-13,746979,0.194738,
2024-04-13,747054,0.23869,0.172154
2024-04-13,747215,0.266183,0.123122
2024-04-14,744952,0.209457,0.166323
2024-04-14,745113,0.163548,0.192468
2024-04-14,745271,0.228954,0.234542
2024-04-14,745595,0.228144,0.262843
2024-04-14,745681,0.231728,0.249786
2024-04-14,745841,0.176821,0.156007
2024-04-14,746079,0.205556,0.170123
2024-04-14,746164,0.149135,0.173642
2024-04-14,746404,0.130556,0.140999
2024-04-14,746492,0.239086,0.214387
2024-04-14,746648,0.157381,0.154323
2024-04-14,746810,0.269206,0.194392
2024-04-14,746975,0.170834,0.247949
2024-04-14,747056,0.195134,0.206715
2024-04-14,747216,0.25192,0.125716
2024-04-15,744951,0.155411,0.156497
2024-04-15,745106,0.192888,0.180168
2024-04-15,745268,0.260785,0.280193
2024-04-15,745597,0.212385,0.2569
2024-04-15,745677,,0.245864
2024-04-15,745840,0.244887,0.159858
2024-04-15,746002,0.143715,0.238438
2024-04-15,746080,0.187891,0.188003
2024-04-15,746158,0.200987,0.173269
2024-04-15,746406,0.2,0.133143
2024-04-15,746488,,0.206222
2024-04-15,746813,0.190741,0.206685
2024-04-15,746974,0.134594,0.194767
2024-04-15,747053,0.272381,0.165845
2024-04-15,747213,0.218963,0.12339
2024-04-16,744944,0.160501,0.156545
2024-04-16,745108,0.188176,0.237903
2024-04-16,745270,0.265333,0.283392
2024-04-16,745593,0.214057,0.251709
2024-04-16,745674,0.232831,0.258284
2024-04-16,745837,0.187238,0.158157
2024-04-16,746004,0.152007,0.204198
2024-04-16,746081,,0.207733
2024-04-16,746157,0.198148,0.179908
2024-04-16,746400,0.237374,0.126615
2024-04-16,746486,0.137041,0.237348
2024-04-16,746809,,
2024-04-16,746976,0.14023,0.169744
2024-04-16,747051,0.247075,0.16476
2024-04-16,747214,0.184751,0.119691
2024-04-17,744948,0.182506,0.151146
2024-04-17,745105,0.191304,0.174376
2024-04-17,745267,0.244125,0.302236
2024-04-17,745591,0.28987,0.306153
2024-04-17,745671,,
2024-04-17,745836,0.248298,0.171236
2024-04-17,746005,0.154863,0.248452
2024-04-17,746076,,0.212997
2024-04-17,746159,0.186404,0.173876
2024-04-17,746401,0.230423,0.131308
2024-04-17,746487,0.154301,0.218472
2024-04-17,746807,0.193531,0.266586
2024-04-17,746809,,0.236957
2024-04-17,746973,0.129669,0.206326
2024-04-17,747049,0.309097,0.156918
2024-04-17,747212,0.211617,0.114859
2024-04-18,745104,0.200563,0.188316
2024-04-18,745356,0.077033,0.205925
2024-04-18,746485,0.149462,0.220831
2024-04-18,746891,,
2024-04-18,746970,0.160145,0.289797
2024-04-19,744872,0.127165,0.175088
2024-04-19,745189,0.208026,0.186863
2024-04-19,745352,0.132992,
2024-04-19,745430,0.163245,0.152733
2024-04-19,745518,,0.249503
2024-04-19,745592,,0.253747
2024-04-19,745758,0.218248,0.183146
2024-04-19,745922,,0.252647
2024-04-19,746160,0.173505,0.166626
2024-04-19,746325,0.161975,0.186971
2024-04-19,746572,,
2024-04-19,746650,0.246115,0.127428
2024-04-19,746729,0.202991,0.181504
2024-04-19,746892,0.206646,
2024-04-19,747136,0.145269,0.206618
2024-04-20,744865,0.131328,0.205688
2024-04-20,745190,0.209008,0.225374
2024-04-20,745354,0.131951,0.194573
2024-04-20,745431,0.151664,0.168074
2024-04-20,745515,,0.186721
2024-04-20,745590,,0.257047
2024-04-20,745760,0.175223,0.182581
2024-04-20,745921,,0.256015
2024-04-20,746156,0.182631,0.171878
2024-04-20,746324,0.186683,0.181103
2024-04-20,746570,0.291228,0.22953
2024-04-20,746651,,0.148158
2024-04-20,746726,0.201127,0.182269
2024-04-20,746891,0.178649,0.153745
2024-04-20,746893,0.212951,
2024-04-20,747135,0.152145,0.229563
2024-04-21,744866,0.133125,0.201031
2024-04-21,745192,0.206048,0.170716
2024-04-21,745353,0.140318,0.155189
2024-04-21,745434,0.148895,0.169724
2024-04-21,745514,,0.163174
2024-04-21,745588,0.191383,0.253887
2024-04-21,745759,0.217617,0.192468
2024-04-21,745920,0.22091,
2024-04-21,746154,0.183524,0.166898
2024-04-21,746316,0.172808,0.178269
2024-04-21,746568,0.254177,0.239383
2024-04-21,746572,0.267885,0.264917
2024-04-21,746652,0.255437,0.118516
2024-04-21,746727,0.251014,0.272282
2024-04-21,746894,0.217199,0.152953
2024-04-21,747133,0.150058,0.235558
2024-04-22,745107,0.230617,0.143651
2024-04-22,745191,0.136695,0.176353
2024-04-22,745351,0.188622,0.13214
2024-04-22,745519,0.216374,0.224485
2024-04-22,745757,,0.200719
2024-04-22,745916,0.194096,
2024-04-22,746242,0.200574,0.209239
2024-04-22,746319,0.149422,0.170648
2024-04-22,746565,0.167775,0.239771
2024-04-22,746723,0.264379,0.184746
2024-04-22,747134,0.216312,0.215457
2024-04-23,744863,0.164797,0.205831
2024-04-23,745026,0.265393,0.153903
2024-04-23,745102,,0.177254
2024-04-23,745193,0.129456,0.175457
2024-04-23,745348,0.194368,0.193675
2024-04-23,745516,0.243687,0.216547
2024-04-23,745754,,0.212417
2024-04-23,745917,,
2024-04-23,746246,0.168065,0.204712
2024-04-23,746321,0.149808,0.177744
2024-04-23,746566,0.162908,0.23628
2024-04-23,746647,0.225359,0.121625
2024-04-23,746722,0.260889,0.185054
2024-04-23,746888,0.143978,0.162356
2024-04-23,747130,0.190043,0.212293
2024-04-24,744864,0.157579,0.202476
2024-04-24,745028,0.281439,
2024-04-24,745099,0.261348,0.220202
2024-04-24,745188,,0.169522
2024-04-24,745346,0.193202,0.174201
2024-04-24,745513,,0.163396
2024-04-24,745753,0.243076,0.210394
2024-04-24,745919,,0.254364
2024-04-24,746244,0.186308,0.212973
2024-04-24,746317,0.151887,0.174311
2024-04-24,746567,0.161603,0.238883
2024-04-24,746649,0.205823,0.120123
2024-04-24,746725,0.230203,0.281943
2024-04-24,746889,0.129905,0.169261
2024-04-24,747132,0.219311,0.22567
2024-04-25,744867,0.158164,0.200572
2024-04-25,745027,0.306296,
2024-04-25,745512,0.218935,0.245606
2024-04-25,745755,0.254917,0.204089
2024-04-25,745918,,0.254823
2024-04-25,746320,0.14918,0.170738
2024-04-25,746564,0.155996,0.28714
2024-04-25,746646,,0.139725
2024-04-25,746724,0.246181,0.287868
2024-04-25,746887,0.132764,0.178103
2024-04-26,744949,0.158398,0.154249
2024-04-26,745025,0.290064,
2024-04-26,745269,0.126947,0.27326
2024-04-26,745347,0.226017,0.195283
2024-04-26,745424,0.244199,0.157644
2024-04-26,745835,0.170944,0.19353
2024-04-26,746000,0.206719,0.218915
2024-04-26,746078,0.199225,0.221617
2024-04-26,746243,0.253244,0.211255
2024-04-26,746482,0.169401,0.206447
2024-04-26,746808,0.189431,
2024-04-26,746972,0.172956,
2024-04-26,747050,0.205321,0.157208
2024-04-26,747129,0.133661,0.202646
2024-04-27,744946,0.152995,0.196222
2024-04-27,745020,0.292232,
2024-04-27,745266,0.174488,0.274463
2024-04-27,745350,0.222961,0.14098
2024-04-27,745425,0.242964,0.171277
2024-04-27,745833,0.174669,0.18414
2024-04-27,745998,0.20939,0.211068
2024-04-27,746075,0.194613,0.190027
2024-04-27,746245,0.240762,0.243001
2024-04-27,746484,0.170809,0.259687
2024-04-27,746560,0.13473,0.288965
2024-04-27,746803,,
2024-04-27,746971,0.174408,0.220756
2024-04-27,747052,0.266962,0.189772
2024-04-27,747131,0.124162,0.199914
2024-04-28,744947,0.152297,0.159657
2024-04-28,745022,0.297124,0.15695
2024-04-28,745265,0.185422,0.25771
2024-04-28,745349,0.245755,0.195544
2024-04-28,745428,0.243898,0.172438
2024-04-28,745834,0.160723,0.193772
2024-04-28,746001,0.208632,0.213573
2024-04-28,746077,0.219114,0.185381
2024-04-28,746237,0.250763,0.241479
2024-04-28,746483,0.169686,0.243173
2024-04-28,746561,0.132114,0.29763
2024-04-28,746805,0.180066,
2024-04-28,746967,0.172109,0.220933
2024-04-28,747045,0.22114,0.160229
2024-04-28,747125,0.12174,0.203261
2024-04-29,744945,0.167477,0.16955
2024-04-29,745263,0.212953,0.301706
2024-04-29,745427,0.295526,0.166476
2024-04-29,745672,0.243324,0.280892
2024-04-29,745832,0.175188,0.194048
2024-04-29,745999,0.231399,0.21297
2024-04-29,746074,0.22129,0.205306
