category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.0000,0.0114,-0.0114,OK,home_pitcher_q=avg: today=0.0% baseline=1.1% shift=-1.1%
categorical,home_pitcher_q=live,0.8125,0.7614,+0.0511,OK,home_pitcher_q=live: today=81.2% baseline=76.1% shift=+5.1%
categorical,home_pitcher_q=ltd,0.1875,0.1591,+0.0284,OK,home_pitcher_q=ltd: today=18.8% baseline=15.9% shift=+2.8%
categorical,home_pitcher_q=sm,0.0000,0.0682,-0.0682,OK,home_pitcher_q=sm: today=0.0% baseline=6.8% shift=-6.8%
categorical,away_pitcher_q=avg,0.0000,0.0114,-0.0114,OK,away_pitcher_q=avg: today=0.0% baseline=1.1% shift=-1.1%
categorical,away_pitcher_q=live,0.6875,0.6932,-0.0057,OK,away_pitcher_q=live: today=68.8% baseline=69.3% shift=-0.6%
categorical,away_pitcher_q=ltd,0.0625,0.1932,-0.1307,LOW,away_pitcher_q=ltd: today=6.2% baseline=19.3% shift=-13.1%
categorical,away_pitcher_q=sm,0.2500,0.1023,+0.1477,LOW,away_pitcher_q=sm: today=25.0% baseline=10.2% shift=+14.8%
categorical,home_top3c_source=lineup,1.0000,0.8295,+0.1705,OK,home_top3c_source=lineup: today=100.0% baseline=83.0% shift=+17.0%
categorical,home_top3c_source=team_fallback,0.0000,0.1705,-0.1705,OK,home_top3c_source=team_fallback: today=0.0% baseline=17.0% shift=-17.0%
categorical,away_top3c_source=lineup,1.0000,0.8295,+0.1705,OK,away_top3c_source=lineup: today=100.0% baseline=83.0% shift=+17.0%
categorical,away_top3c_source=team_fallback,0.0000,0.1705,-0.1705,OK,away_top3c_source=team_fallback: today=0.0% baseline=17.0% shift=-17.0%
numeric_mean,home_xera_mean,3.9526,4.0833,z=-0.16,OK,home_xera mean 3.953 vs baseline 4.083 (z=-0.16)
numeric_mean,away_xera_mean,3.9232,4.0655,z=-0.16,OK,away_xera mean 3.923 vs baseline 4.066 (z=-0.16)
numeric_mean,home_whiff_pct_rank_mean,52.6250,54.1023,z=-0.07,OK,home_whiff_pct_rank mean 52.625 vs baseline 54.102 (z=-0.07)
numeric_extreme,home_whiff_pct_rank_extreme,3,3,+0,MEDIUM,"home_whiff_pct_rank has 3/16 extreme values (outside [5.0, 95.0]); max=98.00"
numeric_mean,away_whiff_pct_rank_mean,48.0000,52.2386,z=-0.18,OK,away_whiff_pct_rank mean 48.000 vs baseline 52.239 (z=-0.18)
numeric_mean,home_top3c_obp_mean,0.3392,0.3399,z=-0.04,OK,home_top3c_obp mean 0.339 vs baseline 0.340 (z=-0.04)
numeric_mean,away_top3c_obp_mean,0.3431,0.3370,z=+0.37,OK,away_top3c_obp mean 0.343 vs baseline 0.337 (z=+0.37)
numeric_mean,home_top3c_iso_mean,0.1836,0.1791,z=+0.14,OK,home_top3c_iso mean 0.184 vs baseline 0.179 (z=+0.14)
numeric_mean,away_top3c_iso_mean,0.1770,0.1854,z=-0.32,OK,away_top3c_iso mean 0.177 vs baseline 0.185 (z=-0.32)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.7000,0.7102,z=-0.05,OK,home_p_last5_pitcher_nrfi mean 0.700 vs baseline 0.710 (z=-0.05)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.6875,0.7375,z=-0.23,OK,away_p_last5_pitcher_nrfi mean 0.688 vs baseline 0.738 (z=-0.23)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7259,0.7159,z=+0.06,OK,home_p_last10_pitcher_nrfi mean 0.726 vs baseline 0.716 (z=+0.06)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.7000,0.7421,z=-0.22,OK,away_p_last10_pitcher_nrfi mean 0.700 vs baseline 0.742 (z=-0.22)
numeric_mean,away_top3_ops_vs_oppHand_mean,0.7722,0.7872,z=-0.24,OK,away_top3_ops_vs_oppHand mean 0.772 vs baseline 0.787 (z=-0.24)
numeric_mean,home_top3_ops_vs_oppHand_mean,0.7635,0.7840,z=-0.34,OK,home_top3_ops_vs_oppHand mean 0.764 vs baseline 0.784 (z=-0.34)
default_rate,away_top3_ops_vs_oppHand_default_rate,0.0625,0.7200,1/16,OK,away_top3_ops_vs_oppHand defaulted to 0.72 in 1/16 rows (6%); heavy defaulting = predict pipeline failed
default_rate,home_top3_ops_vs_oppHand_default_rate,0.0625,0.7200,1/16,OK,home_top3_ops_vs_oppHand defaulted to 0.72 in 1/16 rows (6%); heavy defaulting = predict pipeline failed
pick_cluster,max_cluster_size,3,-,-,LOW,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = MEDIUM; informational -- not predictive of pick quality)
