date,game_pk,away_team,home_team,field,before,after,official_date,healed_at
2026-07-10,823357,MIL,PIT,actual_result,YRFI,POSTPONED,2026-07-11,2026-09-05T18:42:02Z
2026-07-10,823357,MIL,PIT,graded_result,PASS,POSTPONED,2026-07-11,2026-09-05T18:42:02Z
2026-07-10,823357,MIL,PIT,graded_at,2026-07-11T16:36:26+00:00,2026-09-05T18:42:02Z,2026-07-11,2026-09-05T18:42:02Z
2026-07-10,823357,MIL,PIT,fi_away_runs,0,,2026-07-11,2026-09-05T18:42:02Z
2026-07-10,823357,MIL,PIT,fi_home_runs,2,,2026-07-11,2026-09-05T18:42:02Z
2026-07-10,823357,MIL,PIT,fi_total_runs,2,,2026-07-11,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,actual_result,NRFI,POSTPONED,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,graded_result,PASS,POSTPONED,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,graded_at,2026-07-22T23:27:27+00:00,2026-09-05T18:42:02Z,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,fi_away_runs,0,,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,fi_home_runs,0,,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,823519,PIT,NYY,fi_total_runs,0,,2026-07-22,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,actual_result,NRFI,POSTPONED,2026-07-19,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,graded_result,PASS,POSTPONED,2026-07-19,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,graded_at,2026-07-19T16:54:16+00:00,2026-09-05T18:42:02Z,2026-07-19,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,fi_away_runs,0,,2026-07-19,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,fi_home_runs,0,,2026-07-19,2026-09-05T18:42:02Z
2026-07-18,823523,LAD,NYY,fi_total_runs,0,,2026-07-19,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,actual_result,NRFI,POSTPONED,2026-07-29,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,graded_result,PASS,POSTPONED,2026-07-29,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,graded_at,2026-07-29T23:25:36+00:00,2026-09-05T18:42:02Z,2026-07-29,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,fi_away_runs,0,,2026-07-29,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,fi_home_runs,0,,2026-07-29,2026-09-05T18:42:02Z
2026-07-28,823598,ATL,NYM,fi_total_runs,0,,2026-07-29,2026-09-05T18:42:02Z
2026-04-03,824134,MIL,KC,actual_result,NRFI,POSTPONED,2026-04-04,2026-09-05T18:42:02Z
