captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,130
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-160
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,williamhill_us,Caesars,totals_1st_5_innings,4.0,Over,-135
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,williamhill_us,Caesars,totals_1st_5_innings,4.0,Under,105
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,114
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-152
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betonlineag,BetOnline.ag,totals_1st_5_innings,4.0,Over,-115
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betonlineag,BetOnline.ag,totals_1st_5_innings,4.0,Under,-105
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Over,-122
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Under,100
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betmgm,BetMGM,totals_1st_5_innings,4.0,Over,-118
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betmgm,BetMGM,totals_1st_5_innings,4.0,Under,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,105
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-135
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,114
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-146
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,112
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-146
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betus,BetUS,totals_1st_5_innings,4.0,Over,-115
2026-08-23T15:58:11+00:00,2026-08-23T17:35:00Z,STL,PHI,betus,BetUS,totals_1st_5_innings,4.0,Under,-115
