captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-149
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,112
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betonlineag,BetOnline.ag,totals_1st_5_innings,6.0,Over,-105
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betonlineag,BetOnline.ag,totals_1st_5_innings,6.0,Under,-115
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,mybookieag,MyBookie.ag,totals_1st_5_innings,6.0,Over,-102
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,mybookieag,MyBookie.ag,totals_1st_5_innings,6.0,Under,-120
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,-145
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,115
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,williamhill_us,Caesars,totals_1st_5_innings,6.0,Over,-105
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,williamhill_us,Caesars,totals_1st_5_innings,6.0,Under,-125
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-148
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,116
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,fanduel,FanDuel,totals_1st_5_innings,5.5,Over,-135
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,fanduel,FanDuel,totals_1st_5_innings,5.5,Under,104
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betmgm,BetMGM,totals_1st_5_innings,6.0,Over,-110
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betmgm,BetMGM,totals_1st_5_innings,6.0,Under,-118
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,bovada,Bovada,totals_1st_5_innings,6.0,Over,-110
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,bovada,Bovada,totals_1st_5_innings,6.0,Under,-120
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,-150
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,112
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betus,BetUS,totals_1st_5_innings,6.0,Over,-115
2026-09-06T18:48:30Z,2026-09-06T19:10:00Z,STL,COL,betus,BetUS,totals_1st_5_innings,6.0,Under,-115
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,102
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-135
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betonlineag,BetOnline.ag,totals_1st_5_innings,3.5,Over,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betonlineag,BetOnline.ag,totals_1st_5_innings,3.5,Under,105
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Over,103
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Under,-126
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,120
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-150
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,williamhill_us,Caesars,totals_1st_5_innings,3.5,Over,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,williamhill_us,Caesars,totals_1st_5_innings,3.5,Under,-105
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,112
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-142
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,114
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-148
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betmgm,BetMGM,totals_1st_5_innings,4.0,Over,-102
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betmgm,BetMGM,totals_1st_5_innings,4.0,Under,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,bovada,Bovada,totals_1st_5_innings,4.0,Over,-105
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,bovada,Bovada,totals_1st_5_innings,4.0,Under,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,104
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,-139
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betus,BetUS,totals_1st_5_innings,3.5,Over,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,OAK,SEA,betus,BetUS,totals_1st_5_innings,3.5,Under,-105
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-167
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betonlineag,BetOnline.ag,totals_1st_5_innings,3.5,Over,-113
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betonlineag,BetOnline.ag,totals_1st_5_innings,3.5,Under,-107
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,mybookieag,MyBookie.ag,totals_1st_5_innings,3.5,Over,-114
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,mybookieag,MyBookie.ag,totals_1st_5_innings,3.5,Under,-108
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,120
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-150
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,williamhill_us,Caesars,totals_1st_5_innings,3.5,Over,-125
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,williamhill_us,Caesars,totals_1st_5_innings,3.5,Under,-105
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,114
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-146
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,fanduel,FanDuel,totals_1st_5_innings,3.5,Over,-120
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,fanduel,FanDuel,totals_1st_5_innings,3.5,Under,-108
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,bovada,Bovada,totals_1st_5_innings,3.5,Over,-120
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,bovada,Bovada,totals_1st_5_innings,3.5,Under,-110
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betmgm,BetMGM,totals_1st_5_innings,3.5,Over,-118
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betmgm,BetMGM,totals_1st_5_innings,3.5,Under,-110
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betus,BetUS,totals_1st_5_innings,3.5,Over,-115
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betus,BetUS,totals_1st_5_innings,3.5,Under,-115
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,110
2026-09-06T18:48:30Z,2026-09-06T20:10:00Z,NYY,SD,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,-148
2026-09-06T18:48:30Z,2026-09-06T22:20:00Z,MIN,CWS,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-112
2026-09-06T18:48:30Z,2026-09-06T22:20:00Z,MIN,CWS,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-118
2026-09-06T18:48:30Z,2026-09-06T22:20:00Z,MIN,CWS,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,-115
2026-09-06T18:48:30Z,2026-09-06T22:20:00Z,MIN,CWS,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-105
2026-09-06T18:48:30Z,2026-09-06T22:20:00Z,MIN,CWS,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,-115
