date,game_pk,source_file,side,csv_name,api_name,api_pitcher_id,reason
2024-04-03,746816,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Spencer Strider,Chris Sale,519242,name mismatch (likely starter swap / DH g2)
2024-04-03,746816,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Dominic Leone,Chad Kuhl,641771,name mismatch (likely starter swap / DH g2)
2024-04-03,745843,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Casey Mize,Matt Manning,666159,name mismatch (likely starter swap / DH g2)
2024-04-03,745843,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Adrian Houser,José Buttó,676130,name mismatch (likely starter swap / DH g2)
2024-04-07,745927,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Triston McKenzie,Joey Cantillo,676282,name mismatch (likely starter swap / DH g2)
2024-04-10,747139,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Jose Quintana,Tylor Megill,656731,name mismatch (likely starter swap / DH g2)
2024-04-10,747139,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Allan Winans,Spencer Schwellenbach,680885,name mismatch (likely starter swap / DH g2)
2024-04-11,746490,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Pablo López,Simeon Woods Richardson,680573,name mismatch (likely starter swap / DH g2)
2024-04-11,746490,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Tarik Skubal,Matt Manning,666159,name mismatch (likely starter swap / DH g2)
2024-04-11,746730,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Freddy Peralta,Colin Rea,607067,name mismatch (likely starter swap / DH g2)
2024-04-16,746809,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Brady Singer,Michael Wacha,608379,name mismatch (likely starter swap / DH g2)
2024-04-16,746809,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Jonathan Cannon,Erick Fedde,607200,name mismatch (likely starter swap / DH g2)
2024-04-18,746891,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,A.J. Puk,Roddery Muñoz,682610,name mismatch (likely starter swap / DH g2)
2024-04-18,746891,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Jameson Taillon,Shota Imanaga,684007,name mismatch (likely starter swap / DH g2)
2024-04-19,746572,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Dakota Hudson,Peter Lambert,663567,name mismatch (likely starter swap / DH g2)
2024-04-29,746481,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Kenta Maeda,Matt Manning,666159,name mismatch (likely starter swap / DH g2)
2024-05-08,745184,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Jose Quintana,Sean Manaea,640455,name mismatch (likely starter swap / DH g2)
2024-05-08,745184,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Sonny Gray,Andre Pallante,669467,name mismatch (likely starter swap / DH g2)
2024-05-13,746799,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Trevor Williams,Mitchell Parker,680730,name mismatch (likely starter swap / DH g2)
2024-05-13,746799,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Chris Flexen,Erick Fedde,607200,name mismatch (likely starter swap / DH g2)
2024-05-14,747039,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Chris Bassitt,Bowden Francis,670102,name mismatch (likely starter swap / DH g2)
2024-05-14,747039,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Kyle Bradish,Cade Povich,700249,name mismatch (likely starter swap / DH g2)
2024-05-18,747121,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Yu Darvish,Randy Vásquez,681190,name mismatch (likely starter swap / DH g2)
2024-05-18,747121,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Bryce Elder,Chris Sale,519242,name mismatch (likely starter swap / DH g2)
2024-05-24,745175,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Shota Imanaga,Javier Assad,665871,name mismatch (likely starter swap / DH g2)
2024-05-24,745175,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Miles Mikolas,Kyle Gibson,502043,name mismatch (likely starter swap / DH g2)
2024-05-27,745816,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Tylor Megill,Jose Quintana,500779,name mismatch (likely starter swap / DH g2)
2024-05-28,746468,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Jared Jones,Paul Skenes,694973,name mismatch (likely starter swap / DH g2)
2024-05-28,746468,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Tarik Skubal,Keider Montero,672456,name mismatch (likely starter swap / DH g2)
2024-06-05,746628,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Brady Singer,Cole Ragans,666142,name mismatch (likely starter swap / DH g2)
2024-06-15,745891,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Bailey Ober,Chris Paddack,663978,name mismatch (likely starter swap / DH g2)
2024-07-09,745155,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Michael Wacha,Alec Marsh,679525,name mismatch (likely starter swap / DH g2)
2024-07-09,746773,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Bailey Ober,Pablo López,641154,name mismatch (likely starter swap / DH g2)
2024-07-09,746773,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Erick Fedde,Drew Thorpe,689672,name mismatch (likely starter swap / DH g2)
2024-07-19,747093,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Sonny Gray,Kyle Gibson,502043,name mismatch (likely starter swap / DH g2)
2024-07-19,747093,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Spencer Schwellenbach,Charlie Morton,450203,name mismatch (likely starter swap / DH g2)
2024-07-23,747090,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Chris Sale,Charlie Morton,450203,name mismatch (likely starter swap / DH g2)
2024-07-24,747090,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Chris Sale,Charlie Morton,450203,name mismatch (likely starter swap / DH g2)
2024-08-06,746602,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Ben Lively,Carlos Carrasco,471911,name mismatch (likely starter swap / DH g2)
