date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook
2026-05-01,,ARI,CHC,-165,+125,DraftKings
2026-05-01,,TEX,DET,-135,+100,DraftKings
2026-05-01,,MIL,WSH,-145,+110,DraftKings
2026-05-01,,CIN,PIT,-125,-105,DraftKings
2026-05-01,,BAL,NYY,-110,-120,DraftKings
2026-05-01,,SF,TB,-140,+105,DraftKings
2026-05-01,,PHI,MIA,-135,+105,DraftKings
2026-05-01,,HOU,BOS,+110,-140,DraftKings
2026-05-01,,TOR,MIN,-105,-125,DraftKings
2026-05-01,,LAD,STL,-125,-105,DraftKings
2026-05-01,,ATL,COL,+105,-140,DraftKings
2026-05-01,,NYM,LAA,-105,-125,DraftKings
2026-05-01,,CWS,SD,-115,-115,DraftKings
2026-05-01,,CLE,OAK,-110,-120,DraftKings
2026-05-01,,KC,SEA,-155,+115,DraftKings
