date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-05,,ARI,HOU,-110,-120,DraftKings,2026-09-05T23:15:00.0000000Z
2026-09-05,,ATL,PHI,-115,-115,DraftKings,2026-09-05T22:10:00.0000000Z
2026-09-05,,BOS,BAL,-130,+100,DraftKings,2026-09-05T23:10:00.0000000Z
2026-09-05,,CHC,MIA,-115,-115,DraftKings,2026-09-05T20:10:00.0000000Z
2026-09-05,,DET,CLE,-160,+120,DraftKings,2026-09-05T22:10:00.0000000Z
2026-09-05,,LAA,PIT,-135,+105,DraftKings,2026-09-05T22:40:00.0000000Z
2026-09-05,,MIL,CIN,+100,-130,DraftKings,2026-09-05T22:40:00.0000000Z
2026-09-05,,MIN,CWS,-130,+100,DraftKings,2026-09-05T23:15:00.0000000Z
2026-09-05,,NYY,SD,-125,-105,DraftKings,2026-09-05T23:15:00.0000000Z
2026-09-05,,OAK,SEA,-130,+100,DraftKings,2026-09-06T01:40:00.0000000Z
2026-09-05,,SF,NYM,-110,-120,DraftKings,2026-09-05T20:15:00.0000000Z
2026-09-05,,STL,COL,+105,-140,DraftKings,2026-09-06T00:10:00.0000000Z
2026-09-05,,TB,TEX,-140,+110,DraftKings,2026-09-05T23:05:00.0000000Z
2026-09-05,,TOR,KC,+105,-135,DraftKings,2026-09-05T23:15:00.0000000Z
2026-09-06,,ARI,HOU,-120,-110,DraftKings,2026-09-06T18:10:00.0000000Z
2026-09-06,,ATL,PHI,-105,-120,DraftKings,2026-09-06T17:10:00.0000000Z
2026-09-06,,BOS,BAL,-130,+100,DraftKings,2026-09-06T17:35:00.0000000Z
2026-09-06,,CHC,MIA,-130,+100,DraftKings,2026-09-06T17:40:00.0000000Z
2026-09-06,,DET,CLE,-140,+110,DraftKings,2026-09-06T17:40:00.0000000Z
2026-09-06,,LAA,PIT,-140,+110,DraftKings,2026-09-06T17:35:00.0000000Z
2026-09-06,,MIL,CIN,-110,-120,DraftKings,2026-09-06T16:10:00.0000000Z
2026-09-06,,MIN,CWS,-110,-120,DraftKings,2026-09-06T22:20:00.0000000Z
2026-09-06,,NYY,SD,-145,+115,DraftKings,2026-09-06T20:10:00.0000000Z
2026-09-06,,OAK,SEA,-145,+110,DraftKings,2026-09-06T20:10:00.0000000Z
2026-09-06,,SF,NYM,-115,-115,DraftKings,2026-09-06T17:40:00.0000000Z
2026-09-06,,STL,COL,+115,-150,DraftKings,2026-09-06T19:10:00.0000000Z
2026-09-06,,TB,TEX,-130,+100,DraftKings,2026-09-06T18:35:00.0000000Z
2026-09-06,,TOR,KC,-105,-120,DraftKings,2026-09-06T18:10:00.0000000Z
2026-09-06,,WSH,LAD,-120,-110,DraftKings,2026-09-07T02:10:00.0000000Z
