season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-04-01,746409,TOR,HOU,e914cbf72ee4823839cf5791f98b43f7,2024-04-02T00:10:00Z,2024-04-01T23:05:39Z,betrivers,-139,112,2,0.552166,,0.3512,3
2024,2024-04-01,746899,COL,CHC,ad20be14abb6d8d4f206ac5d9b65e7ad,2024-04-01T18:20:00Z,2024-04-01T17:15:38Z,betrivers,115,-143,2,0.441457,,0.3558,0
2024,2024-04-02,745598,CIN,PHI,b7636fc3f9aad7f5c018f45893c4024f,2024-04-02T22:40:00Z,2024-04-02T21:35:39Z,betrivers,-109,-114,2,0.494698,,0.3209,1
2024,2024-04-03,744869,PIT,WSH,e069506dad15338492a5ddea66181c7c,2024-04-03T22:45:00Z,2024-04-03T21:40:39Z,betrivers,-110,-113,2,0.496819,,0.3711,0
2024,2024-04-03,746900,COL,CHC,104b925f334295fe17874614eab57ee3,2024-04-03T23:40:00Z,2024-04-03T22:35:39Z,betrivers,108,-134,2,0.456389,,0.3647,0
2024,2024-04-04,745200,MIA,STL,96a1dee43e64f4cbf32c63f0fc2d1d02,2024-04-04T20:15:00Z,2024-04-04T19:10:40Z,betrivers,-103,-122,2,0.480055,,0.3294,0
2024,2024-04-05,746576,TB,COL,adce6ed47b0c438eb85426cb28ef6436,2024-04-05T20:10:00Z,2024-04-05T19:05:40Z,betrivers,-162,128,2,0.585023,,0.2908,2
2024,2024-04-06,745031,HOU,TEX,5d09a9f0a672b9928f8cdc837cd6377e,2024-04-06T23:05:00Z,2024-04-06T22:00:39Z,betrivers,-143,116,2,0.559687,,0.3123,0
2024,2024-04-06,745926,CLE,MIN,90752847f7d70361259bbb354f0eff2b,2024-04-06T18:10:00Z,2024-04-06T17:05:38Z,betrivers,102,-127,2,0.469454,,0.3519,1
2024,2024-04-06,746896,LAD,CHC,2421b51cd041afd2f0939006be95712f,2024-04-06T20:05:00Z,2024-04-06T19:00:39Z,betrivers,-105,-118,2,0.486194,,0.3499,0
2024,2024-04-07,747141,ARI,ATL,9baa7d166bd8c40028e491738f78dfba,2024-04-07T17:35:00Z,2024-04-07T16:30:38Z,betrivers,-127,100,2,0.528067,,0.3512,0
2024,2024-04-09,746981,BAL,BOS,cff869ac412b13c4e27283a7bd2cb40b,2024-04-09T18:10:00Z,2024-04-09T17:05:39Z,betrivers,108,-136,2,0.454826,,0.3652,1
2024,2024-04-10,745196,PHI,STL,f5f399b04b5b42c0ac27c004d657a16f,2024-04-10T17:15:00Z,2024-04-10T16:10:39Z,betrivers,-108,-115,2,0.492575,,0.3602,2
2024,2024-04-11,746977,BAL,BOS,3d8ad09142a65f353c419f64285d06e2,2024-04-11T23:10:00Z,2024-04-11T22:05:39Z,betrivers,-106,-118,2,0.487346,,0.3594,2
2024,2024-04-12,745596,PIT,PHI,c7388ee483c2ec40c069e9466a97bf05,2024-04-12T22:40:00Z,2024-04-12T21:35:40Z,betrivers,-127,102,2,0.530546,,0.3640,0
2024,2024-04-01,746170,SF,LAD,8e0f3e8a41495cf9dcf10cb56d96dcad,2024-04-02T02:10:00Z,2024-04-02T01:05:39Z,betrivers,-121,-103,2,0.519017,,0.39916,1
2024,2024-04-02,746814,ATL,CWS,8f331b635a0c7499ad3467396e998a7a,2024-04-02T23:40:00Z,2024-04-02T22:35:39Z,betrivers,-130,106,2,0.537967,,0.328304,0
2024,2024-04-05,745764,TOR,NYY,dcef6dd81d5ddd238af1da71d241ee55,2024-04-05T17:05:00Z,2024-04-05T16:00:41Z,betrivers,-124,100,2,0.525424,,0.356387,0
2024,2024-04-07,745765,TOR,NYY,4d7217d167f00332b0840252f3cb0970,2024-04-07T17:35:00Z,2024-04-07T16:30:38Z,betrivers,-118,-106,2,0.512654,,0.381706,0
2024,2024-04-12,744954,COL,TOR,092d8d1845acece7fd7e865dbcb22dc7,2024-04-12T23:07:00Z,2024-04-12T22:05:39Z,betrivers,-105,-118,2,0.486194,,0.324625,1
2024,2024-04-12,746162,SD,LAD,9a24f550f71e1d4c0ebab0caa37adf60,2024-04-13T02:10:00Z,2024-04-13T01:05:40Z,betrivers,-113,-109,2,0.504270,,0.40122,3
2024,2024-04-13,746979,LAA,BOS,8d9efaa4d8404a2fe9190865c7683bdc,2024-04-13T20:10:00Z,2024-04-13T19:05:39Z,betrivers,-127,102,2,0.530546,,0.349665,4
2024,2024-04-13,747215,STL,ARI,9a7bb944a8c6dd31c6ab245bd9940629,2024-04-14T00:10:00Z,2024-04-13T23:05:39Z,betrivers,-136,110,2,0.547546,,0.371003,1
2024,2024-04-14,745113,SF,TB,d7e7e573ed22c1413674a9e953482ea2,2024-04-14T17:40:00Z,2024-04-14T16:35:38Z,betrivers,107,-132,2,0.459188,,0.4002,4
2024,2024-04-14,745681,WSH,OAK,a4225f261f9ef123751e840bf44faf19,2024-04-14T20:07:00Z,2024-04-14T19:05:39Z,betrivers,108,-134,2,0.456389,,0.411255,0
2024,2024-04-15,745106,LAA,TB,69b6afcaf1dd4132bd9ab9d3861f1848,2024-04-15T22:50:00Z,2024-04-15T21:45:39Z,betrivers,100,-122,2,0.476395,,0.395612,0
2024,2024-04-16,746486,TEX,DET,bb00866a6483afe6b2fd96719de1ea4e,2024-04-16T17:10:00Z,2024-04-16T16:05:40Z,betrivers,-103,-122,2,0.480055,,0.40862,0
2024,2024-04-18,745104,LAA,TB,54470fb8611b9bd47acb3898ba651253,2024-04-18T17:10:00Z,2024-04-18T16:05:39Z,betrivers,-114,-109,3,0.503535,,0.401231,2
2024,2024-04-18,746970,CLE,BOS,8e81105662112ae102b00df904fcec03,2024-04-18T17:35:00Z,2024-04-18T16:30:39Z,superbook,-110,-120,1,0.489879,,0.379551,1
2024,2024-04-20,745590,CWS,PHI,71a7b306097d09a34b2ae0c78ce4c61a,2024-04-20T22:05:00Z,2024-04-20T21:00:38Z,betrivers,100,-122,3,0.477495,,0.38553,0
2024,2024-04-20,746651,OAK,CLE,f464e9e058570531096978652c5466e3,2024-04-20T22:10:00Z,2024-04-20T21:05:38Z,betrivers,108,-134,3,0.457329,,0.365681,2
2024,2024-04-23,746888,HOU,CHC,767889554f282fa81403f03cfe058bf2,2024-04-23T23:40:00Z,2024-04-23T22:35:38Z,superbook,-140,110,1,0.550562,,0.341018,5
