season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-04-03,745114,TEX,TB,da857f00cb74498be88b4daa73db5d3e,2024-04-03T17:10:00Z,2024-04-03T16:05:39Z,betrivers,-103,-121,2,0.480983,,0.4362,0
2024,2024-04-04,745843,DET,NYM,30fedc88c1ed0360b045b27ca467bfed,2024-04-04T19:10:00Z,2024-04-04T18:05:39Z,betrivers,110,-143,2,0.447267,,0.445,0
2024,2024-04-05,744874,PHI,WSH,42debdb9997cebde12f45883a20d6ca1,2024-04-05T22:45:00Z,2024-04-05T21:40:39Z,betrivers,-104,-120,2,0.483108,,0.4155,0
2024,2024-04-05,745361,SD,SF,8dcde6b42ba9bb780d7db91a5b4a74ab,2024-04-05T20:35:00Z,2024-04-05T19:30:39Z,betrivers,108,-134,2,0.456389,,0.445,2
2024,2024-04-06,745766,TOR,NYY,a21e184a6b7ef6f711f024b57d1cf23a,2024-04-06T23:05:00Z,2024-04-06T22:00:39Z,betrivers,110,-136,2,0.452454,,0.4439,3
2024,2024-04-06,746248,BOS,LAA,69f52e59e32e9b64e273a9b29d10d43e,2024-04-07T01:38:00Z,2024-04-07T00:35:38Z,betrivers,106,-132,2,0.460391,,0.4363,0
2024,2024-04-08,745363,WSH,SF,39fb014f345a723482084e5aca2bc5d4,2024-04-09T01:45:00Z,2024-04-09T00:40:39Z,betrivers,112,-141,2,0.446362,,0.4314,1
2024,2024-04-09,745433,CHC,SD,849a38192c6d00e8053d1606cacbca64,2024-04-10T02:05:00Z,2024-04-10T01:00:39Z,betrivers,100,-125,2,0.473684,,0.4377,0
2024,2024-04-11,746322,HOU,KC,db25eb58453fb3e3479444a20c68faa0,2024-04-11T18:10:00Z,2024-04-11T17:05:40Z,betrivers,-113,-110,2,0.503181,,0.4363,9
2024,2024-04-12,745679,WSH,OAK,92d6e78773fa698c470c5b1c195a2064,2024-04-13T01:40:00Z,2024-04-13T00:35:40Z,betrivers,100,-125,2,0.473684,,0.4207,0
2024,2024-04-13,745594,PIT,PHI,619a15be376da5bd0fb94f624b9c79c8,2024-04-13T20:05:00Z,2024-04-13T19:00:38Z,betrivers,-120,-106,2,0.514571,,0.427,3
2024,2024-04-13,745676,WSH,OAK,f1638efa633c089b3c818a9c3b9f887e,2024-04-13T20:07:00Z,2024-04-13T19:05:39Z,betrivers,112,-139,2,0.447834,,0.4448,0
2024,2024-04-13,746811,CIN,CWS,684154ee8debfa39b5b6af5484850aff,2024-04-13T18:10:00Z,2024-04-13T17:05:38Z,betrivers,-103,-124,2,0.478236,,0.449,0
2024,2024-04-16,745108,LAA,TB,cc1c334f0ee535547b4ac22f5545edd8,2024-04-16T22:50:00Z,2024-04-16T21:45:39Z,betrivers,100,-124,2,0.474576,,0.4242,0
2024,2024-04-16,745593,COL,PHI,730922dbfd8595951b56e22f75b70167,2024-04-16T22:40:00Z,2024-04-16T21:35:39Z,betrivers,-109,-113,2,0.495730,,0.4391,2
2024,2024-04-16,745674,STL,OAK,a15863d1d0f34af5de7b752730ef06c3,2024-04-17T01:40:00Z,2024-04-17T00:35:38Z,betrivers,102,-127,2,0.469454,,0.4268,0
2024,2024-04-17,744948,NYY,TOR,fd824ad54f6b427bda957e5114506017,2024-04-17T19:07:00Z,2024-04-17T18:05:39Z,betrivers,-108,-115,2,0.492575,,0.4274,0
2024,2024-04-17,745105,LAA,TB,e79f673c076af4448406135b294337ee,2024-04-17T22:50:00Z,2024-04-17T21:45:39Z,superbook,-110,-120,1,0.489879,,0.4247,1
2024,2024-04-17,746159,WSH,LAD,798b13136747a072782866d419886918,2024-04-17T19:10:00Z,2024-04-17T18:05:39Z,superbook,-135,105,1,0.540791,,0.4131,2
2024,2024-04-17,746807,KC,CWS,f2b656300bb22dafc02b85e60af9bbeb,2024-04-17T21:10:00Z,2024-04-17T20:05:39Z,betrivers,-115,-108,2,0.507425,,0.4166,0
2024,2024-04-17,746809,KC,CWS,f2b656300bb22dafc02b85e60af9bbeb,2024-04-17T21:10:00Z,2024-04-17T20:05:39Z,betrivers,-115,-108,2,0.507425,,0.4172,0
2024,2024-04-17,746973,CLE,BOS,8e74b7350621a51bcfc64e5831943917,2024-04-17T23:10:00Z,2024-04-17T22:05:39Z,superbook,-110,-120,1,0.489879,,0.4219,0
2024,2024-04-19,746160,NYM,LAD,b09bf591c9a8d2bf46757f27dd978e18,2024-04-20T02:10:00Z,2024-04-20T01:05:39Z,betrivers,-114,-109,3,0.500161,,0.4244,0
2024,2024-04-19,746892,MIA,CHC,557065ecc9dde9994e74019746d808d0,2024-04-19T18:20:00Z,2024-04-19T17:15:40Z,superbook,-135,105,1,0.540791,,0.4368,2
2024,2024-04-20,745190,MIL,STL,3ea81b4c9eb31d21c54ed3249269baea,2024-04-20T18:15:00Z,2024-04-20T17:10:38Z,superbook,-110,-120,1,0.489879,,0.4266,3
2024,2024-04-20,745431,TOR,SD,c06d629bc0838e8b6c2b46d02883375d,2024-04-21T00:40:00Z,2024-04-20T23:35:38Z,betrivers,100,-125,2,0.473684,,0.4401,3
2024,2024-04-20,745760,TB,NYY,b45689ee81ec2f8398cdbf1ef62c752a,2024-04-20T17:05:00Z,2024-04-20T16:00:38Z,superbook,-110,-120,1,0.489879,,0.4283,0
2024,2024-04-20,747135,TEX,ATL,76327ab0263aa7e74a2ee020f590995e,2024-04-20T23:20:00Z,2024-04-20T22:15:38Z,betrivers,-124,100,3,0.523717,,0.4366,0
2024,2024-04-21,744866,HOU,WSH,005e11b769d614def43922c7da63a102,2024-04-21T17:35:00Z,2024-04-21T16:30:38Z,superbook,-115,-115,1,0.500000,,0.4386,3
2024,2024-04-21,746154,NYM,LAD,38fd2f47517ea3e9ba12544a5a8eabb6,2024-04-21T20:10:00Z,2024-04-21T19:05:38Z,betrivers,-124,-105,3,0.519709,,0.4386,0
2024,2024-04-21,746568,SEA,COL,ccbf2c9c4a3bd010e78958e6aacb76f6,2024-04-22T00:10:00Z,2024-04-21T23:05:38Z,betrivers,-134,108,2,0.543611,,0.4423,0
2024,2024-04-21,746572,SEA,COL,ccbf2c9c4a3bd010e78958e6aacb76f6,2024-04-22T00:10:00Z,2024-04-21T23:05:38Z,betrivers,-134,108,2,0.543611,,0.4446,2
2024,2024-04-21,746727,LAA,CIN,82a1e5569fe474eba3edbcda111add27,2024-04-21T17:40:00Z,2024-04-21T16:35:38Z,betrivers,-114,-109,3,0.510303,,0.4214,0
2024,2024-04-22,745191,ARI,STL,e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22T23:45:00Z,2024-04-22T22:40:39Z,superbook,-115,-115,1,0.500000,,0.4363,0
2024,2024-04-22,745351,NYM,SF,df6d58d2d972646454db7798a9eed23a,2024-04-23T01:45:00Z,2024-04-23T00:40:39Z,betrivers,-103,-122,3,0.483330,,0.4478,0
2024,2024-04-23,744863,LAD,WSH,25873031761f7c87c9a734612ee988ac,2024-04-23T22:45:00Z,2024-04-23T21:40:39Z,superbook,-130,100,1,0.530612,,0.4308,0
2024,2024-04-23,745102,DET,TB,6175272ab9830fdb19e1b23da9797bfc,2024-04-23T22:50:00Z,2024-04-23T21:45:40Z,betrivers,-104,-121,3,0.477908,,0.4464,0
2024,2024-04-23,745754,OAK,NYY,f321366cb3519be3a919e556ad88059f,2024-04-23T23:05:00Z,2024-04-23T22:00:39Z,betrivers,104,-129,3,0.466660,,0.4466,5
2024,2024-04-23,746246,BAL,LAA,38a02d8367d69188f18189cb8303ce57,2024-04-24T01:38:00Z,2024-04-24T00:35:39Z,superbook,-110,-120,1,0.489879,,0.4301,1
