season,date,game_pk,away,home,p_nrfi,fi_total_runs
2024,2024-04-01,745675,BOS,OAK,0.397767,1
2024,2024-04-01,746170,SF,LAD,0.39916,1
2024,2024-04-02,746814,ATL,CWS,0.328304,0
2024,2024-04-02,746898,COL,CHC,0.382434,2
2024,2024-04-03,746083,LAA,MIA,0.41202,2
2024,2024-04-03,747219,NYY,ARI,0.358654,0
2024,2024-04-05,745764,TOR,NYY,0.356387,0
2024,2024-04-05,746249,BOS,LAA,0.401492,0
2024,2024-04-05,746576,TB,COL,0.322034,2
2024,2024-04-06,746575,TB,COL,0.322034,1
2024,2024-04-07,745362,SD,SF,0.394504,1
2024,2024-04-07,745765,TOR,NYY,0.381706,0
2024,2024-04-07,746251,BOS,LAA,0.37267,0
2024,2024-04-07,746574,TB,COL,0.322034,0
2024,2024-04-07,746895,LAD,CHC,0.362794,3
2024,2024-04-08,746569,ARI,COL,0.322034,1
2024,2024-04-09,745762,MIA,NYY,0.408117,0
2024,2024-04-09,746250,TB,LAA,0.371592,2
2024,2024-04-10,746247,TB,LAA,0.363533,3
2024,2024-04-10,746573,ARI,COL,0.355388,2
2024,2024-04-12,744954,COL,TOR,0.324625,1
2024,2024-04-12,745596,PIT,PHI,0.322034,0
2024,2024-04-12,746162,SD,LAD,0.40122,3
2024,2024-04-12,747055,MIL,BAL,0.397995,0
2024,2024-04-13,745839,KC,NYM,0.406556,4
2024,2024-04-13,746161,SD,LAD,0.390525,0
2024,2024-04-13,746979,LAA,BOS,0.349665,4
2024,2024-04-13,747215,STL,ARI,0.371003,1
2024,2024-04-14,745113,SF,TB,0.4002,4
2024,2024-04-14,745595,PIT,PHI,0.412645,0
2024,2024-04-14,745681,WSH,OAK,0.411255,0
2024,2024-04-15,745106,LAA,TB,0.395612,0
2024,2024-04-16,746157,WSH,LAD,0.403441,1
2024,2024-04-16,746486,TEX,DET,0.40862,0
2024,2024-04-17,747212,CHC,ARI,0.375292,1
2024,2024-04-18,745104,LAA,TB,0.401231,2
2024,2024-04-18,746970,CLE,BOS,0.379551,1
2024,2024-04-20,745590,CWS,PHI,0.38553,0
2024,2024-04-20,746651,OAK,CLE,0.365681,2
2024,2024-04-22,746565,SD,COL,0.399127,0
2024,2024-04-23,746888,HOU,CHC,0.341018,5
2024,2024-04-24,744864,LAD,WSH,0.380711,1
2024,2024-04-24,745099,DET,TB,0.355121,2
