captured_at_utc,date,game_pk,away_team,home_team,game_time_et,old_pick_label,new_pick_label
2026-04-30T14:20:44Z,2026-04-30,824929,DET,ATL,12:15 PM ET,PASS - No edge,STRONG NRFI
2026-04-30T14:42:59Z,2026-04-30,823795,ARI,MIL,1:40 PM ET,STRONG NRFI,PASS - Lineup pending
2026-04-30T14:42:59Z,2026-04-30,823714,TOR,MIN,7:40 PM ET,STRONG NRFI,PASS - Lineup pending
2026-04-30T14:42:59Z,2026-04-30,825016,KC,OAK,3:05 PM ET,STRONG YRFI,PASS - Lineup pending
2026-04-30T15:18:09Z,2026-04-30,824850,HOU,BAL,12:40 PM ET,PASS - Starter pending,PASS - Lineup pending
2026-04-30T17:15:48Z,2026-04-30,823795,ARI,MIL,1:40 PM ET,PASS - Lineup pending,STRONG NRFI
2026-04-30T17:15:48Z,2026-04-30,825016,KC,OAK,3:05 PM ET,PASS - Lineup pending,STRONG YRFI
2026-04-30T21:08:56Z,2026-04-30,823714,TOR,MIN,7:40 PM ET,PASS - Lineup pending,STRONG NRFI
2026-05-01T15:21:15Z,2026-05-01,824686,ARI,CHC,2:20 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T19:14:57Z,2026-05-01,824287,TEX,DET,6:40 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T19:14:57Z,2026-05-01,822990,SF,TB,7:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T20:03:23Z,2026-05-01,823877,PHI,MIA,7:10 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-01T20:03:23Z,2026-05-01,822744,MIL,WSH,6:45 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T20:03:23Z,2026-05-01,823389,CIN,PIT,6:45 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T21:02:38Z,2026-05-01,823066,LAD,STL,8:15 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-01T21:02:38Z,2026-05-01,824366,ATL,COL,8:40 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-01T21:02:38Z,2026-05-01,823713,TOR,MIN,8:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T21:02:38Z,2026-05-01,823557,BAL,NYY,7:05 PM ET,PASS - Starter pending,PASS - No edge
2026-05-01T21:45:06Z,2026-05-01,823146,KC,SEA,9:45 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T22:13:29Z,2026-05-01,824041,NYM,LAA,9:38 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T22:13:29Z,2026-05-01,825012,CLE,OAK,9:40 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T22:13:29Z,2026-05-01,823309,CWS,SD,9:40 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-01T23:05:17Z,2026-05-01,824366,ATL,COL,8:40 PM ET,STRONG YRFI,PASS - No edge
2026-05-02T15:46:51Z,2026-05-02,823715,TOR,MIN,2:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T16:41:58Z,2026-05-02,824685,ARI,CHC,2:20 PM ET,PASS - Lineup pending,STRONG NRFI
2026-05-02T16:41:58Z,2026-05-02,823554,BAL,NYY,1:35 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-02T17:42:22Z,2026-05-02,825014,CLE,OAK,4:05 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-02T17:42:22Z,2026-05-02,824771,HOU,BOS,4:10 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-02T17:42:22Z,2026-05-02,823876,PHI,MIA,4:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T17:42:22Z,2026-05-02,823388,CIN,PIT,4:05 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T17:42:22Z,2026-05-02,824365,ATL,COL,8:10 PM ET,PASS - Starter pending,PASS - Lineup pending
2026-05-02T19:02:27Z,2026-05-02,822746,MIL,WSH,4:05 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-02T19:02:27Z,2026-05-02,822988,SF,TB,6:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T20:54:08Z,2026-05-02,824284,TEX,DET,7:15 PM ET,PASS - Lineup pending,STRONG NRFI
2026-05-02T20:54:08Z,2026-05-02,823067,LAD,STL,7:15 PM ET,PASS - Lineup pending,STRONG YRFI
2026-05-02T20:54:08Z,2026-05-02,824365,ATL,COL,8:10 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T20:54:08Z,2026-05-02,823308,CWS,SD,8:40 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-02T22:32:40Z,2026-05-02,824042,NYM,LAA,9:38 PM ET,PASS - Lineup pending,STRONG NRFI
2026-05-02T22:32:40Z,2026-05-02,823144,KC,SEA,9:40 PM ET,PASS - Lineup pending,PASS - No edge
2026-05-03T14:18:35Z,2026-05-03,822742,MIL,WSH,1:35 PM ET,PASS - Starter pending,PASS - Lineup pending
