date,season,game_pk,game_number,double_header,away_team,home_team,game_time_et,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_proj_runs,home_proj_runs,combined_lambda,lambda_lr_t1,lambda_lr_b1,lambda_lr_total,nrfi_prob,yrfi_prob,over_1_5_prob,under_1_5_prob,nrfi_prob_raw,yrfi_prob_raw,pick_side,pick_strength,pick_label,blended_inputs,created_at,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,wx_temp_c,wx_wind_kmh,wx_humidity,wx_is_dome,home_p_last5_pitcher_nrfi,away_p_last5_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_pitcher_nrfi,home_top3c_obp,away_top3c_obp,home_top3c_slg,away_top3c_slg,home_top3c_iso,away_top3c_iso,home_top3c_source,away_top3c_source,home_lineup_json,away_lineup_json,top_factors_t1_json,top_factors_b1_json,home_plate_ump_id,home_plate_ump_nrfi_rate,home_xera,away_xera,home_whiff_pct_rank,away_whiff_pct_rank,home_pvt_nrfi_rate,away_pvt_nrfi_rate,home_avg_ip_per_start,away_avg_ip_per_start,actual_result,graded_result,fi_away_runs,fi_home_runs,fi_total_runs,graded_at,market_nrfi_odds,market_yrfi_odds,sportsbook,odds_captured_at,implied_nrfi_prob,implied_yrfi_prob,edge_nrfi,edge_yrfi,edge_on_pick,bet_placed,units_risked,profit_loss_units,opened_nrfi_odds,opened_yrfi_odds,opened_captured_at,clv_pct,v21_shadow_nrfi_prob,v21_shadow_pick_side,v21_shadow_pick_strength,away_top3c_last10_obp,home_top3c_last10_obp,away_top3c_last10_slg,home_top3c_last10_slg,away_top3c_last10_iso,home_top3c_last10_iso,away_first_inning_era,home_first_inning_era,away_first_pitch_strike_pct,home_first_pitch_strike_pct
2026-04-05,2026,824379,1,,PHI,COL,3:10 PM ET,Taijuan Walker,Tomoyuki Sugano,592836,608372,ltd,ltd,live,live,1.22,0.5844,0.8398,1.4241,,,,0.3623,0.6377,0.4165,0.5835,,,YRFI,STRONG,STRONG YRFI,4,2026-04-26T16:22:38Z,5.882,4.158,1.646,1.255,5.941,5.033,3.56,2.07,2.14,1.83,6.5,6.26,0.306,0.317,0.384,0.405,3.97,4.256,20.50,6.40,15.0,0,0.4000,0.0000,0.5000,0.3000,0.3222,0.3211,0.4727,0.4421,0.1636,0.2211,,,"[{""id"": 687859, ""name"": ""Troy Johnston"", ""bats"": ""L"", ""obp"": 0.36363636363636365, ""slg"": 0.5238095238095238, ""iso"": 0.19047619047619052, ""ab"": 21}, {""id"": 678662, ""name"": ""Ezequiel Tovar"", ""bats"": ""R"", ""obp"": 0.29411764705882354, ""slg"": 0.4411764705882353, ""iso"": 0.14705882352941174, ""ab"": 34}, {""id"": 666160, ""name"": ""Mickey Moniak"", ""bats"": ""L"", ""obp"": 0.2, ""slg"": 0.2, ""iso"": 0.0, ""ab"": 5}]","[{""id"": 607208, ""name"": ""Trea Turner"", ""bats"": ""R"", ""obp"": 0.35135135135135137, ""slg"": 0.38235294117647056, ""iso"": 0.08823529411764702, ""ab"": 34}, {""id"": 656941, ""name"": ""Kyle Schwarber"", ""bats"": ""L"", ""obp"": 0.3783783783783784, ""slg"": 0.5862068965517241, ""iso"": 0.3793103448275862, ""ab"": 29}, {""id"": 547180, ""name"": ""Bryce Harper"", ""bats"": ""L"", ""obp"": 0.22857142857142856, ""slg"": 0.375, ""iso"": 0.21875, ""ab"": 32}]",,,427164,0.5083,6.170,7.130,17,7,0.7136,0.7197,4.20,4.73,YRFI,WIN,0,3,3,2026-04-25T23:44:23+00:00,,,,,,,,,,,,0.909,,,,,,,,0.3211,0.3050,0.4421,0.4889,0.2211,0.2000,6.232,5.805,0.6325,0.5854
2026-04-05,2026,824460,2,,CHC,CLE,1:15 PM ET,Shota Imanaga,Parker Messick,684007,800048,ltd,ltd,live,live,0.96,0.3822,0.3867,0.7689,,,,0.4891,0.5109,0.1801,0.8199,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,3.074,2.875,0.877,1.102,3.992,3.194,1.72,2.43,1.51,0.76,8.41,8.76,0.342,0.298,0.428,0.394,5.137,4.25,4.40,22.60,69.0,0,0.6000,0.0000,0.5000,0.4000,0.2892,0.3548,0.2875,0.4423,0.0875,0.1923,,,"[{""id"": 680757, ""name"": ""Steven Kwan"", ""bats"": ""L"", ""obp"": 0.3235294117647059, ""slg"": 0.26666666666666666, ""iso"": 0.033333333333333326, ""ab"": 30}, {""id"": 682657, ""name"": ""Angel Mart\u00ednez"", ""bats"": ""S"", ""obp"": 0.3181818181818182, ""slg"": 0.2222222222222222, ""iso"": 0.05555555555555555, ""ab"": 18}, {""id"": 608070, ""name"": ""Jos\u00e9 Ram\u00edrez"", ""bats"": ""S"", ""obp"": 0.23529411764705882, ""slg"": 0.34375, ""iso"": 0.15625, ""ab"": 32}]","[{""id"": 663538, ""name"": ""Nico Hoerner"", ""bats"": ""R"", ""obp"": 0.4, ""slg"": 0.4583333333333333, ""iso"": 0.16666666666666663, ""ab"": 24}, {""id"": 608324, ""name"": ""Alex Bregman"", ""bats"": ""R"", ""obp"": 0.3125, ""slg"": 0.42857142857142855, ""iso"": 0.21428571428571427, ""ab"": 28}, {""id"": 664068, ""name"": ""Scott Kingery"", ""bats"": ""R"", ""obp"": null, ""slg"": null, ""iso"": null, ""ab"": null}]",,,483919,0.4901,3.180,2.930,49,85,0.7136,0.7272,5.67,5.33,NRFI,PASS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.3478,0.2892,0.4138,0.2875,0.1724,0.0875,4.575,5.035,0.6218,0.7057
2026-04-05,2026,823566,1,,MIA,NYY,1:35 PM ET,Pete Fairbanks,Max Fried,664126,608331,sm,ltd,live,live,1.02,0.3149,0.4586,0.7735,,,,0.4830,0.5170,0.1817,0.8183,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,4.153,2.627,1.127,0.933,3.535,2.732,2.55,2.27,1.12,0.43,9.79,7.85,0.331,0.328,0.4,0.425,4.518,4.97,13.10,17.10,79.0,0,1.0000,,0.9000,,0.3689,0.3261,0.4524,0.3846,0.2143,0.1538,,,"[{""id"": 663757, ""name"": ""Trent Grisham"", ""bats"": ""L"", ""obp"": 0.3939393939393939, ""slg"": 0.32, ""iso"": 0.12, ""ab"": 25}, {""id"": 592450, ""name"": ""Aaron Judge"", ""bats"": ""R"", ""obp"": 0.3142857142857143, ""slg"": 0.5161290322580645, ""iso"": 0.29032258064516125, ""ab"": 31}, {""id"": 641355, ""name"": ""Cody Bellinger"", ""bats"": ""L"", ""obp"": 0.4, ""slg"": 0.5, ""iso"": 0.2142857142857143, ""ab"": 28}]","[{""id"": 683357, ""name"": ""Owen Caissie"", ""bats"": ""L"", ""obp"": 0.35714285714285715, ""slg"": 0.64, ""iso"": 0.32, ""ab"": 25}, {""id"": 682663, ""name"": ""Agust\u00edn Ram\u00edrez"", ""bats"": ""R"", ""obp"": 0.4482758620689655, ""slg"": 0.3181818181818182, ""iso"": 0.04545454545454547, ""ab"": 22}, {""id"": 805300, ""name"": ""Jakob Marsee"", ""bats"": ""L"", ""obp"": 0.2, ""slg"": 0.22580645161290322, ""iso"": 0.0967741935483871, ""ab"": 31}]",,,484499,0.5451,2.300,2.220,34,78,0.7028,0.7136,6.53,,YRFI,PASS,1,3,4,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.3261,0.3689,0.3846,0.4524,0.1538,0.2143,4.410,3.562,0.6200,0.6341
2026-04-05,2026,825025,1,,HOU,OAK,4:05 PM ET,Lance McCullers Jr.,Jacob Lopez,621121,682052,ltd,ltd,live,live,0.93,0.5972,0.5617,1.1588,,,,0.3969,0.6031,0.3225,0.6775,,,YRFI,STRONG,STRONG YRFI,4,2026-04-26T16:22:38Z,5.835,4.692,1.504,1.498,4.766,4.87,4.59,4.9,1.41,1.46,9.09,9.09,0.336,0.316,0.428,0.4,4.901,4.375,28.30,15.50,29.0,0,0.6000,0.6000,0.7000,0.7000,0.3053,0.4737,0.4096,0.5862,0.2048,0.2644,,,"[{""id"": 701762, ""name"": ""Nick Kurtz"", ""bats"": ""L"", ""obp"": 0.26666666666666666, ""slg"": 0.08333333333333333, ""iso"": 0.0, ""ab"": 24}, {""id"": 669127, ""name"": ""Shea Langeliers"", ""bats"": ""R"", ""obp"": 0.36363636363636365, ""slg"": 0.8, ""iso"": 0.5, ""ab"": 30}, {""id"": 691016, ""name"": ""Tyler Soderstrom"", ""bats"": ""L"", ""obp"": 0.28125, ""slg"": 0.27586206896551724, ""iso"": 0.06896551724137931, ""ab"": 29}]","[{""id"": 514888, ""name"": ""Jose Altuve"", ""bats"": ""R"", ""obp"": 0.5, ""slg"": 0.5714285714285714, ""iso"": 0.24999999999999994, ""ab"": 28}, {""id"": 670541, ""name"": ""Yordan Alvarez"", ""bats"": ""L"", ""obp"": 0.5897435897435898, ""slg"": 0.8846153846153846, ""iso"": 0.4615384615384615, ""ab"": 26}, {""id"": 621043, ""name"": ""Carlos Correa"", ""bats"": ""R"", ""obp"": 0.32432432432432434, ""slg"": 0.36363636363636365, ""iso"": 0.12121212121212122, ""ab"": 33}]",,,544728,0.4859,3.690,4.990,22,43,0.7272,0.7510,5.33,3.93,NRFI,LOSS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,-1,,,,,,,,0.4737,0.3053,0.5862,0.4096,0.2644,0.2048,5.708,3.506,0.5483,0.6303
2026-04-05,2026,822756,1,,LAD,WSH,1:35 PM ET,Roki Sasaki,Foster Griffin,808963,656492,ltd,ltd,live,live,0.97,0.5222,0.6772,1.1994,,,,0.4130,0.5870,0.3372,0.6628,,,YRFI,STRONG,STRONG YRFI,4,2026-04-26T16:22:38Z,5.018,3.875,1.485,1.23,5.449,4.444,4.29,2.9,1.84,1.4,8.54,8.37,0.343,0.326,0.452,0.405,5.232,5.134,15.90,19.40,50.0,0,1.0000,0.6000,1.0000,0.5556,0.2688,0.3462,0.3448,0.3529,0.1264,0.0735,,,"[{""id"": 695578, ""name"": ""James Wood"", ""bats"": ""L"", ""obp"": 0.2, ""slg"": 0.2777777777777778, ""iso"": 0.16666666666666669, ""ab"": 36}, {""id"": 683083, ""name"": ""Nasim Nu\u00f1ez"", ""bats"": ""S"", ""obp"": 0.2916666666666667, ""slg"": 0.22727272727272727, ""iso"": 0.0, ""ab"": 22}, {""id"": 671277, ""name"": ""Luis Garc\u00eda Jr."", ""bats"": ""L"", ""obp"": 0.3448275862068966, ""slg"": 0.5172413793103449, ""iso"": 0.1724137931034483, ""ab"": 29}]","[{""id"": 660271, ""name"": ""Shohei Ohtani"", ""bats"": ""L"", ""obp"": 0.39473684210526316, ""slg"": 0.3448275862068966, ""iso"": 0.10344827586206898, ""ab"": 29}, {""id"": 500743, ""name"": ""Miguel Rojas"", ""bats"": ""R"", ""obp"": 0.26666666666666666, ""slg"": 0.35714285714285715, ""iso"": 0.07142857142857145, ""ab"": 14}, {""id"": 606192, ""name"": ""Teoscar Hern\u00e1ndez"", ""bats"": ""R"", ""obp"": 0.32, ""slg"": 0.36, ""iso"": 0.03999999999999998, ""ab"": 25}]",,,691042,0.5084,4.510,6.020,47,79,0.7136,0.7136,5.00,4.93,NRFI,LOSS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,-1,,,,,,,,0.3462,0.2688,0.3529,0.3448,0.0735,0.1264,5.139,4.410,0.6174,0.6200
2026-04-05,2026,823238,1,,NYM,SF,4:05 PM ET,Kodai Senga,Logan Webb,673540,657277,sm,ltd,live,live,0.94,0.3105,0.5032,0.8138,,,,0.4130,0.5870,0.1962,0.8038,,,YRFI,STRONG,STRONG YRFI,4,2026-04-26T16:22:38Z,4.807,4.008,1.484,1.307,4.411,2.792,4.59,2.56,1.31,0.55,9.55,8.8,0.302,0.302,0.37,0.386,3.848,3.756,25.20,16.30,42.0,0,0.8000,0.6000,0.7000,0.8000,0.2743,0.2857,0.3429,0.2941,0.1143,0.1059,,,"[{""id"": 642715, ""name"": ""Willy Adames"", ""bats"": ""R"", ""obp"": 0.2702702702702703, ""slg"": 0.35294117647058826, ""iso"": 0.1470588235294118, ""ab"": 34}, {""id"": 650333, ""name"": ""Luis Arraez"", ""bats"": ""L"", ""obp"": 0.2894736842105263, ""slg"": 0.3611111111111111, ""iso"": 0.08333333333333331, ""ab"": 36}, {""id"": 656305, ""name"": ""Matt Chapman"", ""bats"": ""R"", ""obp"": 0.2631578947368421, ""slg"": 0.3142857142857143, ""iso"": 0.11428571428571427, ""ab"": 35}]","[{""id"": 596019, ""name"": ""Francisco Lindor"", ""bats"": ""S"", ""obp"": 0.37209302325581395, ""slg"": 0.28125, ""iso"": 0.125, ""ab"": 32}, {""id"": 666182, ""name"": ""Bo Bichette"", ""bats"": ""R"", ""obp"": 0.23255813953488372, ""slg"": 0.2682926829268293, ""iso"": 0.048780487804878064, ""ab"": 41}, {""id"": 621438, ""name"": ""Tyrone Taylor"", ""bats"": ""R"", ""obp"": 0.16666666666666666, ""slg"": 0.4166666666666667, ""iso"": 0.25, ""ab"": 12}]",,,664263,0.5650,4.450,4.670,17,73,0.7309,0.7510,5.87,5.07,NRFI,LOSS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,-1,,,,,,,,0.2857,0.2743,0.2941,0.3429,0.1059,0.1143,3.855,4.426,0.5075,0.6215
2026-04-05,2026,824131,1,,MIL,KC,2:10 PM ET,Kyle Harrison,Kris Bubic,690986,663460,sm,ltd,live,live,0.96,0.3927,0.4499,0.8427,,,,0.4891,0.5109,0.2066,0.7934,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,3.822,3.214,1.291,1.157,3.941,3.233,3.32,3.49,1.12,0.68,9.22,9.1,0.326,0.310,0.373,0.385,4.726,4.113,16.50,10.00,34.0,0,0.6000,0.6000,0.7000,0.5714,0.3462,0.3799,0.2791,0.5067,0.0349,0.2267,,,"[{""id"": 672580, ""name"": ""Maikel Garcia"", ""bats"": ""R"", ""obp"": 0.42857142857142855, ""slg"": 0.39285714285714285, ""iso"": 0.0714285714285714, ""ab"": 28}, {""id"": 677951, ""name"": ""Bobby Witt Jr."", ""bats"": ""R"", ""obp"": 0.3235294117647059, ""slg"": 0.2413793103448276, ""iso"": 0.0, ""ab"": 29}, {""id"": 686469, ""name"": ""Vinnie Pasquantino"", ""bats"": ""L"", ""obp"": 0.2857142857142857, ""slg"": 0.20689655172413793, ""iso"": 0.03448275862068964, ""ab"": 29}]","[{""id"": 668930, ""name"": ""Brice Turang"", ""bats"": ""L"", ""obp"": 0.42857142857142855, ""slg"": 0.6333333333333333, ""iso"": 0.3, ""ab"": 30}, {""id"": 650859, ""name"": ""Luis Rengifo"", ""bats"": ""S"", ""obp"": 0.3, ""slg"": 0.3333333333333333, ""iso"": 0.1111111111111111, ""ab"": 18}, {""id"": 661388, ""name"": ""William Contreras"", ""bats"": ""R"", ""obp"": 0.375, ""slg"": 0.48148148148148145, ""iso"": 0.2222222222222222, ""ab"": 27}]",,,504381,0.4205,4.760,3.420,75,74,0.7272,0.7136,5.27,4.67,YRFI,PASS,3,0,3,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.3799,0.3462,0.5067,0.2791,0.2267,0.0349,4.755,4.086,0.5648,0.5680
2026-04-05,2026,824296,1,,STL,DET,7:20 PM ET,Kyle Leahy,Keider Montero,681517,672456,ltd,ltd,live,live,0.98,0.4059,0.5023,0.9082,,,,0.4692,0.5308,0.2305,0.7695,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,4.218,4.098,1.398,1.197,4.085,3.685,3.36,2.42,1.0,0.97,7.34,7.52,0.322,0.326,0.398,0.409,4.628,4.436,6.30,23.90,45.0,0,1.0000,0.5000,1.0000,0.5000,0.4286,0.3738,0.4386,0.3837,0.1404,0.1279,,,"[{""id"": 663330, ""name"": ""Jahmai Jones"", ""bats"": ""R"", ""obp"": 0.0, ""slg"": 0.0, ""iso"": 0.0, ""ab"": 2}, {""id"": 805808, ""name"": ""Kevin McGonigle"", ""bats"": ""L"", ""obp"": 0.4117647058823529, ""slg"": 0.5, ""iso"": 0.16666666666666669, ""ab"": 30}, {""id"": 650402, ""name"": ""Gleyber Torres"", ""bats"": ""R"", ""obp"": 0.4444444444444444, ""slg"": 0.37037037037037035, ""iso"": 0.1111111111111111, ""ab"": 27}]","[{""id"": 802139, ""name"": ""JJ Wetherholt"", ""bats"": ""L"", ""obp"": 0.37142857142857144, ""slg"": 0.3793103448275862, ""iso"": 0.10344827586206895, ""ab"": 29}, {""id"": 671056, ""name"": ""Iv\u00e1n Herrera"", ""bats"": ""R"", ""obp"": 0.3611111111111111, ""slg"": 0.32142857142857145, ""iso"": 0.10714285714285718, ""ab"": 28}, {""id"": 676475, ""name"": ""Alec Burleson"", ""bats"": ""L"", ""obp"": 0.3888888888888889, ""slg"": 0.4482758620689655, ""iso"": 0.1724137931034483, ""ab"": 29}]",,,427533,0.5151,2.350,5.720,18,16,0.7136,0.7136,4.13,4.00,NRFI,PASS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.3738,0.4333,0.3837,0.4800,0.1279,0.1600,4.410,3.768,0.6200,0.6863
2026-04-05,2026,823405,1,,BAL,PIT,1:35 PM ET,Chris Bassitt,Braxton Ashcraft,605135,677952,ltd,ltd,live,live,0.96,0.3485,0.5668,0.9153,,,,0.4707,0.5293,0.2331,0.7669,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,4.923,2.956,1.582,1.149,4.473,2.873,3.72,2.95,1.2,0.55,7.22,9.42,0.323,0.326,0.405,0.392,4.494,4.804,7.70,17.10,70.0,0,1.0000,0.8000,1.0000,0.8000,0.3564,0.3514,0.5778,0.4000,0.3000,0.1474,,,"[{""id"": 665833, ""name"": ""Oneil Cruz"", ""bats"": ""L"", ""obp"": 0.3333333333333333, ""slg"": 0.5806451612903226, ""iso"": 0.2903225806451613, ""ab"": 31}, {""id"": 664040, ""name"": ""Brandon Lowe"", ""bats"": ""L"", ""obp"": 0.41935483870967744, ""slg"": 0.72, ""iso"": 0.43999999999999995, ""ab"": 25}, {""id"": 668804, ""name"": ""Bryan Reynolds"", ""bats"": ""S"", ""obp"": 0.32432432432432434, ""slg"": 0.47058823529411764, ""iso"": 0.20588235294117646, ""ab"": 34}]","[{""id"": 621493, ""name"": ""Taylor Ward"", ""bats"": ""R"", ""obp"": 0.39473684210526316, ""slg"": 0.3870967741935484, ""iso"": 0.09677419354838707, ""ab"": 31}, {""id"": 683002, ""name"": ""Gunnar Henderson"", ""bats"": ""L"", ""obp"": 0.34210526315789475, ""slg"": 0.48484848484848486, ""iso"": 0.24242424242424243, ""ab"": 33}, {""id"": 624413, ""name"": ""Pete Alonso"", ""bats"": ""R"", ""obp"": 0.3142857142857143, ""slg"": 0.3225806451612903, ""iso"": 0.0967741935483871, ""ab"": 31}]",,,676581,0.5084,2.080,6.250,81,17,0.7136,0.7309,4.60,4.93,YRFI,PASS,0,2,2,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.3514,0.3564,0.4000,0.5778,0.1474,0.3000,4.568,3.692,0.5976,0.6408
2026-04-05,2026,823729,1,,TB,MIN,2:10 PM ET,Nick Martinez,Simeon Woods Richardson,607259,680573,ltd,ltd,live,live,0.97,0.5601,0.442,1.002,,,,0.4891,0.5109,0.265,0.735,,,PASS,NO EDGE,PASS - No edge,4,2026-04-26T16:22:38Z,3.443,4.789,1.163,1.387,4.051,4.95,2.34,3.63,1.07,1.53,6.18,7.12,0.328,0.323,0.4,0.391,4.75,4.685,10.40,23.80,47.0,0,0.8000,0.8000,0.9000,0.8000,0.2530,0.4312,0.2838,0.5579,0.0946,0.2000,,,"[{""id"": 665019, ""name"": ""Kody Clemens"", ""bats"": ""L"", ""obp"": 0.3157894736842105, ""slg"": 0.375, ""iso"": 0.1875, ""ab"": 16}, {""id"": 621439, ""name"": ""Byron Buxton"", ""bats"": ""R"", ""obp"": 0.20689655172413793, ""slg"": 0.2692307692307692, ""iso"": 0.11538461538461536, ""ab"": 26}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""bats"": ""R"", ""obp"": 0.2571428571428571, ""slg"": 0.25, ""iso"": 0.03125, ""ab"": 32}]","[{""id"": 650490, ""name"": ""Yandy D\u00edaz"", ""bats"": ""R"", ""obp"": 0.5, ""slg"": 0.696969696969697, ""iso"": 0.27272727272727276, ""ab"": 33}, {""id"": 666018, ""name"": ""Jonathan Aranda"", ""bats"": ""L"", ""obp"": 0.3333333333333333, ""slg"": 0.48484848484848486, ""iso"": 0.24242424242424243, ""ab"": 33}, {""id"": 802415, ""name"": ""Chandler Simpson"", ""bats"": ""L"", ""obp"": 0.46875, ""slg"": 0.4827586206896552, ""iso"": 0.06896551724137934, ""ab"": 29}]",,,427243,0.4707,4.790,4.670,8,10,0.6942,0.6487,5.40,5.40,NRFI,PASS,0,0,0,2026-04-25T23:44:23+00:00,,,,,,,,,,,,,,,,,,,,0.4312,0.2530,0.5579,0.2838,0.2000,0.0946,3.208,3.454,0.7027,0.5939
