model,depth,n,units,roi
A_shipped_p,0.05,32,-2.5389453437840537,-7.934204199325167
A_shipped_p,0.1,72,-3.3287588002875523,-4.6232761115104895
A_shipped_p,0.2,144,-19.977414712968713,-13.873204661783827
A_shipped_p,0.3,225,-40.44120377042706,-17.973868342412025
A_shipped_p,0.5,382,-39.900334573867966,-10.445113762792662
B_shipped_EV,0.05,32,-13.055011655011654,-40.79691142191142
B_shipped_EV,0.1,72,-16.231367183541096,-22.54356553269597
B_shipped_EV,0.2,150,-29.85764862118298,-19.905099080788656
B_shipped_EV,0.3,225,-43.79965239036066,-19.466512173493626
B_shipped_EV,0.5,381,-53.2956304330585,-13.988354444372309
C_bookEV,0.05,30,-3.0674876847290635,-10.224958949096878
C_bookEV,0.1,72,-7.242341816104934,-10.05880807792352
C_bookEV,0.2,148,-12.694163866840027,-8.577137747864882
C_bookEV,0.3,228,-13.249796227311098,-5.81131413478557
C_bookEV,0.5,373,-40.899051810437655,-10.964893246766128
D_refit_outcome,0.05,33,-5.163683418031243,-15.647525509185586
D_refit_outcome,0.1,73,-8.3038917604135,-11.37519419234726
D_refit_outcome,0.2,150,-7.969327712656046,-5.312885141770697
D_refit_outcome,0.3,226,-0.790215992730861,-0.34965309412869955
D_refit_outcome,0.5,380,-27.563145708287646,-7.253459396917801
E_outcome+price,0.05,33,-1.3022115565593824,-3.946095625937522
E_outcome+price,0.1,73,-2.7580513689209347,-3.7781525601656636
E_outcome+price,0.2,150,-0.8707042645234839,-0.5804695096823226
E_outcome+price,0.3,226,-5.738472908229161,-2.5391473045261774
E_outcome+price,0.5,380,-21.47956611185561,-5.65251739785674
F_payout_weighted,0.05,33,-6.813683418031243,-20.647525509185584
F_payout_weighted,0.1,73,-3.173122529644269,-4.34674319129352
F_payout_weighted,0.2,150,-0.5371853589244857,-0.35812357261632377
F_payout_weighted,0.3,226,-9.048581791910129,-4.003797253057579
F_payout_weighted,0.5,380,-42.24857567751846,-11.11804623092591
G_ridge_PROFIT,0.05,33,-0.927619884141623,-2.810969345883706
G_ridge_PROFIT,0.1,73,5.647757234713756,7.736653746183228
G_ridge_PROFIT,0.2,150,-0.3560944171550169,-0.2373962781033446
G_ridge_PROFIT,0.3,226,-10.7187898433848,-4.742827364329557
G_ridge_PROFIT,0.5,380,-23.12773012508709,-6.086244769759761
H_ridge_PROFIT+price,0.05,33,-2.1614708158186406,-6.5499115630867895
H_ridge_PROFIT+price,0.1,73,-1.0568363198797979,-1.4477209861367093
H_ridge_PROFIT+price,0.2,150,0.7776122337930111,0.5184081558620074
H_ridge_PROFIT+price,0.3,226,-15.059901479657725,-6.663673221087489
H_ridge_PROFIT+price,0.5,380,-18.20972943718023,-4.7920340624158495
I_gbm_PROFIT,0.05,33,-6.840841615095617,-20.729823076047325
I_gbm_PROFIT,0.1,73,-13.27226576593506,-18.18118598073296
I_gbm_PROFIT,0.2,150,-20.850116005145747,-13.90007733676383
I_gbm_PROFIT,0.3,226,-10.482012660254185,-4.638058699227515
I_gbm_PROFIT,0.5,380,-14.184065869020165,-3.7326489129000433
J_gbm_PROFIT+price,0.05,33,1.5071187877034955,4.567026629404531
J_gbm_PROFIT+price,0.1,73,-13.69854094003632,-18.76512457539222
J_gbm_PROFIT+price,0.2,150,-12.068484582700862,-8.045656388467242
J_gbm_PROFIT+price,0.3,226,-20.555264228176163,-9.095249658485029
J_gbm_PROFIT+price,0.5,380,-29.218041927505343,-7.688958401975091
K_PROFIT+price+pmodel,0.05,33,-0.20908986343768898,-0.6336056467808757
K_PROFIT+price+pmodel,0.1,73,0.6522545892111111,0.8934994372754946
K_PROFIT+price+pmodel,0.2,150,-1.3568066678672661,-0.9045377785781773
K_PROFIT+price+pmodel,0.3,226,-15.059901479657725,-6.663673221087489
K_PROFIT+price+pmodel,0.5,380,-16.15972943718023,-4.252560378205323
