target,depth,n,hit,units,roi,lo,hi,roi_10c
T_UNITS,top5%,40,45.0,-4.620734437975816,-11.55183609493954,-41.012971530643945,13.849247432845452,-15.0471850755862
T_UNITS,top10%,81,41.9753086419753,-14.732036903626106,-18.187699881019885,-41.03474898359091,4.079719032979909,-21.475527302757058
T_UNITS,top20%,162,45.06172839506173,-21.71260611230626,-13.402843279201395,-28.42728959843852,1.2451336932774908,-16.823197228971047
T_UNITS,top30%,242,46.69421487603306,-26.068284632010027,-10.77201844297935,-23.07881529503308,1.31786969698763,-14.256422035242236
T_UNITS,top50%,404,46.28712871287129,-49.84650438759473,-12.338243660295726,-20.291410302154482,-3.621181446460479,-15.688194674265803
T_UNITS,EV>0,226,46.46017699115044,-25.000120911672397,-11.062000403394865,-24.04635057685367,2.1268499909344345,-14.547022099333226
T_OFFSET,top5%,40,42.5,-6.234632034632034,-15.586580086580085,-46.648149298867004,12.101602202145687,-18.99983189113624
T_OFFSET,top10%,81,44.44444444444444,-10.196322617911822,-12.588052614705953,-36.76285449103028,8.567595216135794,-16.17329866719509
T_OFFSET,top20%,162,44.44444444444444,-22.745734478193242,-14.040576838390889,-29.074505719618042,1.5648551519894083,-17.468471574962237
T_OFFSET,top30%,242,46.28099173553719,-27.49729225884374,-11.362517462332123,-22.926604259734606,1.0331235646965697,-14.841147999891877
T_OFFSET,top50%,404,46.53465346534654,-46.746670485586904,-11.570958040986858,-20.65379358140725,-2.5569380046766472,-14.969645807884913
T_OFFSET,EV>0,230,46.08695652173913,-26.29730705885854,-11.433611764721103,-23.245629366620634,0.6936716911125058,-14.938252428217124
T_WEIGHT,top5%,40,35.0,-11.658008658008656,-29.14502164502164,-58.510951485857504,-0.627612863327143,-32.101683742988094
T_WEIGHT,top10%,81,44.44444444444444,-8.838876341050252,-10.912193013642286,-33.31110609101171,10.202251046914991,-14.692275081432356
T_WEIGHT,top20%,162,41.358024691358025,-30.02944891190768,-18.53669685920227,-34.57130946230513,-2.226353446083852,-21.91395595075923
T_WEIGHT,top30%,242,45.867768595041326,-24.339372724005404,-10.057592034712977,-22.229372315764248,2.160369182919338,-13.750770765823622
T_WEIGHT,top50%,404,46.78217821782179,-39.13478021372299,-9.686826785574997,-18.25260880721556,-1.2424551548621943,-13.272923261179692
T_WEIGHT,EV>0,194,45.876288659793815,-19.354109436568205,-9.976345070395983,-24.379216668544654,4.654568206095318,-13.67921543869195
EV_LIVE,top5%,40,37.5,-11.24010989010989,-28.100274725274726,-56.47921599064892,-0.06996773068200912,-30.964425168229514
EV_LIVE,top10%,81,39.50617283950617,-19.286561988735897,-23.81057035646407,-44.761218693857586,-0.9172052151113792,-26.883015147910477
EV_LIVE,top20%,162,41.9753086419753,-33.05461643831209,-20.4040842211803,-33.15222630721709,-7.731775747461313,-23.410374466097963
EV_LIVE,top30%,242,43.388429752066116,-44.481107569641935,-18.380622962661956,-29.24163006727855,-8.219802753177406,-21.430536763764657
EV_LIVE,top50%,404,45.79207920792079,-56.81976863313372,-14.064299166617259,-22.394638109987717,-5.670294961885939,-17.255636390315395
EV_LIVE,EV>0,131,41.98473282442748,-25.353690512386162,-19.353962223195545,-34.35512448512117,-4.087053790007723,-22.490515808637284
